,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,32.2,25.4,23.5,39.2,0.9,15.8,31.5,0.2,25.3,42,11.7,23.7,21.5
Beijing Jiaotong University,44.7,37.8,38.9,48.3,3.9,57,50,4.6,23.2,67.1,17.1,58.5,37.5
UFG - Universidade Federal de Goiás,45.2,31,34.4,51.3,1.9,20.1,27,1.2,14.9,38.6,18.3,26.9,18.1
Mohammed V University of Rabat,47.9,83.7,18.4,28.3,2.4,17.5,32,0.7,14.8,41.6,32.1,22.7,29
Thammasat University,31.2,22.5,53.6,59.1,1.3,16.4,47.1,1,11.2,39,39.2,43.7,20.2
University of Calcutta,100,97,41,32.5,4.2,14.2,41.8,1.8,14.2,44,7.9,21.3,18.5
Kangwon National University,35.1,37.2,43.6,36.2,0.3,40.8,37.7,0.3,18.8,36.9,19.2,23.2,24.5
Prince of Songkla University,31.8,23.1,42.4,44.8,2.1,17,33.7,1.7,18.8,37.8,46.3,26.9,21.2
Kaunas University of Technology,35.6,27.7,25.6,46.7,0,26,28.4,0,8.7,38.5,48.7,25.8,33.3
Ankara University,39.4,28.3,30,39.8,2.1,14.7,31.9,2.5,18,34.8,17.1,27.4,29.9
"University of the Sunshine Coast, Australia",34.2,37,50.9,30.6,1.4,87,34.6,0.2,47.9,38.7,76.3,63.1,71
Chungnam National University,43.2,54.7,49,37.1,2.6,44.3,59.3,2.4,14,44.5,14.8,28,27.4
Obafemi Awolowo University (OAU),37.1,37.1,15.7,34.1,2.4,17.3,25.6,1.2,13.7,36.3,60.2,22.2,17.4
Vietnam National University - Ho Chi Minh City (VNU-HCM),30.5,21.9,30,36.4,2.7,14.3,27.6,1.7,20.1,40.3,68.4,31.3,18.5
Pusan National University,44.8,55.4,69.1,39.8,3.5,64.2,70.5,3.4,24.3,67.1,17.6,43,43.6
Universitas Padjadjaran,49.1,49.5,18,45.6,1.5,12.4,27.4,1.1,14.5,40.5,23.9,21.8,20.2
University of Sfax,59.7,59.9,15.3,52.1,0.3,28.2,24.8,0.8,16.4,33.4,79.3,25.6,20.5
Khon Kaen University,36.7,34.7,71.3,41.4,3.1,22,36,2.8,18.4,56,36.8,32.3,21.7
Canterbury Christ Church University,32.9,31.1,31.5,42.7,0.2,31.1,26.2,0.9,22.3,33.4,13.8,61.2,54.3
Universidad Nacional de Cordoba,35.7,21.9,17.4,51.7,5.7,11.7,24.8,3.7,20.1,33.9,58.9,23.9,21.5
Ege University,43.9,44.7,48.2,31.9,2,20.8,46.3,1.1,14.4,36.2,15.6,22.6,23.4
Universidade Federal de São Carlos,63.4,49.9,33.2,45.9,4.2,42.7,33.2,2.9,19.2,41.9,28.3,25.9,21.4
De La Salle University,31.9,27.7,28.7,43.2,3.2,23,33.8,2.2,22.4,33.4,32.3,24.5,23.9
Tamkang University,30.7,24.3,29.8,33.2,4.2,26.1,30.2,2,14.5,35.5,28,32.9,38.7
Marmara University,35,36.6,26,29.2,1,16.4,25.1,0.3,21.4,33.4,16.7,27.5,29.1
Makerere University,29.9,22.8,59.2,36.8,3.1,24.1,93.1,2.1,68.7,100,99.6,39,25.7
Universidade Estadual de Londrina,46.8,41.6,28.7,45.4,2.1,14.7,50.3,0.8,15,33.3,16.2,23.6,18.5
University of Lethbridge,30.1,21.9,33.6,52.3,0.6,32.1,28.2,0.3,21.4,33.5,68.1,56.7,48.7
Universidad Austral de Chile,32.9,25.2,29.3,40.7,1,24.3,37.5,0.5,21.8,45.4,90.8,40.6,22.1
Chapman University,63.1,100,64.6,52,1.4,32.8,28.9,0.8,38.6,36.8,45.3,26,36.5
University of Tunis El Manar,53.7,49.5,16.5,69,0.5,20.7,27.4,0.7,18.5,33.5,74.7,27.3,21.2
Chungbuk National University,36.8,30.4,22.7,46.6,1.1,28.7,37.2,0.9,15.9,36.5,16.5,28.3,25.2
Kharazmi University,70.8,87.5,34.3,38.7,0.3,30.8,37.3,0.1,23.8,37.7,15,21.3,20.4
Universidad del Norte,30.5,21.6,37,37.2,0,25.4,27.3,0.3,21.5,35.1,88.6,43.3,25.9
Federal University of Viçosa,62.9,44.1,39.3,53.8,3.6,35,35.2,3.4,15.2,46.5,16.4,26.2,19.4
University of Central Lancashire,32.3,26.1,30.3,48.1,0.5,37.2,26.4,0.6,37.8,33.6,70.9,54.8,72
University of Antioquia,32.3,23,58.1,34.2,1.4,17.5,45.6,0.9,16.5,41.3,66.3,27.4,18.2
University of Pecs,95.5,84.5,44.3,55.9,1.2,20.8,31.9,0.8,40.1,35.2,59.6,24.8,84.9
Universidade Federal da Bahia,80.2,36.2,30.8,40.4,3.4,16.4,49,1.8,21,33.3,24.7,28.8,17.9
Worldwide: Top*,85.9,100,100,81.1,20.4,100,95.9,17.4,100,72.8,99.9,100,100
Worldwide: 75%,54.6,60.5,59,54.2,8.8,70.7,55.4,7.4,71.3,50,79.4,61.8,67.2
Worldwide: Median,40.1,38.6,38.9,43.7,2.6,38.9,35.6,2,45.1,38.5,46.4,34.1,36.7
Worldwide: 25%,33.7,27.5,27.8,35.6,0.9,21.6,28.4,0.6,23.5,34.8,20.6,25.4,22.8
Worldwide: Bottom*,28.9,18.3,14.9,17.7,0,9.9,24.4,0,1.9,33.3,1.7,21.3,17.2
