,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.04,0.1,264189,17.6,5.5,1.5,156858,7.8,0.93,155145,21.5%,1.1%,3.3%
Beijing Jiaotong University,0.1,0.18,376303,14.7,28.2,10.2,124547,58,0.96,47988,21.6%,11.9%,4.7%
UFG - Universidade Federal de Goiás,0.11,0.14,477998,13.7,8.1,2.5,-,10.9,0.87,3666,27.8%,2.3%,0.9%
Thammasat University,0.01,0.04,585385,11.7,25.9,1.9,87912,21.8,0.79,12909,32.8%,7.7%,1.4%
Rowan University,0.07,0.24,480321,14.4,0.2,2.7,17882,3.2,1.27,657,24.4%,11%,3.1%
Mohammed V University of Rabat,0.17,0.73,91105,43.3,14.1,3.6,33816,26.8,0.89,16396,33.5%,1%,2.9%
Kangwon National University,0.04,0.17,477047,22,9.9,7.5,88290,12.4,0.93,5897,26.6%,0.8%,2.7%
Kaunas University of Technology,0.03,-,250341,14.2,11.7,-,-,14.3,0.96,13377,45.1%,1.9%,7.9%
Prince of Songkla University,0.01,0.03,446346,13,13.1,2.7,68337,18.4,0.89,27303,39.4%,3.3%,1.9%
Universitas Sebelas Maret,0.04,0.09,93108,18.3,10.7,3.7,76348,9.9,0.92,66423,12.7%,11.1%,0.8%
University of Calcutta,20.19,0.87,206040,15.6,43.5,4.4,51892,34.4,0.93,11833,19.4%,0%,0.4%
Ankara University,0.05,0.08,158929,15.2,19.9,1.3,21040,23.2,0.98,1581,27.5%,2.6%,5.3%
"University of the Sunshine Coast, Australia",0.03,0.15,566727,29.6,6.6,10,58214,7.2,1.35,11671,49.8%,18.1%,15.8%
Chungnam National University,0.09,0.33,508745,20.7,21.7,8.1,192967,17.4,0.92,17778,24.1%,3%,4.2%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,5,21.7,17.6,1.5,1,15.8,1.02,0,41.3%,4.1%,0.6%
Universitas Padjadjaran,0.09,0.17,101074,12.1,19.1,1.1,20644,26.9,0.84,9438,23.2%,6.3%,1.2%
University of Sfax,0.16,0.27,12344,12.9,24.5,4.6,1575,36.8,0.93,645,54.4%,0.5%,2.3%
Obafemi Awolowo University (OAU),0.04,0.15,58690,23.3,39.5,2.5,1837,45.3,0.99,0,42.8%,0.4%,0.1%
Pusan National University,0.08,0.31,779982,17,42.1,12.5,225603,37.2,0.96,26693,25.6%,4.4%,6.1%
Khon Kaen University,0.05,0.17,364073,18.1,23.4,3.7,53476,26.5,0.89,24220,33.8%,5.8%,2.4%
Universidad Nacional de Educacion a Distancia,0.03,0.14,269607,56.9,14.5,3.9,-,13.1,1,2511,29.9%,1.8%,4.5%
Canterbury Christ Church University,0.04,0.14,282091,17.8,12.6,2.1,3875,9.4,1.11,196,24%,16.3%,14%
Ege University,0.06,0.19,524603,18.5,7.5,3.5,67185,13.7,0.9,18839,24.5%,1.3%,4.3%
Universidad Nacional de Cordoba,0.05,0.03,53171,16.2,49.9,0.4,1393,45.9,0.91,876,44.9%,1.2%,1.3%
Universidade Federal de São Carlos,0.21,0.27,261194,15.4,29.8,6.1,39414,54.5,0.86,11519,31.4%,2.4%,1.4%
Tamkang University,0.01,0.04,240096,22.9,17.3,2.5,32249,15,0.98,3310,39.5%,5.5%,7.3%
De La Salle University,0.03,0.06,208365,14.9,16,2.4,-,13.8,0.99,0,31.2%,1.1%,2.8%
Marmara University,0.04,0.14,191079,30.6,8.4,1.9,8725,10.7,0.96,6879,23.8%,2.7%,5.6%
Universidade Estadual de Londrina,0.11,0.14,183228,11.2,9.6,2.8,75877,10.1,0.83,16565,24.6%,1.1%,0.6%
University of Lethbridge,0.01,0.02,299361,13.3,0.2,3.5,22826,3.5,1.02,134,45.3%,13.1%,11.4%
Makerere University,0,0.04,378,21,29.1,3.2,193,36.6,1.14,8,76.7%,10.1%,2.9%
Chapman University,0.19,0.47,632047,12.8,16.8,2.9,20207,15.8,1.25,836,39.8%,3.2%,7.7%
University of Tunis El Manar,0.2,0.36,70813,11.1,21.8,4.6,25890,27.9,0.89,2481,50.4%,3.6%,2.3%
Chungbuk National University,0.06,0.17,175991,14.2,5.6,5.5,112445,9.6,0.95,11585,26.6%,3.4%,5%
Universidad Austral de Chile,0.03,0.04,224874,17.5,12.7,3.1,47511,14.1,1,14519,60.7%,8.3%,1.3%
Kharazmi University,0.31,0.4,110722,19,5.3,4.6,12629,7.5,0.93,2019,27.3%,0%,3.6%
Universidad del Norte,0.02,0.06,333799,19,0.9,2.6,11173,4.2,0.9,5658,52.8%,10.5%,1%
Federal University of Viçosa,0.41,0.18,362011,13.3,39.2,6.7,35399,33.2,0.82,13107,26%,1.5%,1.6%
University of Antioquia,0.03,0.07,512146,21.5,3.6,2.3,97395,15.6,0.94,12341,44.4%,3.5%,0.2%
University of Pecs,0.48,0.5,526253,12.6,16.8,2.9,34765,19.3,1.05,3507,43%,2.6%,23.4%
Universidade Federal da Bahia,0.29,0.18,213266,17.4,18.4,1.9,7957,29.6,0.94,588,29.1%,3%,0.3%
University of Central Lancashire,0.02,0.08,259814,14.4,4.5,3.2,7476,16.6,1.31,713,46.7%,15.1%,24.8%
Worldwide: Top*,0.28,0.64,13535000,35.3,102.7,19.1,2406910,153.5,2.4,520838,85.4%,34.3%,35.8%
Worldwide: 75%,0.12,0.3,5737910,21.6,44.1,9.3,987073,64.8,1.54,211529,52%,14.6%,15.6%
Worldwide: Median,0.05,0.14,968684,16.2,12.8,5.1,166248,16.4,1.24,22646,38.1%,5%,6.2%
Worldwide: 25%,0.02,0.06,377300,12.4,4.4,2.7,34522,5.6,0.96,3804,27.7%,1.5%,2.1%
Worldwide: Bottom*,0,0,0,0.9,0,0,0,0,0.33,0,5.3%,0%,0%
