,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,61.8,75.2,43.4,17.8,1.2,21.8,51,1.2,17,35.4,17.3,51.3,99.3,29.9,12.8,28.6,45.5,38.3
UFG - Universidade Federal de Goiás,69.4,47.2,37,85.2,1,20.8,42.7,1,21.2,23.7,13.3,46.6,35.1,15.2,29.4,30,24.2,34.6
Mohammed V University of Rabat,77,97.3,26,10.9,2.6,30.2,42,2.9,21.1,52,33.8,60.5,56.4,25.2,35.9,27.4,32,38.5
Thammasat University,32.9,32.3,73.1,78.2,2.9,28.9,69.9,2,15.6,45.3,17.4,58.9,46.6,18.9,41.1,45.3,27.4,71.9
Rowan University,52.1,52.9,71.3,59.7,0.8,32.7,33,0.4,45.6,47.6,48.9,53.1,32.6,44.7,22.4,59.1,35.5,31.4
Kangwon National University,34.2,49.9,73.7,31.5,1.5,57.7,65.5,1.1,19.1,50.5,25.5,68.6,40.1,65.7,14.9,26.9,30.3,30.9
Kaunas University of Technology,38.2,34,42.6,61.7,1.2,34.1,53.1,1.3,39,60.1,37.7,63.5,54.5,26.7,44.8,29.5,47.2,62
Prince of Songkla University,32.8,29.1,65.7,63.8,2.8,27.1,45.4,2.5,25,50,30.4,59.3,66.1,30.4,48.9,37.2,28.2,32.8
Universitas Sebelas Maret,43.2,39.8,27.5,41.8,1.9,37.6,73.5,1.5,23.7,55.3,15.5,61,97.9,1.5,8.8,74.4,28.8,91.5
Ankara University,45.9,38.2,31.8,18.2,4.7,18.5,31.9,4.4,26,32.9,26.5,46.7,47.4,17.3,26.8,36.9,41.7,38.6
"University of the Sunshine Coast, Australia",34.4,48.9,75.2,17.4,1,95.9,51.1,0.5,62.4,83.2,72.8,81.1,76.2,37.5,71.1,71.8,64.4,28
Chungnam National University,50.9,74.4,79.2,32.2,1.4,61.3,90.6,1.7,19.6,55.1,27.7,74.3,74.9,77.1,11.6,30.5,34.4,55.9
Obafemi Awolowo University (OAU),39.4,60.8,23.5,16.5,1.2,29.6,29.9,0.6,29.5,34.8,14.6,51.4,33.6,39.4,69.9,24.6,23.3,27.9
Pusan National University,60.9,95.9,95.4,41.2,4.5,95.8,97.1,3.9,26,84.5,34,90.7,94.7,91.2,18.8,46.4,57,79.7
Universitas Padjadjaran,61.1,51,24.6,91.8,2.4,17.5,40.1,2,23.1,24.9,12.6,44.7,49,1.9,24,88.7,30.7,67
Vietnam National University - Ho Chi Minh City (VNU-HCM),29.6,26.4,33.9,17.6,3.5,21.4,33.8,3.7,19.6,45,30.6,43.3,48.4,32.7,46,34.7,24.7,28.4
University of Sfax,85.2,74.5,18.8,66.7,2.9,33.3,28.7,2.6,27.8,62.9,32.4,68.9,32.5,48,79.9,25.2,30.4,48.2
Khon Kaen University,59.9,77.6,47.7,41,2.9,36.1,42.6,2.5,33.1,53.6,31.5,64.4,70.8,22,41.6,37.4,28.8,96.9
Canterbury Christ Church University,39.3,55.2,59,40.3,0.6,38.6,30.9,0.3,37.5,46.1,66.1,49.5,31.7,6.2,45.1,75,72.9,32.4
Universidade Federal de São Carlos,87.3,71.2,38.7,55.6,4.9,57,40.7,3.9,16.8,50,20.6,77.6,57.4,45.6,35.6,32.9,25.9,46.9
Universidad Nacional de Cordoba,39.4,24.8,22.5,41.7,4.5,13.5,28.9,3.7,24.4,12.9,13.9,23.4,32.8,8.1,57.5,27.8,26.4,29.5
Tamkang University,29.8,27.4,34.8,37.4,1.1,24.6,34.3,0.8,35.4,36.1,29.9,48.1,33.9,61.8,50.2,36.9,44.9,33.6
Universidad Nacional de Educacion a Distancia,33.9,53.6,43.1,6.8,2.6,66.3,31.1,1.6,22,65.1,22,84.2,33.7,53.5,29.1,29.4,35.7,28.7
Ege University,67.5,83.5,66.9,31.4,1.5,34.8,39.5,1.7,22.4,47.2,18.1,66.1,81.4,34.9,18.8,26.3,33.7,61
De La Salle University,33.8,26.5,38,73.7,2.2,27.5,31.9,1.8,20,44.3,23.5,54.6,31.5,13.6,27.6,31.2,29.7,82.5
Marmara University,43.3,71.8,50.5,15.7,1.7,23.6,32.3,1.4,24.9,36,24.8,50.9,38.5,19.4,21.2,31.4,37.4,43.6
Universidade Estadual de Londrina,62.6,58.7,34.5,84.9,1.4,27,57.8,1,11.4,21.9,11.3,50,53.4,15.7,21.9,27,25.2,33.2
University of Lethbridge,30,24.6,44.4,54.3,0.8,38.6,35,0.5,19.9,38.4,26.9,52.4,33.7,49.7,54.9,65.1,63.7,25.1
Makerere University,29.1,32.5,70.2,36.2,2.7,22.2,2.7,2.8,50.8,37.9,37.3,43,31.5,8.8,98.7,73.9,29.7,61.4
Universidad Austral de Chile,31.2,23.9,38.2,35.9,0.6,35.4,43.2,0.7,19.7,35.6,26.9,53,52.6,12.6,82.1,51.4,26.7,32.8
University of Tunis El Manar,99.3,95.6,44.4,93.2,3.8,40.4,82.4,3.4,15.2,54,11.4,67.2,99.7,33.4,69.7,49.7,45.3,100
Chungbuk National University,49.7,67.8,69.1,57.5,2.5,57.1,85.7,1.3,19.7,47.2,24.5,67.1,47.1,65.8,16.7,35.6,45.5,43
Universidad del Norte,32,33.4,50.5,40.1,0.1,38.5,35.2,0.1,23.9,34.3,21.9,48.6,43.2,6.1,79.6,49,24.7,89.4
Federal University of Viçosa,74.6,42.5,36.1,92.1,4.1,24.5,32.1,3,13.4,27.1,15.3,56.6,41.7,17.9,18.9,28.1,26.9,34.9
Kharazmi University,86.4,81.5,24.8,40.8,0.5,45.3,31.2,0.1,35.8,61.7,47.1,52.7,34.9,15.3,40.2,28.2,33.6,28.8
University of Antioquia,31.1,28.7,58,37.1,1.9,21.8,77.6,1.4,36.4,28.6,19.5,50.8,54.9,26.1,63.5,32.5,23.2,25.1
University of Pecs,99.8,92.8,92.2,53.7,1.5,42.1,50.7,1.8,28.1,42.9,25.6,58.7,41.2,36.8,42,44.4,86,66.3
University of Central Lancashire,31.1,29.2,43.6,47.8,1.2,35.2,32.1,1.5,53,58.5,65.9,60,32.4,42.2,77.5,74.8,97.5,36.3
Universidade Federal da Bahia,69.2,78,34.5,31.1,3.6,21.6,32.7,3.4,23.6,26.2,12.2,53.3,32.2,13,31.3,33,24,28.4
Worldwide: Top*,100,100,100,100,11.6,100,100,11.9,100,100,100,100,100,100,99.9,100,100,100
Worldwide: 75%,65.9,75,71.6,67.9,5,70.2,66.9,5,71.9,83.2,76.4,82.4,62.3,82.8,76.1,67.2,70.4,65.7
Worldwide: Median,41.9,46.6,46,44.4,1.4,39.4,40.3,1.2,47.5,54,49.7,58.3,39.4,35.5,48.2,37.7,41.5,37.5
Worldwide: 25%,32.5,30.5,31.4,26.8,0.5,23.7,31.7,0.4,24.1,29.7,23.4,37.3,33.1,8.8,22.7,27.9,28,29
Worldwide: Bottom*,26.6,16.1,18.1,3.7,0,8.1,1.9,0,0.7,1.3,0.2,1,31.5,0,1.2,24.6,23,25.1
