,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.11,0.36,294101,27.9,14.5,1.8,88151,22.9,0.89,9.12,1.01,51.34,85617,11.1,22.5%,1.5%,7.2%,0.01
UFG - Universidade Federal de Goiás,0.14,0.14,228725,10,12.8,2.1,52102,16.1,0.89,10,0.94,46.64,2905,9.9,30.7%,1.9%,0.4%,0
Mohammed V University of Rabat,0.16,0.61,105585,38.9,28.3,4.2,38318,51.3,0.96,25.24,1.21,60.54,18752,11.21,38.1%,1.1%,3.3%,0
Thammasat University,0.02,0.06,604634,10.9,36.2,2.5,75458,34.8,0.87,10.6,1.01,58.9,11583,11.91,36%,7.1%,1.6%,0.02
Rowan University,0.08,0.27,582971,13.5,12.8,3.4,21012,6.8,1.26,14.61,1.36,53.12,930,23.67,26%,10.5%,3.9%,0
Kangwon National University,0.03,0.15,611226,19.9,27.8,7.8,132065,26.2,0.94,22.07,1.12,68.59,6723,83.99,26.2%,0.9%,2.6%,0
Kaunas University of Technology,0.04,0.08,286438,13.2,19.4,4.2,74363,22.9,1.17,14.98,1.25,63.53,17322,19.59,48.9%,2.3%,9.5%,0.02
Prince of Songkla University,0.02,0.06,520715,12.9,40.1,3.2,57801,49.8,0.98,15.6,1.17,59.3,26077,23.05,40.9%,4.5%,1.9%,0
Universitas Sebelas Maret,0.05,0.13,124125,16.9,22.3,4.3,87293,20.6,0.91,16.46,0.98,61.04,73362,1.1,16.4%,15.5%,1.9%,0.03
Ankara University,0.19,0.69,281232,6.7,75.8,6,35588,90.6,0.99,26.26,1.13,46.74,9153,36.71,30.9%,2.8%,6.1%,0.04
"University of the Sunshine Coast, Australia",0.03,0.14,630356,28.4,11.2,11,83803,6.1,1.49,32.87,1.6,81.09,34803,13.17,50.8%,16.6%,13.6%,0
Chungnam National University,0.08,0.28,681766,19.7,23.5,8.8,241627,36.2,0.94,27.99,1.14,74.35,33560,120.84,24.6%,2.2%,4%,0.01
Obafemi Awolowo University (OAU),0.04,0.18,74051,29.3,15.3,3,4340,8.7,1.05,9.43,0.97,51.41,1750,5.41,45.6%,0%,0.1%,0
Pusan National University,0.11,0.45,1028878,17,57.2,16.5,320836,55.5,1.02,52.74,1.21,90.66,61013,200.67,28.7%,7.5%,10.8%,0.03
Universitas Padjadjaran,0.11,0.18,87973,9,35.1,1.3,28679,35,0.9,7.77,0.93,44.65,13322,2.34,25.7%,22%,2.5%,0.01
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,8,28.2,42.7,2.5,1,59.8,0.98,15.26,1.17,43.3,1,8.37,38.8%,3.6%,0.6%,0
University of Sfax,0.2,0.28,9902,12.5,37.1,4.2,1784,51.2,1.01,21.35,1.19,68.91,839,21.43,59%,0.3%,2.9%,0.01
Khon Kaen University,0.11,0.38,337771,17.1,38.6,4.5,48097,38.2,1.06,20.15,1.18,64.44,29987,22,38%,4.6%,2.1%,0.04
Canterbury Christ Church University,0.04,0.16,450876,17.3,8.6,2.7,4704,5,1.23,9.87,1.53,49.46,197,1.92,37.8%,17%,15.7%,0
Universidade Federal de São Carlos,0.21,0.26,246239,14.2,57.8,7.3,48438,61,0.84,19.76,1.05,77.64,19449,36.3,34.2%,2.9%,1%,0.01
Universidad Nacional de Cordoba,0.04,0.02,61436,16.9,63.8,0.4,1843,69.7,0.97,3.78,0.95,23.43,1106,8.13,46.2%,1.2%,1.3%,0
Tamkang University,0.01,0.04,205775,18.1,16.2,2.3,16439,13,1.13,9.33,1.17,48.07,1927,21.88,46.7%,4.7%,7.5%,0
Universidad Nacional de Educacion a Distancia,0.03,0.13,291720,57.6,33.9,4.3,7163,20.5,1,13.12,1.07,84.16,1807,14.38,29.6%,1.8%,4.4%,0
Ege University,0.13,0.47,533204,20,21,4.6,43987,27.6,0.96,17.55,1.02,66.05,39946,29.33,26.5%,0.6%,3.7%,0.02
De La Salle University,0.02,0.04,239724,11.5,28.1,2.3,10147,33.8,0.94,9.16,1.09,54.6,0,2.83,32.4%,2.4%,2.3%,0.03
Marmara University,0.06,0.22,365651,30.3,26.2,2.5,12392,23.4,0.98,13.7,1.11,50.9,5535,16.41,27.9%,2.5%,4.8%,0.01
Universidade Estadual de Londrina,0.11,0.17,202506,10,18.3,2.8,89228,15.9,0.76,8.02,0.91,50.05,16509,10.67,26.6%,0.9%,0.8%,0
University of Lethbridge,0.01,0.04,304772,14.4,13.7,3.7,21330,7.7,1.01,8.57,1.13,52.37,1783,17.18,44.8%,13.8%,13.1%,-
Makerere University,0.01,0.07,-,18.4,30.7,2.3,-,35.7,1.3,14.01,1.24,43.03,-,10.77,76.6%,16.9%,2.4%,0.01
Universidad Austral de Chile,0.02,0.03,241514,18.5,5.5,3.5,45676,11,0.94,9.75,1.13,53,15900,11.02,59.1%,9.7%,1.5%,0
University of Tunis El Manar,0.37,0.55,304159,8.7,45.5,5.1,180921,65.8,0.86,18.7,0.91,67.18,95255,31.83,53%,9.4%,8%,0.07
Chungbuk National University,0.07,0.24,557497,13.9,44.2,7.8,181433,30.7,0.95,21.7,1.1,67.05,11938,87.86,28.6%,4%,7.4%,0.01
Universidad del Norte,0.02,0.07,365499,17.3,0.8,3.2,14923,0.5,0.92,7.27,1.07,48.56,9022,4.95,53.7%,8.4%,0.7%,0.04
Federal University of Viçosa,0.16,0.12,219788,8.9,53.6,3.5,19039,46.8,0.79,10.81,0.98,56.59,7971,13.29,27.5%,1.3%,1.3%,0
Kharazmi University,0.21,0.28,90463,17.2,0.9,5,8186,1.2,1.1,15.93,1.34,52.66,2716,8.22,35.7%,1.3%,3.6%,0
University of Antioquia,0.02,0.04,440737,18.1,25.6,2,125347,19.2,1.04,11.73,1.04,50.76,17590,17.13,47.2%,2.9%,0.1%,-
University of Pecs,0.43,0.68,922764,14.5,17.5,4.7,79389,31.1,1.07,14.97,1.12,58.73,7559,43.28,43.2%,7.6%,23.7%,0.02
University of Central Lancashire,0.02,0.05,296364,15.6,15.3,2.8,10195,23.3,1.38,14.28,1.52,60.05,725,16.08,51.5%,16.9%,31.3%,0
Universidade Federal da Bahia,0.14,0.26,202669,20.1,52,2.2,8920,50.4,0.91,9.53,0.92,53.3,561,11.89,30.8%,2.9%,0.4%,0
Worldwide: Top*,0.28,0.65,16869500,36,155.1,18.7,2948180,192.4,2.36,93.22,2.45,100,658603,220.82,89.6%,34.4%,35.1%,0.05
Worldwide: 75%,0.12,0.3,7058810,21.9,66.7,9.2,1204960,81.3,1.52,42.76,1.64,82.38,267369,91.36,54.4%,14.6%,15.1%,0.02
Worldwide: Median,0.05,0.13,1228290,16.3,18.1,5.1,181950,20.3,1.24,18.76,1.36,58.28,26921,19.36,40.5%,4.6%,6%,0.01
Worldwide: 25%,0.02,0.06,430081,12.3,6.4,2.7,38371,7.1,0.97,9.01,1.09,37.27,3779,4.93,29.2%,1.2%,1.8%,0
Worldwide: Bottom*,0,0,0,0.8,0,0,0,0,0.32,0,0.29,0.98,0,0,7%,0%,0%,0
