,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,18.4,13.3,20.9,95.8,21.7
Ankara University,18.8,11,25.6,37.7,27.4
Universidad Austral de Chile,16.5,14.4,24,44.4,51.4
Beijing Jiaotong University,25.3,28.3,22.5,61.9,32.3
Canterbury Christ Church University,24.7,12.8,26.4,37,47.7
Chapman University,38.5,13.9,43.3,37.4,40.6
Chungbuk National University,20.3,20.2,20.9,42.9,26.6
Chungnam National University,26.7,24.6,18.7,46.1,24.3
De La Salle University,18.1,13.4,23.6,36.9,25.6
Ege University,21.8,13.3,19,46.7,24.1
UFG - Universidade Federal de Goiás,22.5,13,19.2,38.8,23.7
Universidade Federal de São Carlos,28.1,19,18.4,42.8,26.1
Federal University of Viçosa,28.3,16.7,15.2,43.7,21.7
Kangwon National University,20.3,19.4,19.1,39.9,23.1
Kaunas University of Technology,18.2,15.9,21.3,43.8,44.3
Kharazmi University,31.3,14.1,19.4,38,24.6
Khon Kaen University,22.1,14.4,19.2,49.5,32.2
Universidade Estadual de Londrina,23.1,14.9,15.9,45.5,21.1
Makerere University,21.8,27.7,34.5,52.2,57.6
Marmara University,18.3,10,24.1,40.4,26.3
Mohammed V University of Rabat,30.4,13.3,17.4,45.4,27.9
Universidad Nacional de Cordoba,18.3,10.2,19.4,37.4,35.3
Universidad Nacional de Educacion a Distancia,17.8,18.5,21.9,38.2,29.5
Obafemi Awolowo University (OAU),19.6,12.3,26.1,36.9,33.9
Prince of Songkla University,18.8,13.6,18.9,51.2,33.1
Pusan National University,30.7,32.5,21.6,50.8,28.5
Rowan University,30.7,11.3,45.6,37.3,31.3
Tamkang University,15.8,12.7,23.7,38.6,39.9
Thammasat University,21.9,17,11.9,43.6,33
Universidade Federal da Bahia,24.6,11.1,25.6,37.2,24.6
Universitas Padjadjaran,22.5,11,17,41.8,26.1
Universitas Sebelas Maret,17.9,17.3,23.6,70.8,25.8
University of Antioquia,17.2,14.9,25,43.3,37.8
University of Calcutta,39.3,14.7,21.4,43,16.6
University of Central Lancashire,18.2,13.9,45.5,37.3,73.3
University of Lethbridge,17,13.7,20.5,37,57.1
University of Pecs,38.3,13,27.2,38.7,56.3
University of Sfax,25.2,14,22.6,37.3,43.6
Universidad del Norte,17.3,12.5,21.1,39.8,51.6
"University of the Sunshine Coast, Australia",19.5,26.5,48,42.9,70.5
University of Tunis El Manar,28.8,13.7,19.5,38.2,43.7
Vietnam National University - Ho Chi Minh City (VNU-HCM),15.1,10.1,20.7,41.5,35.6
Worldwide: Top*,52.4,55.2,100,64,99.7
Worldwide: 75%,31.8,28.9,72.3,48.3,62.1
Worldwide: Median,22.7,17,47.2,40.5,42.1
Worldwide: 25%,18,11.3,23.1,37.8,27.9
Worldwide: Bottom*,11.6,7.4,0.8,36.9,14.1
