,Teaching,Research Environment,Research Quality,Industry,International Outlook
Dokuz Eylul University,19.4,18.2,25.5,67.1,25.5
Ankara University,18.2,11.6,30.5,36.6,34.4
Universidad Austral de Chile,17.3,14.7,30.2,30.9,51.4
Canterbury Christ Church University,20.7,13.8,44.6,18,59.6
Chapman University,36.9,14.7,48.1,59.2,46.8
Chungbuk National University,26.5,21.2,29.9,50.6,29.6
Chungnam National University,29.9,29.7,34.9,71.7,26
De La Salle University,19.6,12.8,31.3,17.4,29.3
Ege University,32.7,16.7,30.4,63.4,25.7
UFG - Universidade Federal de Goiás,30,13.8,26.2,30.8,27.7
Universidade Federal de São Carlos,33.4,19.8,33.5,44.8,29.5
Federal University of Viçosa,32.2,14.5,23,26.6,24.5
Kangwon National University,22,21.9,32.4,47.4,24.1
Kaunas University of Technology,22.2,15.3,39,36.9,39.2
Kharazmi University,32.7,13.8,37.2,25,29.5
Khon Kaen University,23.3,15.7,35.5,36.1,35.4
Universidade Estadual de Londrina,30.3,16.1,19.6,34.8,23.9
Makerere University,23.4,25.3,39.6,52.1,68.1
Marmara University,17,11.7,31.9,26.9,30.7
Mohammed V University of Rabat,29.1,15,32.2,37.3,32.1
Universidad Nacional de Cordoba,18,10.3,20,19.4,37.1
Universidad Nacional de Educacion a Distancia,24.9,18.9,37.8,35.8,31
Obafemi Awolowo University (OAU),15.3,12.3,32,19,37.9
Prince of Songkla University,23.4,14.8,32.6,43.5,37.7
Pusan National University,39.2,39.1,45.1,86.6,37.8
Rowan University,26.6,12.4,45.9,30.8,39
Tamkang University,15.3,12.7,34.1,43.6,42.9
Thammasat University,26.3,19.1,25.7,30.1,38.1
Universidade Federal da Bahia,27.5,12.3,30.5,19.7,28.4
Universitas Padjadjaran,28.5,12.2,19.2,23.6,34.3
Universitas Sebelas Maret,19.3,19.3,33.9,48.3,33.3
University of Antioquia,17.7,20.3,33.5,37,40.9
University of Calcutta,40,15.2,33.7,30.3,19.3
University of Central Lancashire,18.3,13.8,51.9,34.3,82.3
University of Lethbridge,20.3,14.1,31.2,34.6,61.4
University of Pecs,39.1,16.5,29.9,32,54.3
University of Sfax,33.7,13.9,40.5,34.5,44.7
Universidad del Norte,18.3,13,26,24,52.8
"University of the Sunshine Coast, Australia",20.9,27.7,70.2,37.3,69.1
University of Tunis El Manar,42.3,19.9,31.1,49.5,50.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),14.6,11.2,26.1,26.2,36.8
Worldwide: Top*,56.4,56.8,99.7,100,98.8
Worldwide: 75%,34.5,29.8,73.2,68.1,65.4
Worldwide: Median,25.8,17.2,52.4,41,45.3
Worldwide: 25%,19.4,11.8,30.4,22.2,31.9
Worldwide: Bottom*,9.4,4.6,3.4,15.6,16.1
