,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.04,93258,38.5,0.0,0.6,1994,0.0,N/A,302,2.7%,-,1.2%
Thammasat University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,0.07,0.13,117850,19.4,0.0,1,10424,0.0,N/A,438,9.2%,3.6%,1.3%
Universidade Estadual de Londrina,0.12,0.21,94190,14.4,0.0,0.7,8731,0.0,N/A,N/A,7.7%,0%,0.2%
Dokuz Eylul University,0.01,0.04,93258,38.5,0.0,0.6,1994,0.0,N/A,302,2.7%,-,1.2%
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0,0,332193,19.3,0.0,3.5,1899,0.0,N/A,0,12.2%,14%,7.4%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.01,0.05,N/A,16.5,0,0.7,3722,0.8,N/A,91,21.8%,6.4%,5.4%
University of Central Lancashire,0,0,N/A,11.4,0.8,4.1,2142,0,N/A,0,18.1%,3.7%,29.2%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.06,0.3,233766,39.2,0,1.3,8932,0.7,N/A,0,16.7%,7.6%,0.6%
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.21,0.58,217001,21.2,1,1.2,18442,1,N/A,0,12.4%,0%,0.5%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,-,-,-,-,0,-,-,0.8,N/A,-,9%,-,N/A
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
