,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.01,0.02,194290,16.2,0,5.1,19363,0.7,N/A,2905,38.8%,0%,0.1%
Ankara University,0.04,0.05,310105,9.2,6,2.5,30508,0.8,N/A,1200,21.9%,1%,3.8%
Universidade Estadual de Londrina,0.22,0.32,308204,12.7,1.6,4,28737,2.3,N/A,N/A,21.3%,0.6%,0.6%
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.2,0.2,463683,12.8,0.8,5.8,64787,0,N/A,-,27.6%,0%,1%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.08,0.11,21757,12.3,0,5.1,21343,0.8,N/A,7516,22.1%,1%,0.3%
Makerere University,0.02,0.08,100,11.4,0.0,6.8,6,0.0,N/A,2,83.4%,7.7%,2.9%
Prince of Songkla University,0.03,0.12,156345,20.2,4,6.1,26491,0.7,N/A,6708,42.2%,1.5%,1.8%
University of Pecs,0.03,0.08,434455,16,0.0,13.8,246067,0.0,N/A,17873,53.6%,0%,4.3%
Universidad Austral de Chile,0.11,0.1,215185,10.4,0.0,4.6,117871,0.0,N/A,47231,61.7%,12.9%,3.6%
"University of the Sunshine Coast, Australia",0.09,0.21,613997,26,0,13.8,169239,1.2,N/A,21850,53.1%,15.7%,13.2%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.06,0.26,-,22.8,3.2,11.3,329540,2.1,N/A,26407,33.3%,2.5%,3.2%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.02,0.07,N/A,10.6,0.0,3.7,2736,0.0,N/A,488,43.2%,8.4%,12.1%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.18,0.1,18680,4.8,2.9,2,790,1,N/A,170,42.4%,0.8%,2.4%
Federal University of Viçosa,0.38,0.7,496326,18.5,4.8,11.5,28491,4.4,N/A,27447,20.2%,0.7%,3.8%
University of Antioquia,0.03,0.07,-,20.5,1.3,2.5,449899,0.7,N/A,20770,48.5%,3.1%,0.6%
University of Sfax,0.11,0.41,20678,17.9,0.0,10.6,3953,0.0,N/A,0,49.7%,1.6%,0.4%
Khon Kaen University,0.05,0.21,222379,23.3,2.1,20.7,134503,1.4,N/A,18111,43%,2.2%,1.4%
Mohammed V University of Rabat,0.08,0.16,50076,19.1,1,3,18916,0,N/A,17546,61.4%,2.5%,2.6%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.35,0.29,410300,9.2,0.8,5.5,116176,1.6,N/A,55787,28.8%,0.5%,1.6%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,-,-,-,-,0.0,-,-,0.0,N/A,-,29.6%,-,N/A
University of Tunis El Manar,0.33,0.48,157393,11.7,1.9,6.4,36776,0.9,N/A,82,58.4%,0.5%,0.7%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
