,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.07,0.15,155148,13.7,0.0,9.9,41294,0.0,N/A,260,23.5%,6.7%,1.9%
Marmara University,0,0,118465,21.9,0.0,4.8,12538,0.0,N/A,329,23.4%,3.4%,2.3%
University of Tunis El Manar,0.57,0.62,46532,13,0.0,9.1,29177,0.0,N/A,570,54.1%,6.6%,0.4%
Vietnam National University - Ho Chi Minh City (VNU-HCM),-,0.03,-,-,1,3.1,0,0,N/A,-,51.5%,-,N/A
Kaunas University of Technology,0.03,0.02,57319,5.7,0.0,9.7,18102,0.0,N/A,10615,37.5%,0.9%,1.7%
Universidade Federal de São Carlos,0.41,0.26,304585,11.7,0,8.3,52715,1,N/A,3631,32.6%,5.9%,2.6%
Tamkang University,0.01,0.06,223310,23.8,1,12.3,55643,2.4,N/A,4661,35.3%,2.1%,3.6%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.26,0.09,27112,3,4.1,1.8,20531,1.1,N/A,93,46.8%,1.5%,3.3%
Federal University of Viçosa,0.21,0.16,351138,11.6,0.0,8.7,25583,0.0,N/A,22822,27.3%,2.1%,1.3%
University of Antioquia,0.28,0.12,-,10.5,0.0,3.9,414337,0.0,N/A,34036,58.1%,6.6%,0.4%
Mohammed V University of Rabat,0.03,0.06,48683,16,0.0,4.1,19564,0.0,N/A,13367,38.6%,0%,1.9%
University of Sfax,0.4,0.29,8266,8.2,0.0,6.8,2729,0.0,N/A,0,51.6%,0.8%,1.2%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.04,0.16,452804,17.9,0.0,34.2,110441,0.0,N/A,499,30.4%,7.1%,0.5%
Khon Kaen University,0.05,0.15,179579,19.7,0.0,5.4,33634,0.0,N/A,17407,30.1%,1.3%,0.6%
Beijing Jiaotong University,0.67,0.23,339205,6.7,0.0,29,56640,0.0,N/A,11367,21.2%,4.3%,0.5%
Pusan National University,0.08,0.34,736979,20.9,0.7,30.8,327234,2.5,N/A,48243,32.5%,14.7%,11.3%
De La Salle University,-,-,-,-,0.0,-,-,0.0,N/A,-,42.9%,-,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.02,0.11,-,22.2,1.1,28.1,135342,2.2,N/A,11637,27.8%,3.3%,1%
Ege University,0.06,0.18,287552,27.7,0.7,9,21339,0,N/A,6235,28.3%,5.8%,1.7%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.16,0.08,17120,10.2,1.3,5.5,16745,0,N/A,11738,30.1%,4.4%,0.7%
Kharazmi University,0.1,0.12,216194,13.5,0.0,10.5,62139,0.0,N/A,44601,19.2%,0%,0.9%
University of Lethbridge,-,0.08,-,-,0.9,11.8,22671,0.9,N/A,-,57.9%,-,N/A
University of Pecs,0.3,0.12,155855,6.4,0.0,8.9,48398,0.0,N/A,2494,40.5%,0%,25.3%
Prince of Songkla University,0.04,0.08,170249,9.8,0.0,3.2,32329,0.0,N/A,2705,37.4%,1.3%,2.8%
Universidad Austral de Chile,0.14,0.06,171547,8.1,0.0,6.7,89488,0.0,N/A,32388,69.4%,11.5%,4.2%
Thammasat University,0.01,0.02,170560,18.3,0.0,8.3,13541,0.0,N/A,1652,34%,2.6%,0.8%
Universidade Estadual de Londrina,0.45,0.54,134262,19.2,1,4.1,33893,0,N/A,N/A,19.4%,1.1%,1.2%
Ankara University,0.21,0.16,169360,15.3,0.0,4,14559,0.0,N/A,837,35.2%,0%,2.6%
Dokuz Eylul University,0.07,0.15,155148,13.7,0.0,9.9,41294,0.0,N/A,260,23.5%,6.7%,1.9%
Universidade Federal da Bahia,0.05,0.07,237233,10.3,0.0,3.1,68111,0.0,N/A,N/A,32.9%,6.5%,0.3%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
