,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,44.7,26.9,36.9,70.2,3.6,19.9,36.3,1.4,41.5,42,12,27,27.6
Khon Kaen University,45.2,32.8,41.6,48.9,13,21.8,38,13.5,38,45.1,49.7,30.7,29.8
Chapman University
Mohammed V University of Rabat,51.2,94.2,35.1,35.4,11,20.6,35.3,0,35.2,42.6,20.8,24.2,77.9
University of Sfax,49.5,62.5,34,45.4,0,24.2,33.3,0,32,41.2,49,24.2,29.2
Universidad Nacional de Cordoba,44.4,26.4,35,38.1,8,17.7,33.4,7.2,37.4,41.3,67.8,26.9,26.3
Universidad del Norte
University of Antioquia,44.5,27.2,42.9,40.8,3.7,21.1,36.8,2.5,34.2,42.1,60.3,25.5,20.8
Universitas Padjadjaran,47.6,53.2,35,41.8,5.3,17.7,34.2,4.7,31.5,43,37.7,25.5,32
Federal University of Viçosa,45.2,31.3,40.3,40.5,0,36.8,36.3,0,35.2,44.8,19.4,26.4,20.5
Beijing Jiaotong University
Kangwon National University,45,35.3,38.8,40.7,0.5,45.7,36.9,0.4,40.4,41.4,17.1,24.2,21.6
University of Calcutta
University of Central Lancashire,44.5,28.5,33.9,36.4,3.2,27.1,34.3,2.8,44.7,41.3,68.4,51.9,66.9
Obafemi Awolowo University (OAU),44.6,27.2,34,46.9,2.3,24.7,33.5,4.1,37.2,41.5,53.9,24.2,20.2
University of Tunis El Manar,45.6,36.2,34.2,64.8,0,20.4,33.8,0,41.9,41.2,29.5,25.2,22.5
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Marmara University,44.7,30.9,38.1,35.7,0,21.7,33.4,0,40.1,41.2,14.4,25.1,37.7
Chungbuk National University,46,35.7,38,45.4,4.8,40.5,41.5,4.7,42.4,41.7,10.3,24.2,19.6
Kaunas University of Technology
Tamkang University
Universidade Federal de São Carlos,45.4,33.2,37.8,46.2,4.6,37.2,35.3,7.5,37,41.2,36.9,26.8,25.6
Prince of Songkla University,44.7,28.4,50.7,50.9,11,21,35.1,7.9,38,42.3,51.2,26.9,26.5
Universidad Austral de Chile,44.3,25.5,37.9,33.6,0,21.5,35.1,0.4,36.2,42.5,92.8,26.6,21.5
University of Pecs,55,69.7,40.9,41.5,8.3,22.5,36.8,5.7,48.4,42.2,67.9,27.5,99.6
University of Lethbridge,44.4,27.6,47.1,36.3,0,27.8,36.8,0,38.1,41.3,52.5,78.7,50.2
Makerere University,44.6,28.5,53.4,37.3,12.4,35.8,89.1,7,60.4,99.6,99.8,44.4,52.2
UFG - Universidade Federal de Goiás,45.6,35.1,34.1,41.8,0,23.8,34.2,0,37,41.3,21,27.5,20.7
Thammasat University,44.5,26.7,43.6,61.5,0,19.3,34.6,0,35.9,42,41.3,29.4,21.6
Ankara University,44.7,28.3,40.2,44.2,5.3,20.2,36.5,8.2,38.8,41.8,10.3,26.4,37.7
Universidade Estadual de Londrina,44.9,29.7,43,49.8,10.4,20.4,58.5,3.6,39.1,41.2,32.5,26.7,20.9
Dokuz Eylul University,44.7,26.9,36.9,70.2,3.6,19.9,36.3,1.4,41.5,42,12,27,27.6
Universidade Federal da Bahia,45.7,29.3,39.4,40.9,2.1,20.8,36.8,5.7,41.2,41.2,29.8,27.4,20.2
Kharazmi University
Canterbury Christ Church University
Chungnam National University,47.9,47,49.5,46,5.4,41,48.2,4.8,40.9,43.1,11.8,30,26.9
De La Salle University
Pusan National University,54.1,43.7,46.9,48.9,2.5,60.3,44.5,8.2,37.3,42.3,7.7,26,24.4
"University of the Sunshine Coast, Australia",44.5,36.5,44.1,29.9,6.9,55,36.9,0,43.8,41.4,72.1,68.7,78.4
Ege University,46.5,44.2,43,38.2,7.2,22.3,40.1,3.4,36.6,42.7,13.1,24.2,31.1
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Rowan University
