,Engineering,Arts and Humanities,Business and Economics,Social Sciences,Psychology,Physical Sciences,Life Sciences,Law,Education,Computer Science,Clinical and Health
Dokuz Eylul University,13.5,,19.5,13.4,,11.9,,,16.1,,24.6
Khon Kaen University,19.8,,,20.6,,14.4,18.2,,17.9,,28.4
Chapman University,,,,28.4,34.8,25.3
Mohammed V University of Rabat,17.4,,15,,,14,13.8,,,18.6,26.7
University of Sfax,20.2,,20.6,26.2,,18.8,22.1,,,20.8,22.1
Universidad Nacional de Cordoba,15.2,14.2,,23.3,13.6,20.9,23.1,,,,25.3
Universidad del Norte,,,,21.3
University of Antioquia,20.6,11.9,,13.4,,21.9,19.6,,15.1,,22.7
Universitas Padjadjaran,18.7,,18.2,11.2,,,8.8,,,,22.9
Federal University of Viçosa,20.2,,,17.1,,16.1,24.3,,,,21.7
Beijing Jiaotong University,27.2,,20.3,,,23,20.2,,,27.1
Kangwon National University,14.2,,,21.9,,20.9,14.2,,,,24
University of Calcutta,21.4,,13.5,15.5,,19.4,21.1,,,18.5
University of Central Lancashire,,19,26,22.9,31.9,,23.9,20.7,28.9,,28.2
Obafemi Awolowo University (OAU),17.8,,15.1,15.7,,11.9,8.9,,,,23.6
University of Tunis El Manar,20,,24.6,,,14.4,17.1,,,18.3,24.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),23.4,,17.8,,,16.6,17.5,,,23.4
Marmara University,14.5,,12,15.7,,,20.3,,19.4,,22.6
Chungbuk National University,13,,,,,12,13.6,,,18.6,26.2
Kaunas University of Technology,12.9,,13.1,15.5,,13.3,,,,19.6
Tamkang University,17.1,,18.1,14.1,,16.2,,,25.4,20.3
Universidade Federal de São Carlos,21.7,,,19,27.6,18.7,24.3,,17.3,19.6,25.2
Prince of Songkla University,17.4,,,,,13.4,17.2,,,,26.7
Universidad Austral de Chile,,,,18.6,,25.6,22.9,,,,22.8
University of Pecs,,,,20.4,22.8,15.5,21.8,,,,33.2
University of Lethbridge,,,,25.2,27.1,20.7,20.6,,,,24.9
Makerere University,,,20,24.6,,20.9,25,,25.5,,40.8
UFG - Universidade Federal de Goiás,12.1,,,10.5,,15.3,16.6,,16,13.2,21.8
Thammasat University,16.7,,23,17.4,,10.6,12.6,,,14.6,22.1
Ankara University,18.1,,,15.9,,14.9,13.2,,18.8,,24.9
Universidade Estadual de Londrina,16,,,,,15.5,16,,15.8,,26.3
Dokuz Eylul University,13.5,,19.5,13.4,,11.9,,,16.1,,24.6
Universidade Federal da Bahia,15,,,17.4,20.4,16.1,17.4,,19.6,17.8,24.7
Kharazmi University,23.5,,,,,18.3
Canterbury Christ Church University,,,,18.2,23.4,,,,26.3
Chungnam National University,20.6,,,,,16.2,17,,,16.4,27.2
De La Salle University,25.8,,17.9,18.9,,23.4,,,,24.6
Pusan National University,30.8,,33.6,25.3,,32.8,,,,26.3,26.4
"University of the Sunshine Coast, Australia",,,24.2,32.2,23.8,,35.6,,26.7,,30.4
Ege University,15.1,,,,,13.2,14.1,,,,24.2
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Rowan University
