,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.14,112840,48.5,0.0,0.8,4268,0.0,1.16,335,26.1%,0.3%,2.4%
Mohammed V University of Rabat,0.05,0.6,72329,99.4,0.0,1.6,46527,0.0,0.77,31372,20.1%,0%,2.6%
University of Sfax,0.12,0.4,9866,23.1,1.6,2.2,847,1.6,1.05,0,41.4%,1.4%,2%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.03,0.16,223330,41.1,5.3,1.7,41259,3.6,0.97,0,29.8%,16.6%,2.3%
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0.12,0.2,67848,13.8,0.0,1,48893,0.0,0.58,-,17.9%,16.7%,1.2%
Universitas Padjadjaran,0.16,0.38,143213,20.7,0.0,1.4,13877,0.0,0.59,11989,39%,2.3%,1.2%
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,0.13,0.22,369839,19.7,3.5,3.3,50537,0,0.78,19885,30.2%,22.2%,7.4%
University of Calcutta,-,0.49,330653,33.9,0.0,0.7,11369,0.0,0.63,4668,14.8%,0%,0.4%
Kangwon National University,0.03,0.22,621809,38.2,0.0,3.2,56536,0.0,1.23,551,33.3%,3.2%,9.5%
University of Central Lancashire,0.02,0.11,N/A,16.5,0.0,2.3,771,0.0,1.42,149,29.8%,12.9%,47.5%
Obafemi Awolowo University (OAU),0.05,0.33,16797,42.3,0.0,3.2,2259,0.0,0.82,0,32.3%,1.4%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.01,-,22.6,0.0,0.9,0,0.0,1.2,0,33.8%,11.3%,0.4%
Marmara University,0.03,0.17,177223,62.7,0,0.7,854,1.4,0.83,480,24.2%,0%,3.3%
University of Tunis El Manar,0.1,0.42,56403,34.5,0.0,3.1,25481,0.0,1.22,0,46.9%,1.5%,2.8%
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.01,0.04,251862,19,0,3.5,31881,1.6,0.79,4149,39.8%,1.4%,6.9%
Tamkang University,0,0.02,231186,32.1,3.2,1.7,8425,1.6,0.94,92,30.3%,1.4%,10.3%
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0,0.02,689873,18.4,4.9,1.6,243146,3.4,0.93,21950,41%,11%,0.9%
Makerere University,0,0.12,154,49.1,1.9,2.9,20,1.6,0.82,0,38.1%,10.5%,2%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.02,0.14,112840,48.5,0.0,0.8,4268,0.0,1.16,335,26.1%,0.3%,2.4%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.06,0.48,1317206,27,7.6,4.1,53815,3.2,1.44,11719,47.9%,3.1%,8%
De La Salle University,0,0.02,355289,23.7,0.0,1.4,30735,0.0,0.91,0,36%,0.8%,3.7%
"University of the Sunshine Coast, Australia",0.02,0.17,457904,26.3,0.0,6.2,24482,0.0,1.29,826,49.7%,20.2%,37.9%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
