,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University
Mohammed V University of Rabat,47.2,43,24.4,30.9,2.2,21,26.5,0,21.4,42.2,53.1,29.7,22.7
University of Sfax,45,76.4,23.4,27.7,0,41.3,24.8,5.9,41.3,27.8,77.5,21.7,20
Chapman University
Khon Kaen University,40.5,39.8,30.2,27.7,5.5,89.7,35,3.6,10.7,42.2,36.8,24.3,19.1
Universidad Nacional de Cordoba,39.1,18.8,27.2,62.6,16.4,16.5,24,11.7,32.5,28.7,44.9,23.1,22.8
Universidad del Norte
Universitas Sebelas Maret
Universitas Padjadjaran,38.8,20.2,25.9,42.6,0,14.6,24.8,0,7.7,33.5,14.7,46.5,18.9
Federal University of Viçosa,56.9,48.9,38.9,49.7,27.7,29.6,27.5,25.8,21.8,40,9.2,24.4,24.5
University of Antioquia,42.9,37.2,51.1,30.9,0.8,21.4,96.8,2.6,31.7,100,51.1,30.5,21
Beijing Jiaotong University
University of Calcutta,62.6,100,38.8,30.4,8.1,15.6,40.6,4.6,22.6,48,3.4,21.7,20.3
Kangwon National University,41.3,39.7,46.9,33.1,6.5,41.1,41.7,3.9,16.6,38.7,13.2,25.6,23.9
University of Central Lancashire,40.7,24.5,22.1,70.9,0,19.9,24.1,1.2,38.5,28.1,60.2,49.1,59
Obafemi Awolowo University (OAU),39.2,22.8,22.5,27,2.7,19.8,23.9,1.2,9.7,27.8,35.1,21.7,18.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),39.4,25.9,28.2,33.5,13,16.2,25.1,11.3,26.2,30.2,71.5,22.3,19
Marmara University,38.6,19.3,27.9,25.6,0.9,39.5,24.1,0.6,33.3,29.7,22.5,21.7,22.5
University of Tunis El Manar,58.3,76.6,27,52.6,2.1,33.5,29.6,9.8,20.5,28.3,88.4,30.9,20.4
Chungbuk National University,43.7,45.4,36.4,37.9,0,39.9,57.8,0,17.1,55.3,8.8,26.2,24.4
Rowan University
Kaunas University of Technology
Tamkang University
Universidade Federal de São Carlos,54.5,42.5,36.6,54.7,9.8,30.6,34.8,6.9,29.2,69.2,20.2,25.1,23.2
Prince of Songkla University,39.5,24.7,28,42.3,3.2,28.2,26.9,2.5,19.6,32.8,42,27.5,28.1
University of Lethbridge,38.9,21.2,42.5,42.7,3.4,28.3,33.2,0,28.5,27.9,50.6,52.4,44.4
Universidad Austral de Chile,48.5,27.9,31.7,52.8,3.5,23.6,39.3,3.3,29.4,56.1,85.2,49.7,31.6
University of Pecs,41,23.4,29.3,58.5,0,35.8,27.2,0,32.9,30,52.1,23.7,53.8
Thammasat University,39.6,21.6,33.5,61.2,3.2,27.2,24.9,4.3,13.8,29.8,20.5,23.3,19
Makerere University,40.5,23.6,41.5,61.1,6.5,23,70.6,3.5,26.1,53,98.3,41.3,27.5
Kharazmi University,58.9,56.3,26.2,41.3,0,23.8,25.2,0,21.5,28.7,10,21.7,21
UFG - Universidade Federal de Goiás,46.9,33.9,22.9,48.9,4.7,32.8,26,6.2,21.5,28.4,9.6,24.8,20.3
Universidade Federal da Bahia,50.8,32.2,40.4,42.2,1.7,27.6,30.9,3,28.4,28.6,14.9,21.7,20.2
Ankara University,42.2,24.9,37.7,48.5,3.6,20.3,29,4.5,16,30.3,9.9,26.1,29.6
Universidade Estadual de Londrina,46.2,50.9,28.9,42.1,1.7,20.8,28.4,2.4,20.8,27.9,7.7,23.5,19.8
Dokuz Eylul University
Chungnam National University,43.3,52.4,43.2,31.6,0,52.3,69.2,2.4,17.6,51.3,13.7,26.7,28
Canterbury Christ Church University
Pusan National University
De La Salle University
"University of the Sunshine Coast, Australia",47.8,64.6,49.5,30,0,53.4,48.8,2.4,52.6,43.6,78.6,66.6,72.5
Ege University,43.5,38.8,40.5,32.3,3.4,23.3,31.6,3.6,16.5,35.3,11.3,21.7,22.3
Universidad Nacional de Educacion a Distancia
