,Life Sciences,Law,Computer Science,Education,Engineering,Clinical and Health,Business and Economics,Arts and Humanities,Social Sciences,Psychology,Physical Sciences
Dokuz Eylul University,,,,15.5,14.4,24.6,18.6,,19.2,22.6,11.6
Mohammed V University of Rabat,17.1,,19.8,,20.9,24.8,16.4,,23.3,,16.8
University of Sfax,26.8,,20.8,,21.3,22.7,22.9,,27.6,,18.9
Chapman University,,,,31.6,,29.2,,,27.6,33.8,24.8
Khon Kaen University,16.9,,,19.6,19.9,25.2,21.2,,19.9,,18.2
Universidad Nacional de Cordoba,24.6,,,,15.4,24.9,,11.4,18.1,16.5,20.8
Universidad del Norte,,,,,21.9,,,,22.4,,19.9
Universitas Sebelas Maret,,,,20,21,,15.1,,,,19.6
Universitas Padjadjaran,10.1,,,,15.4,24.7,17.4,,15.3,,13.8
Federal University of Viçosa,27,,,,19.9,22.7,,,16.5,,17.4
University of Antioquia,25.3,,,17.6,25,23.4,,16.2,15.6,,24.3
Beijing Jiaotong University,,,26.9,,29.9,,19.5,,22.7,,22.2
University of Calcutta,21.2,,17.7,,20.1,,13.2,,14.8,,17.8
Kangwon National University,17.4,,,,15.5,24.8,24.6,,21,,19.8
University of Central Lancashire,24.3,26.6,,30.2,,29.4,26.3,18.2,25.3,29.1
Obafemi Awolowo University (OAU),11,,,,15.9,25.5,16.8,,13.5,,12
Vietnam National University - Ho Chi Minh City (VNU-HCM),21.9,,24.3,,23.5,,18.4,,20.8,,18.6
Marmara University,19.4,,,21.2,17.5,24.2,13.5,,16.9,,14.3
University of Tunis El Manar,22,,19.1,,20.7,26.9,25.7,,,,15.4
Chungbuk National University,16.9,,20.9,,15,28.4,,,,,13
Rowan University,,,,22.9,14.6,,,,,34.6,33.8
Kaunas University of Technology,,,22.1,,18.6,,16.5,,15.9,,15.6
Tamkang University,,,17.9,24.8,19.9,,18.7,,14.6,,18.1
Universidade Federal de São Carlos,23.9,,22.2,19.1,25.1,26.6,,,20.1,23.7,21.2
Prince of Songkla University,16.5,,,,18.8,21.6,,,18,,14.5
University of Lethbridge,20.7,,,,,23.8,,,26.7,26.6,19.6
Universidad Austral de Chile,23.4,,,21.2,,21.3,,,18,,29.2
University of Pecs,21.6,,,,,33,,,20.8,22.3,17.2
Thammasat University,14.3,,16,,16.9,21.6,26.2,,19.5,,11.3
Makerere University,24.1,,,27.4,,35.1,18.4,,26.8,28.6,19.8
Kharazmi University,16.2,,,,21.2,,,,,,16.1
UFG - Universidade Federal de Goiás,17.7,,12.9,15.2,12.9,22.4,,,11.7,,15.9
Universidade Federal da Bahia,19.1,,16.4,18.7,14.3,25.9,,16,16.2,19.9,12.3
Ankara University,15,,,18.9,17.1,27.6,,,14.5,25.3,12.8
Universidade Estadual de Londrina,16.3,,,17,16.6,26.6,,,10.2,12.4,16.2
Dokuz Eylul University,,,,15.5,14.4,24.6,18.6,,19.2,22.6,11.6
Chungnam National University,18.8,,18.2,,20.5,27.4,,,,,16.3
Canterbury Christ Church University,,,,25.5,,,,,20.7,24.3
Pusan National University,,,25.5,,29.6,25.1,37.7,,28.2,,32.5
De La Salle University,,,24,38.4,23.5,,16.9,,17.1,,22
"University of the Sunshine Coast, Australia",34.4,,,26.1,,30.3,28.5,,34.8,26.7
Ege University,15.2,,,,17.9,23.8,,,,,12.8
Universidad Nacional de Educacion a Distancia
