,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,42.6,22.5,24,39.9,0,27.7,23.4,0,12.5,34.2,7.9,21.7,25.3
Mohammed V University of Rabat,44.8,42.7,22.3,36.9,0,17.5,29,0,23.5,46.8,29.8,20.8,22.1
University of Sfax,52.2,48.8,19.6,47.7,0,23.6,23.1,3.7,23.9,33.9,69.9,20.4,22.8
Chapman University,41.6,18.5,90.9,88.4,0,28.4,27.9,0,34.4,33.9,80.1,67.7,32.8
Khon Kaen University,43.8,46.3,26.4,35.9,3.9,18.9,26.2,0,27,33.9,17.6,24,21.1
Universidad Nacional de Cordoba,45.5,20.4,27.9,45.8,4.2,17.8,23.1,5,30,35.3,56.6,31.2,27.6
Universidad del Norte,41.6,18.5,23.5,61.3,0,20.2,24.5,0,31.2,34,71.6,25.8,21.6
Universitas Sebelas Maret,41.6,18.5,23.2,38,0,32.6,32.8,0,31.6,43.5,1.4,58.5,20.5
Universitas Padjadjaran,42.4,23.7,24.3,39.6,0,15.8,24.3,1.8,18.9,39.2,7.4,20.4,19.5
Federal University of Viçosa,56.5,38.3,44.9,55.1,3.3,19,29.7,2.6,20,50.5,13,26.1,22.5
University of Antioquia,56.8,40.5,68,40.7,0.1,14.2,100,0,26.4,100,71.4,41.8,20
Beijing Jiaotong University,45.8,33.9,40,49.6,7.1,94.1,27.3,5.2,21.1,37.5,6.4,80.9,20.6
University of Calcutta,41.6,100,45.8,38,6.1,13.9,66.5,1.8,12.1,51.7,7.2,20.4,20.8
Kangwon National University,43,32.5,45.4,37.2,0,83,44.5,1.5,24,35.9,17.1,20.4,19.5
University of Central Lancashire
Obafemi Awolowo University (OAU),44.1,26.7,19.5,41.6,1.2,14.8,22.9,0,11.1,33.9,52.8,21.5,19.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),42.2,23,26.4,38.4,0,17,23.2,0.7,30.3,34.1,52.9,23.1,19.3
Marmara University,43.3,28.3,34.6,33.2,0,40,27.5,0,16.4,48.1,11.6,20.4,25.1
University of Tunis El Manar,48.3,67.6,21.5,42.6,0,30.1,27,3.7,10.1,34.4,71.3,28.6,21.9
Chungbuk National University,43,27.8,28.9,41.9,0,49.6,42.3,0,9.7,41.6,17.3,22,21.3
Rowan University,45.4,50.2,51.8,41.5,0,8.6,27,0,68.9,34.6,36.7,50.1,26.5
Kaunas University of Technology,41.6,18.5,25.3,56.5,0,25,30.2,0,18.6,39.1,49.8,21.7,29.5
Tamkang University,41.7,19.5,31.5,34.8,2.6,31.4,32.2,0,25.5,36.9,44.4,23.8,26.7
Universidade Federal de São Carlos,60.5,53.8,36.6,41.2,5.6,27.3,30.7,2.4,28.3,34,21.5,31.1,24.5
Prince of Songkla University,43.2,26.3,27,45.4,0,14.3,27.5,1.9,17.8,42,28.3,22.1,25.1
University of Lethbridge,43.3,32.7,51.4,40.7,0,33.4,26.2,0,22.2,34,74.9,65.1,49.4
Universidad Austral de Chile,46.3,24.7,30.8,43.5,0,21.2,39.7,0,50.3,55.7,92.7,49.6,34.2
University of Pecs,57.8,34.6,24.2,63.3,0,23.1,39.3,0,15.2,36.3,45.4,22.9,96.7
Thammasat University,42,23.8,36.3,37.2,0,28.8,24.4,0,9.8,36.4,23.1,25,21
Makerere University,42,20.9,43.2,35.5,0,13.1,57.1,0,23.4,75.2,93.2,34.6,24.9
Kharazmi University,47.1,40.2,23.5,42.4,0,26.4,25.3,0,23,34.6,8.8,20.4,22.8
UFG - Universidade Federal de Goiás,48.9,34.6,20.9,43.4,0,21.1,26,0.9,21,43.2,18.9,30.8,20
Universidade Federal da Bahia,47.3,31.1,29,38.7,1.1,13.2,28.7,0.9,11.8,34.2,16.3,36,19.9
Ankara University,47.6,31.7,27.8,38.8,1.1,14.2,25.5,0.9,13.2,34.9,29.9,21.1,26.4
Universidade Estadual de Londrina,58.3,89.4,25.9,37.1,0,14.5,27.6,0,18.1,44.1,7.3,22.1,21.5
Dokuz Eylul University,42.6,22.5,24,39.9,0,27.7,23.4,0,12.5,34.2,7.9,21.7,25.3
Chungnam National University,44,53,55.6,35.1,1.6,68.2,52.1,2.5,10.1,39.8,15.2,26.1,22
Canterbury Christ Church University
Pusan National University,44.1,68.8,81.8,34.8,8.9,85,80.8,5.2,40.8,52.3,19.9,27.6,31.6
De La Salle University,43,25.1,23.4,58.3,0,18.7,24.8,0,39.6,33.9,26.8,24.3,25
"University of the Sunshine Coast, Australia"
Ege University,42.9,28.9,45.2,32.1,2.3,30.3,34.1,1.8,10.5,41,14.9,21.9,21.7
Universidad Nacional de Educacion a Distancia
