,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,41.6,57.5,21.3,42.2,0,20.7,26.9,0,36.1,35.4,30.5,19,20.6
Mohammed V University of Rabat,52.9,79.7,18,44.1,0,18.9,30.1,0,45.7,34.3,50.2,19,18.2
University of Sfax,48.5,52.7,15.3,46.6,0,28.3,25.6,0,63.2,33.9,92.1,19,16.4
Chapman University,34.1,25.3,56.6,48,0,33.2,39.3,0,68.8,33.9,16,32,22.9
Khon Kaen University,44.8,58.5,24.3,43.5,2.8,14.7,34.4,0,27.9,33.9,63.7,59.7,26.1
Universidad Nacional de Cordoba,37.7,27.5,21.8,48.3,6.1,11.1,25.4,1.5,34.4,34.3,18.3,20,17.7
Universidad del Norte,37.9,36,39.3,44.5,0.2,31.8,29.8,0,38.4,51.7,98.7,39.4,22.3
Universitas Sebelas Maret
Universitas Padjadjaran,52.1,64.6,26,44.9,8.4,11.7,30.7,4.7,7,54.4,13.9,28.8,16.1
Federal University of Viçosa,59.9,62.4,43,45,0,23.3,41.6,0,14.1,78.3,26.6,22.3,17.8
University of Antioquia,35.6,28.7,56.2,44.4,0,16,65.3,0,12.8,87.8,34,23,17
Beijing Jiaotong University,68.3,40.5,48.5,57.6,3.9,99.7,31.9,4.3,20.9,55.4,45.8,19,18.9
University of Calcutta,34.1,97.8,38.1,45.9,2.6,12.5,35.4,0,9.5,43.6,5.3,19,17.3
Kangwon National University,40.6,44.8,50.8,44.3,0,30.9,32.1,0,38.9,34,51.6,19,21.3
University of Central Lancashire,35.3,27.3,14.7,50.6,6.4,24.7,27.4,4.7,51.2,34.2,27.8,42.3,45.6
Obafemi Awolowo University (OAU),42.4,54.7,15.2,44,2.2,22.5,25.5,0.2,10,33.9,54.5,19,15.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),34.2,25.6,19.1,47.2,0,11.9,26.3,1.6,40.4,33.9,99.2,29.5,29.7
Marmara University,50.3,53.5,27.2,43.2,0,12.1,25.3,0,29.5,33.9,13.2,23.4,28.4
University of Tunis El Manar
Chungbuk National University
Rowan University
Kaunas University of Technology,38.4,26.8,17.3,77.9,0,25.9,29,0,19.6,34.1,45,31.2,31
Tamkang University,39.9,32.2,21.2,50.2,2.5,15.9,26.5,0,18.5,33.9,9.3,27.9,54.4
Universidade Federal de São Carlos,94,93.4,37.3,45.6,5.7,45.8,56.1,1.6,12.3,33.9,11.5,31.7,19.8
Prince of Songkla University,34.1,25.3,25.2,44.1,2.8,22.6,32.8,0,25.7,45.6,63.1,51.1,26.6
University of Lethbridge,36,28.7,29.6,50.2,0,26.6,30.1,0,62.6,33.9,57.8,35.2,40.2
Universidad Austral de Chile,47.7,31.3,23.7,51.5,0,23,41.4,1.2,20.9,53.5,81.8,43.8,21.2
University of Pecs,47.7,39.9,27,52.2,0,23,29.4,0,38.1,33.9,28.4,19,75.6
Thammasat University,35.3,28.9,39.7,47.8,2.8,13.8,44.5,1.3,29.8,38.9,59.6,47.9,18.9
Makerere University,36,40.8,77.6,42.1,1.9,32,73.9,3.9,37.2,33.9,99.5,82.5,20.3
Kharazmi University
UFG - Universidade Federal de Goiás,53.9,51.9,15.5,47.3,0,17.1,28.5,0,7,39.7,16.6,27.4,16.6
Universidade Federal da Bahia,98.9,63.8,27.1,46.5,3.7,16.7,54.5,3.7,9.1,34.4,15.3,20.1,16.8
Ankara University,55.8,47.2,16.6,43.4,0,11.9,26.4,4.1,16.3,34.2,17.6,22.9,35.5
Universidade Estadual de Londrina,52.7,43,20.3,48.4,0,12.2,32.3,0,2.9,51.6,12.2,20.1,16.5
Dokuz Eylul University,41.6,57.5,21.3,42.2,0,20.7,26.9,0,36.1,35.4,30.5,19,20.6
Chungnam National University
Canterbury Christ Church University,38.7,39,14.7,45.6,0,45.5,25.6,0,37.2,34,3.3,61.2,50
Pusan National University,44.7,58.5,92.4,44.5,1.7,29.3,46.5,0,49.6,71,46.4,56,36.3
De La Salle University,41.9,38.3,24.9,51.3,0.9,20.5,34.9,2.2,27,33.9,22.8,21,17.2
"University of the Sunshine Coast, Australia",46.2,74.5,85.4,42.5,2.2,96.2,31,0,62.9,33.9,67.5,55.9,53
Ege University
Universidad Nacional de Educacion a Distancia
