,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,47.6,43,21.8,17.1,1,12.8,29,0.3,57.6,38.7,11.6,17.8,20.6
Mohammed V University of Rabat,49.1,99.6,20.2,11.9,1.3,16.1,48.4,0.9,12.6,71.3,5.1,17.8,18.6
University of Sfax,48.9,52.6,17.2,47.7,2.6,23.3,27.1,2.5,45.3,35,53.5,18.9,17.8
Khon Kaen University,47.6,39.2,28.8,28.7,8.7,19.1,41.9,4.3,37,49.5,27.1,37.9,20.7
Chapman University,47.1,22.9,40.3,39.6,11.3,23.2,41.1,12.8,29.2,34.4,38.8,28.1,28.6
Universitas Sebelas Maret,49.9,49,20.6,84.3,2.9,21.4,53.4,1.7,12.4,77.6,3.7,44.5,16.6
University of Antioquia
Universitas Padjadjaran,51.8,53.7,21.6,93.3,4,11.9,34.7,3.1,14.4,48.9,57,20.4,15.8
Universidad Nacional de Cordoba
Universidad del Norte
Federal University of Viçosa,57.6,44.1,36.8,79.2,2.6,17.1,45.7,2.3,20.6,49.6,3.8,20,16.7
Kangwon National University,47.8,48.6,51.2,27.8,0.4,28.3,36.9,0.3,48.4,36.5,27.4,19.8,27.7
Beijing Jiaotong University,51.4,67.3,39.2,54.6,5.4,37.8,55.7,8,17.5,53,16.4,38.9,23.1
University of Calcutta,100,81.2,29.7,39.9,8.6,18.5,30.3,5.1,28.4,38.8,1.8,17.8,15.7
University of Central Lancashire,47.8,38.8,16.7,58.2,0,23.6,27.2,0.4,57.8,34.8,29.7,44.4,96.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),47.3,25.5,24.6,34.9,4,12.4,28.3,2.8,25.7,34.4,23.1,22.8,15.5
Marmara University,47.9,46.4,22.7,24.2,3,11.1,27.1,3.4,28.3,34.9,6.3,17.8,24.5
Obafemi Awolowo University (OAU),48.8,97.5,23.2,17,5.7,54.1,28.3,3,25.6,34.4,31.7,20.4,15.8
University of Tunis El Manar,50,93.8,22.9,29.8,0.1,40.5,50.4,0.1,48.2,37.1,63,20.3,20.9
Rowan University,47.1,22.9,35.2,37.4,0,23.4,26.9,0,79,34.4,14.9,54,19.7
Chungbuk National University
Kaunas University of Technology,48.3,40.5,32.6,66.1,7.9,38.4,49.9,7.8,24.9,40,52.6,19.7,20.9
Universidade Federal de São Carlos
Tamkang University,47.2,24.6,27,36.6,7.9,15.3,33.4,6.3,31.5,35.4,26,19.9,29.9
Prince of Songkla University,47.2,24.2,54.3,30.6,3.1,12,35.9,2.2,40.5,41.2,30.4,22.1,15.5
University of Lethbridge
Universidad Austral de Chile
University of Pecs
UFG - Universidade Federal de Goiás
Makerere University,47.2,35.8,100,19.3,7.4,25.8,100,5.5,28.3,40.8,52.2,31.7,17.4
Kharazmi University,57.4,89.5,22,43.1,0,20.9,30.7,0,28.5,34.8,41,17.8,17.9
Thammasat University,47.3,24.8,49.2,85.6,13.9,14.8,97.8,4.8,28,65.6,41.3,33.7,16.7
Dokuz Eylul University,47.6,43,21.8,17.1,1,12.8,29,0.3,57.6,38.7,11.6,17.8,20.6
Ankara University
Universidade Estadual de Londrina
Universidade Federal da Bahia
Universidad Nacional de Educacion a Distancia,47.4,27.7,26.5,18.7,3,20.7,27.7,1.8,31.5,35.4,16.9,18.8,18
Chungnam National University
Canterbury Christ Church University
Pusan National University,48.1,66,93.3,33,11.2,50.4,56.6,3.4,85.3,46.2,80.4,25,32.7
De La Salle University,47.3,26.1,35.5,49.4,2,16,39.4,0.9,32.5,34.4,42.3,18.6,20.1
"University of the Sunshine Coast, Australia",47.5,33.9,38.5,49.4,1.3,74.6,29.6,0,48.5,34.5,75.8,49.8,62.4
Ege University
