,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.17,0.51,112654,17.4,2.9,15.9,30773,8.6,0.82,16849,25.2%,4.9%,3%
University of Sfax,0.04,0.07,8738,11.9,7.1,14.6,713,7.1,0.89,645,50.5%,0%,2.3%
Khon Kaen University,0.01,0.17,225074,45.4,3.7,22.9,109249,3.5,0.82,0,25.8%,0%,0.8%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.01,0.05,580712,29.8,0,12.3,142537,0.4,0.69,6382,19.6%,0%,2%
Beijing Jiaotong University,0.05,0.17,398624,22,2.4,24.8,215194,3.6,1.02,69843,25%,11.3%,3.4%
University of Calcutta,7,0.34,122959,9.9,2,16.1,21988,1.8,0.78,11985,16.9%,0%,0.5%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.02,5,30.3,6.3,3.7,0,2.5,0.9,0,33.2%,2.1%,0%
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,0.09,0.26,87407,11.2,5.1,14.4,33482,4.3,0.79,3812,45.6%,5.8%,2.7%
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,0.05,0.19,249284,22.4,0,14.1,186523,0.8,0.92,10828,29%,2.7%,4.6%
Kaunas University of Technology,0.01,0.02,332563,24.2,0.3,7.1,18786,0,1.14,4683,43.6%,1.5%,3.2%
Universidade Federal de São Carlos,0.16,0.26,250199,13.6,2.2,14.9,20958,3.3,0.83,724,28.5%,1.8%,1.3%
Tamkang University,0.02,0.09,224722,26.9,1.5,17.8,40119,0.8,0.69,6121,27.9%,0%,8.6%
Prince of Songkla University,0,0,322018,8.9,2.7,13.9,81616,1.4,0.73,8528,24.9%,0%,1.2%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0,0,115495,21.5,0.4,7.6,14838,0.4,0.66,2500,28.7%,2.8%,0.7%
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0,0,153439,19.6,4,16.5,26438,1.4,0.54,8052,32.2%,0%,1.1%
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.25,0.14,165528,30.3,0.4,9.9,8551,0.6,0.67,632,26.5%,6.8%,0.2%
Universidad Nacional de Educacion a Distancia,0.1,0.08,-,22.8,0.5,7.4,-,0.2,1.08,-,30.7%,1.1%,5.2%
Chungnam National University,0.03,0.15,-,24.6,0.0,35.1,363741,0.0,0.67,28571,18.9%,0%,0.8%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.13,0.38,589682,12.9,0.7,37.1,511068,1.9,0.87,45578,22.6%,2.4%,10.3%
De La Salle University,0.03,0.08,181105,15.5,0.6,11.7,29331,0.6,0.97,0,13.6%,5.4%,2.6%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
