,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,42.6,30.2,29.2,45.7,1.1,16.8,28.1,1.9,16.2,37.4,6.8,23,26.2
Mohammed V University of Rabat,56.1,55.1,30.9,50.4,3.6,49.2,31.3,0.6,29.2,44.9,33,23,23.4
University of Sfax,54.7,69.3,26.2,56,1.9,49.3,26,3.9,28.3,33.2,88.5,23,22.6
Khon Kaen University,45.3,46.4,34.6,46.6,1.6,34,32.4,1,43.9,46.6,25.6,23.9,23.3
Chapman University
Universitas Sebelas Maret,39.4,18.8,28.8,51.1,1.9,34.8,35.8,0.8,23.9,57.4,15,62.4,21.8
University of Antioquia,42.7,39,66.9,40.9,1.1,19.6,71.5,0.3,28.4,62.5,63.9,26.3,20.2
Universitas Padjadjaran,52.2,55.2,29.4,49.3,0.7,37.8,30,1.4,10.9,44,28.3,36.1,24.3
Universidad Nacional de Cordoba,46.8,20.3,27.2,57.1,6,11.5,25.8,3.5,20,33.2,62.8,24.2,25.7
Universidad del Norte,40.1,24.2,42.4,43.8,0.4,21.4,29.1,0,39.1,37.5,76.5,26.8,20.8
Federal University of Viçosa,59,45.9,40,45.2,4.7,25.9,35,2.9,33.4,37.6,17.5,23,21.8
Kangwon National University,40.4,28.4,47.4,44.5,2.3,47.5,44,1.1,16.7,35,18.9,24.8,22
Beijing Jiaotong University,52.5,47.9,39.1,51.2,15.4,52.3,47.4,19.5,27.1,56.7,12.2,52.6,30.1
University of Calcutta,100,90.5,36.7,51.5,5,64.9,40.2,2.7,18.5,43.3,8.5,23,21.1
University of Central Lancashire
Vietnam National University - Ho Chi Minh City (VNU-HCM),39.8,22.1,31.5,42.3,4.2,17.5,34.6,3.5,27.1,47.9,55.1,24.9,20.2
Marmara University,42.2,30.4,33.5,43.1,2,19.8,32.5,1.6,32.5,50,15.8,24.4,32.7
Obafemi Awolowo University (OAU),42.5,29.1,28.1,46.9,4.2,18.6,26,3.3,18.8,32.9,72.8,23,20
University of Tunis El Manar,75.9,84.1,29.7,53,5.7,80.4,31.7,5.2,21,35.9,83.1,52.4,22.5
Rowan University,41.3,36.3,42.1,44.3,0.1,32.6,40.5,0.2,14.1,34.5,24.1,85,32.9
Chungbuk National University,45.3,56.6,32.6,46.7,0.6,43.7,44.8,1.3,15.2,37.5,21.7,23,22.8
Kaunas University of Technology,43.3,30.6,35.5,50.1,3.7,20,37,2.1,37.8,39.6,67.9,24.9,50.3
Universidade Federal de São Carlos,49.2,57.4,35.8,44.9,7.6,42.4,30.5,7,35.4,33.5,33.8,26.7,22.3
Tamkang University,41.1,34.1,36,43.8,2.1,30.6,36,1.5,46.4,37.8,56.4,23,25.8
Prince of Songkla University,40.6,26,37.7,45.7,1.3,52.7,47.8,1.5,29.5,53.1,48.4,24.2,21.7
University of Lethbridge
Universidad Austral de Chile
University of Pecs,39.9,20.3,53.2,43.8,0,40.2,27.1,0.9,4.2,33,44.9,26.6,76.7
UFG - Universidade Federal de Goiás,39.9,19.4,40,50.7,1,19.6,66.1,0.7,12.3,35.4,22.5,29.7,21.4
Makerere University
Kharazmi University,50.2,43.9,29.7,45.4,0,71.6,27.4,0.5,32.5,34.4,16.3,23,21.7
Thammasat University,41.9,32,59.2,46.6,3,29.7,82.7,2.7,16.3,39.1,27.5,28.9,29.1
Dokuz Eylul University,42.6,30.2,29.2,45.7,1.1,16.8,28.1,1.9,16.2,37.4,6.8,23,26.2
Ankara University,44,25.1,45.2,49.4,2.3,15.3,36.9,1,36.4,34.3,27.8,28,26.1
Universidade Estadual de Londrina,53.9,48.3,30,51.6,0.3,32.4,29.3,0,21.3,37.3,11.8,27.8,21.3
Universidade Federal da Bahia,49.4,35.1,39.8,44.4,2.1,19.1,26.9,0.9,15,33.1,21.9,28.8,20.4
Universidad Nacional de Educacion a Distancia,74.1,34.7,51.5,47.6,0.4,44.6,29.4,0.2,26.6,37.4,33.7,27,29.7
Chungnam National University,47.2,76.1,45.1,45.3,3.6,65.7,77.5,1.5,13.7,51.2,11.7,24.8,24.5
Canterbury Christ Church University
Pusan National University,48,93.5,69.8,44.6,12.1,91,93.7,7.7,25.6,57.5,19.5,27.6,30.3
De La Salle University,40.1,22.1,32.7,48,2.5,23.6,30.9,1.7,48.9,32.9,32.5,23,23.4
"University of the Sunshine Coast, Australia"
Ege University,43.5,38.1,37.4,46.7,2.1,25.4,59.7,2.4,21,48.4,17.1,28.1,33.4
