,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,41.9,56.7,28.1,17.4,0.8,22.9,34.1,1.4,55.8,48.6,45.2,54.4,41,0,17.7,26.4,32.6,41
Chungnam National University
Canterbury Christ Church University
Pusan National University,69.9,97.7,99.8,40.1,0,74.1,86.2,0,85.7,93.6,91.3,70.4,69.2,94.2,84.2,38,60.9,73.9
De La Salle University,32.2,27.2,23.3,46,4.2,24.3,43.3,1.7,40.2,38.3,42.6,54.1,34.9,0,49.5,28.6,32.3,31.4
University of Lethbridge
University of Pecs,34.8,30.5,85.6,51.9,1.9,35.3,88.3,1.8,18,24.8,15.2,55.8,41.2,0,23.6,26.4,50.7,60.4
Prince of Songkla University,30.2,29.6,62.7,36.9,0.9,22.7,44.8,1,49,38.3,46.7,43.7,46,0,41.8,54.9,24.9,39.3
Universidad Austral de Chile
"University of the Sunshine Coast, Australia",41.5,48.6,57.5,46.3,1.1,89.7,35.4,0.6,44.9,80.4,64.7,75.4,36.2,46.1,69.9,68.4,64.1,31.4
Ege University,56.1,92.4,61.8,21.3,0.8,42.4,42.3,1,42.9,52.5,34.4,60.8,55,62.5,28.5,29.8,34,98.1
UFG - Universidade Federal de Goiás
Kharazmi University,100,91.9,27,50.1,0,31.5,34.7,0,38.6,48.7,40.5,45.2,36.6,0,59.8,26.4,29.2,31.4
Makerere University,30.7,44.8,99.7,23,6.3,22.3,97.5,4.8,30.9,27.2,38.7,49.1,42.4,0,62.4,62,28.3,35.8
Dokuz Eylul University,41.9,56.7,28.1,17.4,0.8,22.9,34.1,1.4,55.8,48.6,45.2,54.4,41,0,17.7,26.4,32.6,41
Thammasat University,29.7,27.6,65.3,70.1,6,28.3,99.6,1.9,29,47.3,22.9,63.8,92.6,37.8,51.8,49.1,26.4,95.4
Ankara University,94.3,57.2,20.6,71.1,4.2,24.9,30.9,1.6,19.2,20.9,19,44.3,35.1,0,25.5,29.4,41.8,37.2
Universidade Estadual de Londrina
Universidade Federal da Bahia
Universidad Nacional de Educacion a Distancia,46.5,54.9,53.9,14.7,1.3,38.3,33.5,0.5,26.4,40.8,28.7,59,36.9,66.2,21.5,28,37.2,32.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),30.9,28.5,31.9,28.9,6.2,25.8,32.2,5.8,28.1,42.5,37.8,37.9,34.9,0,37,29.4,25,31.4
Marmara University,44.7,53.6,41.8,21,3.6,20.6,33.7,4,29.9,33.5,27,41.7,38,19.9,16.3,26.4,37.2,50.9
University of Tunis El Manar,100,100,37.8,57.3,0.1,46.8,95.2,0.8,52.4,71.5,61.5,69,99.7,29.2,57.9,49.9,38.8,81.8
Obafemi Awolowo University (OAU),41.3,65.3,27.6,24.2,5.2,50.9,34.9,2.6,32,59.1,34.3,74.1,34.9,35.4,42.8,26.4,25.1,31.4
Rowan University,28,25.4,75,29.5,0,43.7,30.8,0,82.3,68.7,67.7,63.1,34.9,59.4,32.8,79.9,31.4,31.4
Chungbuk National University
Mohammed V University of Rabat,73.1,100,26.6,11.2,1.1,25.9,61,0.7,17.4,29,16.1,58.3,96.1,0,21,26.4,29.9,32
Kaunas University of Technology,56.2,47,32.2,67.5,8.2,51.1,61.3,8.3,38.6,62.9,29.8,69.5,47.6,0,54.1,27.9,29.7,45.4
Universidade Federal de São Carlos
Tamkang University,33.5,34,37.1,34.5,3.8,26.4,37.2,5.7,26.5,39,28.1,55.5,37.6,22.1,29.9,30.9,45,38.7
University of Sfax,92.6,92.6,21.4,45.7,0.1,34.8,31.3,1.3,50.3,78.2,64.5,82.1,36.2,33.8,50.2,27.8,31.4,45.5
Khon Kaen University,32.1,34.2,39.2,27.5,1,32.8,53.3,0.6,40.2,44.5,31.4,54.6,86.3,0,45.9,53.5,32.6,32.8
Chapman University,28,25.4,65.1,40.7,10.8,37.3,34.3,13.9,29.2,33.6,31.7,58.1,36.7,100,53.3,39.2,43.2,31.4
Universitas Sebelas Maret,76.8,58.5,29,82.4,8.6,32.9,70,5.5,18.9,29.3,13.1,58.7,98.1,0,12.7,68.6,28.6,88.6
Universitas Padjadjaran,100,77.8,27.6,87.6,5,20.5,57.8,4.8,22.3,26.7,19.6,43.8,66.2,0,18.2,48,27.2,45.2
Universidad Nacional de Cordoba
Universidad del Norte
Federal University of Viçosa,89.6,41.3,40.4,83.9,5.5,23,53.7,4.4,20.5,19.7,24.2,44.6,60.6,0,15.2,27.9,26.9,31.4
University of Antioquia
University of Calcutta,14.8,90,33.4,42.8,14,33.3,35.2,5.2,31.8,41.9,51.1,65,42.5,45.7,6.6,26.4,25.4,31.4
Kangwon National University,39.3,54.4,75.4,26.4,0.3,42.4,57.4,0.2,45,59.9,38.8,57.3,48.8,62.8,32,26.4,41.3,33.9
University of Central Lancashire,35.4,32.2,40.5,48.1,0,37.1,31.3,0.3,67.8,66.2,68.9,68.8,35,0,42.6,68,99.9,37.2
Beijing Jiaotong University
