,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,54.1,53.9,70.6,55.1,1.2,22.4,99.9,0.9,29.5,26,18.9,42.1,100,11.9,13.7,52.2,30.4,37.7
Chungnam National University,59.4,60.9,70.7,61.4,1.6,45.9,77.3,1.1,40.1,56.5,30.8,76.3,52.3,67.1,6.6,34.2,32.7,47.9
Canterbury Christ Church University,31.2,29.4,49.1,30.8,1.8,28.4,32.9,1.4,37.9,28.3,68.7,32.4,34.4,1.3,38.6,47.3,83.7,33.1
Pusan National University,64.8,73.4,60.5,50.4,5.3,94.3,77.4,4.7,28.4,79.4,27.3,97.2,43.6,80.3,7.1,26.8,27.5,55.6
De La Salle University
University of Lethbridge,31.8,30.6,69.5,30.4,0,30.3,38.5,1.2,36.9,25.6,55.5,34.5,35.5,20.2,53.4,77.7,58.6,7.2
University of Pecs,99.8,96.9,91.1,39.5,8.2,29.7,47.6,4.9,32.8,45.1,37.5,49.6,39.5,50.2,53.6,39.7,99.2,44.9
Prince of Songkla University,35.4,32.3,82.6,75.6,7,25.5,47,5.6,26.6,28.5,18.9,50.7,70.6,20.3,41.8,30.3,29.1,50.2
Universidad Austral de Chile,31.6,28.5,32.6,37.8,0,23.9,34.2,0.8,25.2,16.6,30.3,21.3,39.1,9.2,89,29.4,24.8,51.2
"University of the Sunshine Coast, Australia",31.9,35.9,58.7,23.1,1.5,50,52.1,0.4,57.3,59.2,57.3,58,72.9,7.6,64.5,73.9,86.1,33.1
Ege University,73.7,98.4,92.7,38.4,3.2,32.6,49.9,3.2,36,44.7,17.3,71.8,78.6,28.8,15.4,28,35.9,55.4
UFG - Universidade Federal de Goiás,54.6,59.6,34,36.8,1.5,28.1,47.6,0.7,40,35,25.6,48.5,35.9,10.8,38.8,26.8,25.5,48.9
Kharazmi University
Makerere University,30.8,27.4,72.5,54.3,9.7,31.7,98.9,9.8,46.5,48.7,37.5,47.7,85.1,17.8,99.6,64,42.7,100
Dokuz Eylul University,54.1,53.9,70.6,55.1,1.2,22.4,99.9,0.9,29.5,26,18.9,42.1,100,11.9,13.7,52.2,30.4,37.7
Thammasat University,33.1,30.2,64.5,91.8,4.7,22.4,37.2,3.9,24,17.3,18.6,32.7,39.7,6.7,38.4,34.1,26.4,77
Ankara University,35.4,31.8,34.1,62.1,6.2,22.2,35.5,6.1,40.7,30.1,18,48.1,44.9,28.6,15.7,29.3,45.6,58.5
Universidade Estadual de Londrina,39.6,36.5,49,74.5,2.4,27.1,78.3,1.8,30.2,27.7,28.2,44.4,90.7,9.4,43.9,27.5,26.1,39
Universidade Federal da Bahia,42.4,43.1,39.6,42,5.4,25.3,33.2,6.1,55.2,31.2,18.4,48,5.7,15.5,36.2,29.2,24.4,33.1
Universidad Nacional de Educacion a Distancia
Vietnam National University - Ho Chi Minh City (VNU-HCM),30.8,27.4,25.9,95.5,0,23,31.7,0,57.5,19.8,72.3,17.7,34.4,5,88,26.8,24.6,33.1
Marmara University,33.9,34.1,36.6,34.3,2.7,26.1,35.3,1.6,33.2,34.8,17.3,56.5,34.5,22.9,14.1,28.2,42,44.7
University of Tunis El Manar,82.4,77.4,28.8,82.8,5.6,25.7,40.7,3.8,39.1,24,5.4,64.3,58.4,11.5,33.7,31.5,45.5,76.4
Obafemi Awolowo University (OAU),31.3,28.3,25.2,59.3,6.8,26.1,31.8,3.2,57.3,24,13.1,41.2,34.4,5.7,76.6,26.8,23.9,33.1
Rowan University,99.4,99,77.5,55.7,0,35.1,36.5,0,45.2,44.1,48.6,47.7,34.5,22.4,18.3,61.3,34.1,33.1
Chungbuk National University,52.9,54.2,49.4,62.7,0.8,47.1,58.6,1.1,42.6,39.1,30.1,63.1,42.2,58.9,8.5,26.8,27.4,33.1
Mohammed V University of Rabat,100,100,31,24.3,0,26.7,41.5,0,21.6,24.1,6.8,47.8,46.1,5.4,28.2,26.8,53.4,67.9
Kaunas University of Technology
