,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.07,0.37,-,23.3,0.0,34.7,419327,0.0,0.73,11.67,0.93,78.41,21195,9.83,20.3%,0%,0.8%,0.04
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.03,0.17,907863,15.8,0,59.2,771178,1.6,0.94,25.69,1.04,93.52,85662,17.25,25.1%,3.4%,13.2%,0.01
De La Salle University,0,0,265117,16.3,2.6,9,13086,1.4,0.82,6.84,0.96,56.81,0,0.28,16.1%,4.7%,2.5%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0,0,358259,7.7,1.4,16.9,55918,0.6,0.83,7.79,0.81,59.14,35189,0.81,30.6%,0%,2.7%,0
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,0.02,0.18,316234,36.9,0.0,19.4,281619,0.0,0.97,7.12,1.1,54.66,146225,5.2,30.3%,0%,6.5%,0.02
UFG - Universidade Federal de Goiás,0.04,0.07,108024,21.4,0,8,13879,0.6,1.07,4.46,0.73,40.84,2338,1.09,31.3%,2.8%,0.9%,0
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.01,0.02,191867,34.5,1.3,21.5,47939,2,0.68,8.9,0.71,67.41,7224,4.22,35.8%,2.4%,1.1%,0
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.39,0.51,167631,49.6,0.4,10.4,11154,1.5,0.66,4.31,0.86,47.97,-,2.1,27.5%,2.4%,0.1%,0
Universidad Nacional de Educacion a Distancia,0.2,0.17,-,25.7,1.4,8.1,-,1,1.19,8.69,1.25,45.21,-,2.93,30%,1.1%,4.3%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,8,40.5,2.9,5.4,0,4.3,0.87,8.81,0.98,43.06,0,0.62,34.2%,0.8%,0.1%,0
Marmara University,0.02,0.08,282795,68.4,0.4,16.3,16497,0,1.68,10.98,1.15,52.56,11761,1.03,20.7%,0%,5.7%,0
University of Tunis El Manar,0.19,0.51,190319,11.7,6.2,14.5,69969,5.4,0.86,12.73,0.89,74.19,40429,2.76,48.5%,8.8%,3.3%,0.1
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,0.06,0.25,452518,19.4,0,13.7,186324,0.7,0.91,12.1,1.05,60.57,5886,4.17,30.5%,3.1%,7.6%,0
Mohammed V University of Rabat,0.19,0.51,137268,17,3.2,16,37095,0,0.87,17.03,0.99,84.35,17798,7.3,25.6%,4.8%,3.1%,0.03
Kaunas University of Technology,0.01,0.02,177366,23.2,0.7,8.3,16602,0.8,1.18,9.65,1.26,47.06,10432,1.29,43%,1.5%,3.8%,0.01
Universidade Federal de São Carlos,0.12,0.16,203129,13.8,4.4,14.9,13435,3.7,0.86,8,0.96,57.58,1184,7.25,28.9%,1.7%,1%,0
Tamkang University,0.01,0.04,216326,25.7,0.0,14.7,34115,0.0,0.78,5.71,0.82,56.31,1538,13.14,29.8%,0%,10.9%,0
University of Sfax,0.13,0.2,9018,12.8,2.2,12.2,1016,5.3,0.98,17.6,1.09,77.55,665,3.69,53.4%,0%,2.1%,0.01
Khon Kaen University,0.01,0.06,176520,38.3,1.3,27.9,100721,1.3,1.05,16.16,1.04,69.6,9533,0.9,37.4%,3.2%,1.3%,0
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0,0,72843,11.6,0,18.4,46187,0.4,0.48,2.65,0.57,61.69,39727,0,19.4%,22.6%,2.2%,0.02
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,0.55,0.32,76622,7.1,2.7,14.3,15461,2,0.84,10.99,0.95,61.67,9414,0.52,17.9%,0%,0.7%,0
Kangwon National University,0.01,0.08,678584,30.3,0.0,16.1,137240,0.0,0.82,5.92,1.01,52,2561,10.69,22.3%,0%,2.2%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
