,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.01,0.1,90529,37.2,3.5,0.9,11579,1.5,0.53,0.55,0.68,46.9,5501,0.07,5.2%,1.2%,2.4%,0
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.01,0.08,-,22,1,1.2,7503,0.1,0.93,1.46,1.2,49.59,0,0,14.1%,10%,8.1%,-
Pusan National University,0.12,0.4,990004,17.2,0.0,1.1,149008,0.0,0.84,0.8,0.94,38.2,16314,0.1,25.5%,3.2%,3.9%,0
De La Salle University,2,0.09,104834,6.5,0.4,1.5,5175,1.5,1.01,2.1,1.33,43.79,0,0,19.8%,0%,8.8%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.01,0.04,381382,20.4,1.7,1.6,81605,0.3,1.21,2.48,1.73,50.79,10517,0,25.4%,0.9%,0.4%,0
Universidad Austral de Chile,0,0,294968,27.2,0,2,11927,0.2,0.62,0.95,0.69,40.71,4863,0,40.1%,6%,0.5%,0
"University of the Sunshine Coast, Australia",0.02,0.08,433947,24.4,1.2,6.4,8049,0,1.24,5.88,1.66,87.2,0,0,22.8%,7.6%,5%,0
Ege University,0,0.02,310700,28.3,2,1.3,13343,0,0.68,0.81,0.91,43.43,6646,0,17.3%,0%,1.2%,0.01
UFG - Universidade Federal de Goiás,0.23,0.13,92027,7.5,1.1,0.6,6369,0.9,0.32,0.18,0.31,34.27,286,0,11.8%,2.9%,0.3%,0
Kharazmi University,0.35,0.48,58131,14.7,4.3,2.2,6757,0,1.72,3.55,2.1,38.7,112,0,25.4%,0%,0.8%,0
Makerere University,0.01,0.31,205,27.3,1.2,0.7,159,2.3,0.78,0.76,1.06,31.61,129,0,54.6%,32.3%,0.4%,0
Dokuz Eylul University,0.01,0.1,90529,37.2,3.5,0.9,11579,1.5,0.53,0.55,0.68,46.9,5501,0.07,5.2%,1.2%,2.4%,0
Thammasat University,0,0,401335,4.4,0.0,3,20768,0.0,0.96,2.38,1.19,63.72,4459,0,26.9%,14.3%,0%,0
Ankara University,0.09,0.14,74761,17.8,4.5,0.9,14952,5.5,0.72,0.91,0.91,45.66,7109,0,14.4%,2.3%,1.8%,0
Universidade Estadual de Londrina,0.29,0.67,85493,16.6,1,2.7,27302,0.4,0.26,0.45,0.3,61.52,861,0,22%,0%,0.4%,0
Universidade Federal da Bahia,0.14,0.63,102800,16.9,1.1,1.6,19760,5,0.3,0.34,0.27,55.82,-,0,21.6%,1.4%,0.4%,0
Universidad Nacional de Educacion a Distancia,0.05,0.37,-,67.8,6.6,5.9,-,7.8,1.19,7.62,1.29,90.94,-,0.1,26.2%,0%,2.9%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marmara University,0.02,0.18,342790,45.7,1,0.9,3344,1.5,0.74,0.95,0.91,39.45,69,0,18%,4.9%,2.5%,0.01
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowan University,0.04,0.1,376215,15,0.0,2.2,1816,0.0,1.23,2.95,1.21,64.97,0,0,7.2%,10.4%,1.4%,0
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.72,0.62,174364,23.3,3.3,3.8,15067,3.4,0.29,0.35,0.35,86.48,36,0.09,15.2%,0%,0.2%,0
Tamkang University,0.08,0.22,131730,16.5,0.0,2.4,35345,0.0,0.89,1.68,1.19,60.18,2668,0.28,14%,2.4%,2.7%,0
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.08,0.28,140251,33.2,1.6,2.1,9112,1.8,0.77,1.47,0.88,50.68,5456,0,26.1%,17.9%,1.1%,0.07
Chapman University,0.31,0.41,-,8.8,4.5,2.6,22940,0.9,1.37,2.29,1.6,45.45,997,0.14,13.3%,2.1%,5.3%,0
Universitas Sebelas Maret,0.05,0.17,146996,25.2,1.5,0.8,90762,1.9,0.8,1.11,0.92,43.16,83398,0,12.5%,12.3%,1%,0.02
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,0.06,0.06,146650,7.9,0,3.9,19302,0.5,0.78,1.57,0.9,57.12,17818,0,37.2%,33.6%,0.4%,0.1
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.01,0.11,-,67.5,3.6,1,105923,1.3,0.5,0.23,0.75,43.76,3048,0,24.7%,0.6%,0.1%,-
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.03,0.05,-,9.1,0,5,832,1.1,1.42,4.53,1.35,69.24,0,0,40%,7.5%,8.9%,-
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
