,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0.04,0.08,376786,28.8,0.1,2.8,94081,0.1,0.47,0.81,0.49,88.2,38358,0,10.1%,8%,1.5%,0
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thammasat University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.02,0.22,-,111.3,2.6,0.7,-,0,0.35,0.22,0.38,80.1,-,0,8.6%,0.5%,4.2%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.01,0.04,-,28.5,0.0,2.2,1252,0.0,1.24,2.22,1.63,85.9,0,0,21.9%,14.8%,14.6%,-
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
