,Life Sciences,Law,Education,Arts and Humanities,Business and Economics,Clinical and Health,Computer Science,Engineering,Social Sciences,Psychology,Physical Sciences
Dokuz Eylul University,24.6,,19.6,,22.8,24.8,,15.1,23.6,,14.5
Chungnam National University,31.4,,,,,31.4,27.9,31.4,25.9,,27.5
Canterbury Christ Church University,,,26.9,,,25,,,23.8,30.3
Pusan National University,,,27.7,,44.4,34.6,36.8,42.1,37.5,,39.4
De La Salle University,,,28.6,21.7,22,,19.6,19.8,23.1,,20.6
University of Lethbridge,24.8,,,,,25.2,,,22.8,30.6,21.3
University of Pecs,28.8,,,,20.8,32.3,,15.6,23.1,28.9,20
Prince of Songkla University,27.5,,30.8,,23.1,24.7,23.8,28.2,27.2,,22.1
Universidad Austral de Chile,26.8,29.4,20.2,20.1,,18.1,,17.3,22.7,,25.7
"University of the Sunshine Coast, Australia",42.1,,33.5,,32.8,34.7,,,39.4,31
Ege University,24.2,,20.9,,26.4,29.2,27.2,24.6,20.4,,19.8
UFG - Universidade Federal de Goiás,22.9,,18.6,,,24,20.7,17.2,15.8,,20.1
Kharazmi University,22,,37.3,,23.5,,,26.4,27.5,,21.8
Makerere University,28.5,,33.1,,26.2,35.5,,,29.1,25.4,25.3
Dokuz Eylul University,24.6,,19.6,,22.8,24.8,,15.1,23.6,,14.5
Thammasat University,17.6,,29.1,21.3,27.5,20.4,21,26.7,24.5,,19.4
Ankara University,23,,27.3,15.5,18.3,24.7,,23.7,16.7,22.9,20.7
Universidade Estadual de Londrina,22.3,,22.4,,,24.8,,18.7,13.2,19.6,17.3
Universidade Federal da Bahia,21.6,,23,22.9,,26.1,17.5,14.7,19.4,19.9,13
Universidad Nacional de Educacion a Distancia,,22.2,44.1,24.2,20.5,,25.5,23,29.6,27.5,21.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),19.9,,,,19.7,27.1,19.6,21.5,21.9,,19
Marmara University,21.9,,21.3,,19.3,21.5,28.6,21.3,20.1,,26.8
University of Tunis El Manar,29.8,,,,35.1,27,31.6,35.5,,,27.5
Obafemi Awolowo University (OAU),13,,,,24.6,25.9,,17.4,19.6,,15.9
Rowan University,22.7,,27.5,,31.6,30,,21.8,19.9,28.4,26.3
Chungbuk National University,26.4,,,,,28,25.4,24,18.4,,21.7
Mohammed V University of Rabat,24,,,,19.9,20.3,29.5,29.3,23,,27.1
Kaunas University of Technology,,,,,29.2,,24.4,25.5,23.4,,22.7
Universidade Federal de São Carlos,27.8,,26.9,19.5,,25.1,25.5,27.9,26.8,26,25.3
Tamkang University,,,25,,20.9,,20.4,25.6,17.3,,24
University of Sfax,34.4,,,,29.2,26.7,30.8,28.1,27.2,,25.6
Khon Kaen University,28,,27.1,,23.3,24.7,28.5,28.4,18.2,,29.2
Chapman University,,,37.5,,27.7,30.3,,,31.6,35.6,24.9
Universitas Sebelas Maret,14.1,,27.6,,25,27.1,18.3,23.1,20,,28.9
Universitas Padjadjaran,14.8,,,,22.9,19.8,,19.2,19.1,,19.1
Universidad Nacional de Cordoba,22.7,,,14,,21.5,,15.6,15.5,18.2,18.2
Universidad del Norte,,,28.6,,,,,21.7,27.5,,19.3
Federal University of Viçosa,28.4,,,,20.3,21.8,,19.5,18.1,,18
University of Antioquia,27.8,,22.6,19.2,,23.9,,22.8,15.5,22.5,24
University of Calcutta,25.9,,,,26.9,,24.2,26.6,21.2,,24.3
Kangwon National University,27.3,,,,26.3,25.3,21.2,23.9,23.7,,25.6
University of Central Lancashire,27.5,34.7,34.2,25.7,30.7,28,,,23.4,34.7
Beijing Jiaotong University
