,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,40.7,81.9,31.6,17.6,3.4,31.2,29.5,1.8,44.8,37.6,35.3,46.9,34.5,52.5,29.3,25.3,34,38.7
Chungnam National University,67.9,90.7,65.8,29.8,1.1,29.8,71.3,2.1,35.5,40.6,36.6,43,43.8,52.1,29.3,28.6,35.2,38.4
Canterbury Christ Church University,34.6,37.1,41.4,37.3,2.3,47.9,30.2,0.6,30.9,54.3,48.7,69.4,34.1,0,9.4,69.6,77.9,31.2
Pusan National University,62.2,94.6,99.3,35.8,2.9,52.3,89.5,1.1,61.9,52.7,29.3,59.1,100,45.8,50.2,89.7,97.3,57.3
De La Salle University,36.5,27.7,48.4,42.6,2.3,36.7,36.3,2.9,39,55.9,39.5,62.5,34.1,19.6,28.9,31.9,26.5,31.2
University of Lethbridge,33,30.9,46.9,55.7,0,36.4,34.2,0.2,34,39.4,43.7,52.3,34.4,25,44.8,58.1,59.8,0.1
University of Pecs,42.3,33.1,63.1,58.1,5.2,39.6,36.4,2.6,25.4,40.9,23.5,56.3,34.1,24.8,26.3,25.3,94,57.3
Prince of Songkla University,28,24.4,37.8,27.8,0,44.1,58,0.3,53.7,47.9,48.8,54.6,96.3,0,70.1,72.1,42.6,40.7
Universidad Austral de Chile,53.5,31.4,33.1,67.3,5.1,37.6,52.8,1.2,19.8,38.3,18.2,51.1,77.3,0,72.6,58.4,27.3,45
"University of the Sunshine Coast, Australia",52,85.7,97.5,18.7,2.7,99.2,39.5,2.8,66.3,95.9,85.5,88.7,34.1,33.4,57.3,69.8,49.7,31.2
Ege University,50.9,77.7,68.8,24.9,1.2,28.6,29.2,1.7,29,31.5,30.4,41.4,34.1,22.7,19.5,25.3,36.6,82.3
UFG - Universidade Federal de Goiás,64.5,43.9,33.1,54.9,1,22.6,57.9,2,6.9,13,4.1,40,38.5,13.3,21.1,35.9,25.5,32.9
Kharazmi University,100,99.6,25.5,54.3,2.1,27.3,33.5,1.1,48.3,37.7,56.6,32.7,39.7,62,60.2,25.3,29.3,31.2
Makerere University,28,24.4,88.6,53.8,5.6,27.5,100,6.6,36.6,40.8,35.3,50.1,42.1,0,97.9,79.8,36.1,52.5
Dokuz Eylul University,40.7,81.9,31.6,17.6,3.4,31.2,29.5,1.8,44.8,37.6,35.3,46.9,34.5,52.5,29.3,25.3,34,38.7
Thammasat University,30.5,28.9,47.2,46.1,5.8,22.4,71.5,3.1,35.3,34.5,32.2,42.9,44.8,22.8,64.2,69.1,28.7,79.1
Ankara University,76.2,60.4,22.8,26.6,4.1,18,30.3,3.8,15.2,16.7,15.9,31.2,38.8,0,18.8,31.5,51.1,36.3
Universidade Estadual de Londrina,77.4,52.4,28.6,56.7,1,23,39.7,0,3.6,6.3,2.4,32.8,34.1,0,16.6,25.3,24.7,38.5
Universidade Federal da Bahia,98.5,64.2,28.2,56.4,7.7,21.4,33.1,7.1,12.7,20.5,7.6,46,32.6,0,24.5,28.3,24.2,31.2
Universidad Nacional de Educacion a Distancia,99.5,99.9,62,25.7,5.7,79,33.4,2.5,26.5,79.5,25.4,88.7,37.3,53.3,20.5,31.4,30.3,34.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),29.1,25.5,27.4,40.7,3.8,18.3,31.1,2.2,41.9,23,65,17.2,34.9,34.8,88.1,45.6,30.6,31.2
Marmara University,61.6,74.4,52.6,24.6,4.3,18.6,35.4,2.8,32.2,21.4,28.4,28.2,36.3,0,19.8,29.9,43,84.2
University of Tunis El Manar
Obafemi Awolowo University (OAU),37.6,38.3,24.7,40.5,6.8,32.3,30.6,4.4,21.2,38.5,15.6,55.3,34.1,0,55.1,25.3,23.2,31.2
Rowan University,28,24.4,68.1,61.8,2.6,22.8,29.6,1.9,33.5,29.5,39.1,33.9,34.1,29.3,7,52,28,31.2
Chungbuk National University,48.7,54.2,46.9,42,1.1,32.6,76.7,0,14.9,17.8,18.6,39.6,37,0,9.6,27.3,57.8,33.5
Mohammed V University of Rabat,91.5,99.8,26.9,26.8,0,31.8,40.1,0,26.7,36.3,37,49.4,35.8,38.6,62.6,25.3,31.1,33.6
Kaunas University of Technology,40.8,26.7,23.9,100,0,37.6,33.8,0.6,41.9,43.3,28.7,59.8,34.6,20.7,31.8,41.9,39.9,55.5
Universidade Federal de São Carlos,100,100,48.2,29.8,8.7,73.1,63.4,3.6,15.7,47.3,10.2,81.2,34.1,0,17.7,41.7,27.1,31.2
Tamkang University,41.4,37.1,30.7,52.4,1.3,24.1,33.4,0.6,19.1,20.3,20.6,40.3,34.9,17.2,19.4,38.5,64.2,47.2
University of Sfax,36.7,35.7,21.9,39.3,0,41.8,29.7,0,61.8,58.5,76.8,53.3,34.1,28.1,90,25.3,24.6,47.1
Khon Kaen University,40.8,49.7,33.3,34.8,0,21.8,35.1,0.2,21.1,19.5,20.1,34.9,53.5,25.6,44.3,82.6,29.7,100
Chapman University,28,24.4,70.9,51.3,6,40.1,51.4,0,79.1,61.5,83.1,53.2,34.1,25,33.3,35.2,36.7,31.2
Universitas Sebelas Maret,33.5,33.2,32.9,42.8,2.7,32.2,74,2.2,16.7,22,18.6,44,100,0,35.1,35.1,39.2,100
Universitas Padjadjaran,70.9,68.2,30.1,36.5,6.4,18,41.6,3.8,17.3,16.8,14.6,23.8,59.6,0,27.2,68.5,23.5,43
Universidad Nacional de Cordoba,45.5,28.8,24.5,54.4,13.1,16.5,29.3,4.3,12.9,8.8,6.5,22.6,34.5,0,19.4,26.8,25.5,32.8
Universidad del Norte,50.4,72.1,47.7,33,0.1,45.7,34.7,2.1,49.4,47.2,52.1,51.8,62.8,0,86.2,47.7,23.9,100
Federal University of Viçosa,85.5,34.9,42,90.3,2.1,23.4,46.2,1.5,13.6,20.5,9.5,37.6,63.4,0,28,27.1,26.2,33.3
University of Antioquia,28,24.4,49.1,36.1,0.5,22.3,46.8,3.7,14.3,19.7,8.1,45.8,40.9,0,33.8,36.3,23.8,0.2
University of Calcutta,20.3,92.6,29.7,74.3,4.6,25.9,35.5,1.9,27.5,29.1,15.9,47.2,44.5,0,13.4,25.3,25.9,31.2
Kangwon National University,48.7,74.1,68.4,31.3,0,44.4,38.6,0,38.1,38.7,43.3,49.6,40.6,27.4,35.2,25.3,31,34.2
University of Central Lancashire,32.4,28.9,33.5,51.4,0.7,31.2,32.9,1.3,41,50.6,48.9,62.5,34.6,0,36.2,50.8,55.3,32.1
Beijing Jiaotong University
