,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.02,0.28,127132,70.6,0.9,3.9,872,0.9,1.12,3.65,1.14,46.87,166,0.31,25.3%,0%,3.4%,0
Chungnam National University,0.07,0.36,-,28.1,0,3.6,82057,2.2,0.97,4.02,1.16,43.01,3537,0.31,26%,1.3%,3.9%,0
Canterbury Christ Church University,0.01,0.06,-,22.2,1.5,7.2,2390,0,1.03,6.06,1.3,69.39,0,0,15.6%,15.3%,16.3%,-
Pusan National University,0.06,0.41,1289854,22.5,1.4,8,133079,0.8,1.25,5.79,1.06,59.14,109335,0.26,33.3%,25.3%,29.3%,0.01
De La Salle University,0.02,0.02,300513,18.5,0.5,4.9,14833,1,1.02,6.32,1.19,62.55,0,0.09,24.8%,2.4%,1.1%,0
University of Lethbridge,-,0.03,-,-,0,4.7,10591,0.2,1.03,3.87,1.24,52.27,-,0.12,32.1%,-,-,-
University of Pecs,0.03,0.05,448787,13.3,2.4,5.6,14928,1.6,0.91,4.07,0.97,56.31,0,0.12,27.4%,0%,27.8%,0.01
Prince of Songkla University,0,0,193536,30.7,0.0,6.4,55478,0.0,1.19,5.04,1.3,54.62,30509,0,39.5%,16.1%,5.9%,0
Universidad Austral de Chile,0.05,0.04,143612,11.4,2.4,5.2,45774,0.9,0.76,3.73,0.89,51.07,16095,0,43.6%,12.2%,1.5%,0.01
"University of the Sunshine Coast, Australia",0.04,0.31,1092230,61.3,1.5,25.6,20993,2,1.47,24.75,1.82,88.72,0,0.17,37.2%,16.2%,8.3%,0
Ege University,0.04,0.26,509933,36.1,0.9,3.3,178,2.5,0.94,2.93,1.07,41.36,0,0.11,21.3%,0%,4.2%,0.02
UFG - Universidade Federal de Goiás,0.06,0.1,143813,14.1,0.4,1.9,55257,1.4,0.44,1.08,0.49,39.95,1636,0.06,20.9%,3.7%,0.7%,0
Kharazmi University,0.65,0.59,56559,14.3,0.0,2.7,9273,0.0,1.16,3.66,1.4,32.67,2078,0.41,35.6%,0%,2%,0
Makerere University,0,0,220,14.4,2,3.1,92,5.3,1.01,4.05,1.14,50.06,1,0,60.5%,19.9%,4.2%,0.01
Dokuz Eylul University,0.02,0.28,127132,70.6,0.9,3.9,872,0.9,1.12,3.65,1.14,46.87,166,0.31,25.3%,0%,3.4%,0
Thammasat University,0.01,0.02,289242,17,0,1.9,82363,0.3,0.99,3.27,1.1,42.87,3890,0.11,37.4%,15%,1.9%,0.02
Ankara University,0.09,0.17,22910,32.8,2.1,0.7,2562,4.2,0.73,1.41,0.84,31.24,1742,0,20.9%,2.4%,8.2%,0
Universidade Estadual de Londrina,0.09,0.13,93271,13.7,0.7,2,21379,0,0.33,0.5,0.38,32.75,0,0,18.9%,0%,0.5%,0
Universidade Federal da Bahia,0.19,0.19,88771,13.7,4,1.6,8437,6.8,0.56,1.78,0.64,45.97,-,0,22.3%,1.1%,0.4%,0
Universidad Nacional de Educacion a Distancia,0.22,0.66,-,34.5,2.6,13.2,-,3.1,0.89,12.26,1,88.67,-,0.32,22.4%,2.4%,2.4%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.01,3,19.5,3,0.8,0,3.2,1.18,2.02,1.5,17.18,0,0.18,47.2%,7%,2.4%,0
Marmara University,0.06,0.24,342232,36.7,2.4,0.9,12932,2.6,0.98,1.86,1.05,28.23,821,0,21.4%,1.8%,6%,0.02
