,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.14,0.12,1398,8,3.9,0.5,707,3.2,0.45,0.42,0.41,37.74,30,0,13.9%,2.6%,0.3%,0
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0,0,156594,13.8,0.7,3.7,9246,0.2,0.8,3.52,0.85,75.36,3219,0,31.7%,5.1%,0.5%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.06,0.22,-,48.4,19.8,4.6,-,10.1,0.76,6.08,0.74,96.95,-,0.59,14.3%,4.3%,3.4%,0
Thammasat University,0.03,0.08,199129,10.5,6.6,1.1,29221,8.7,1.12,3.02,1.21,60.94,5763,0.05,25.8%,14.8%,0.9%,0.03
Ankara University,0.13,0.44,22765,9.7,11.1,1.1,11908,9.4,0.9,1.81,1.2,35.95,0,0.16,18.1%,11.3%,3.7%,0.05
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.14,0.45,171846,30.5,16.4,0.6,13362,9.8,0.68,1.28,0.63,52.3,831,0,20.2%,3.7%,0.4%,0
De La Salle University,0.04,0.03,99956,4.8,4.8,2,7834,5.2,0.96,2.77,1.07,65.88,0,0.08,20.7%,0%,2.1%,0.03
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.06,0.09,162114,11.7,0.0,7.4,338,0.0,1.51,8.23,2,79.67,278,0,26%,13.1%,9.8%,0
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
