,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.02,0.14,140175,60,2.8,1.3,5951,2.4,1.26,2.77,1.42,58.71,2682,0.35,23.2%,0%,9.1%,0.01
Makerere University,0,0.04,-,40.3,1.8,1.7,-,1.9,0.93,1.81,1.19,58.89,-,0.06,47.6%,22.5%,1.7%,0
UFG - Universidade Federal de Goiás,0.05,0.1,11147,26.3,0.1,1.8,10112,0.1,0.53,0.72,0.5,49.38,144,0.09,26.5%,0%,0.4%,0
Kharazmi University,0.21,0.31,106638,20.2,0.0,2.2,5442,0.0,1.28,2.82,1.49,49.7,553,0.18,46.9%,0.8%,2.8%,0
Prince of Songkla University,0,0.01,666827,26.2,0.6,1.3,12671,1.1,1.24,2.51,1.49,50.27,3636,0.44,40%,16.8%,0%,0
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,0.01,0.06,296483,21,1.9,3.2,23365,3.6,0.63,1.36,0.78,58.31,239,0,28.6%,0%,12.4%,0.02
Universidad Nacional de Educacion a Distancia,0.02,0.09,-,54.1,1.3,2.9,-,1.4,0.85,2.76,0.98,63.1,-,0.55,29.1%,0.9%,6.7%,0
Thammasat University,0,0.02,613333,16.3,1.7,1.9,267993,3,0.89,2.27,0.94,64.54,28728,0.31,40.2%,9.1%,0.9%,0.04
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.02,0.14,140175,60,2.8,1.3,5951,2.4,1.26,2.77,1.42,58.71,2682,0.35,23.2%,0%,9.1%,0.01
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.1,0.24,136522,27.8,2.8,1,10379,3.3,0.67,0.86,0.85,38.65,678,0.26,24.4%,3.2%,0.5%,0
De La Salle University,0.01,0.02,382345,18.4,0.4,1.2,7834,1.5,1.01,1.77,1.24,53.57,0,0,34.3%,1.6%,3.5%,0.02
Pusan National University,0.08,0.66,2059698,30.6,0,9.3,125968,2.1,1.79,15.1,2.45,85.19,44909,3.07,54%,12.5%,20.2%,0.06
"University of the Sunshine Coast, Australia",0.03,0.14,401490,20,7,8.6,6601,0.5,1.27,6.46,1.61,84.13,686,1.8,50%,18.6%,25.6%,0
Ege University,0.03,0.32,305519,42.3,1.7,3.7,1374,1,1.2,4.61,1.27,68.43,1284,0.85,31.1%,1.6%,4.4%,0.05
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0,0,-,33.7,0.2,1.1,210212,0.7,0.77,1.11,0.94,35.38,421,0.07,29%,1.1%,0.1%,-
Universitas Sebelas Maret,0.07,0.16,116059,13.7,3.2,2.9,69534,2.8,0.78,2.79,0.81,63.5,44927,0,22.5%,22.6%,2.2%,0.04
Universitas Padjadjaran,0.13,0.17,89659,8.2,6.3,1.2,32864,6.1,0.63,1.12,0.75,53.04,10919,0,38.6%,14.7%,3.7%,0.01
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.1,0.11,193418,11.6,6.6,1.2,6289,3.5,0.68,0.7,1,43.48,5971,0.07,24.3%,1.3%,0.9%,0
Mohammed V University of Rabat,0.03,0.34,84751,98.8,1.7,1.6,46320,2.2,0.77,1.73,0.85,60.82,36124,0.07,25.6%,0%,4.1%,0
University of Sfax,0.23,0.48,12458,25.2,2.2,2.6,878,7.7,1.32,6.96,1.62,79.89,612,1.4,43.8%,0.5%,4.4%,0.01
Khon Kaen University,0.01,0.06,242863,36.4,1.3,2.6,37343,1.2,1.37,3.41,1.31,51.89,34476,0.26,39.6%,11.8%,3.2%,0.08
Kangwon National University,0.02,0.19,754556,31.9,0.0,3.1,18515,0.0,1.01,2.34,1.31,56.48,4876,1.11,30.1%,0%,8.4%,0
University of Central Lancashire,0.02,0.07,-,24,0.0,2.4,3560,0.0,1.51,4.11,1.79,63.17,87,0.6,41.7%,23%,71.2%,0
Obafemi Awolowo University (OAU),0.06,0.7,167833,66.5,1.1,5.5,9836,1.3,0.99,4.45,1.35,80.21,3966,0.35,40.5%,0%,0.3%,0
Marmara University,0.06,0.28,179906,47.4,2.1,0.8,2097,2.9,0.92,1.31,1,40.84,1045,0.16,26.7%,0%,4.2%,0.01
University of Tunis El Manar,0.27,0.85,266084,16.7,2.2,3.7,157622,4.8,1.36,6.15,1.68,65.63,67286,0.53,51.5%,18.3%,9.3%,0.04
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.02,8,36.9,3.8,1.9,0,6.9,1.06,3.36,1.34,51.8,0,0.27,32.3%,4.9%,0.1%,0
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamkang University,0,0.02,181412,24.6,4.1,1.4,8473,2.2,0.8,1.55,1,54.12,454,0.48,36.8%,1.8%,9.9%,0
Kaunas University of Technology,0.02,0.04,304242,16.8,4.4,4.2,75592,6.7,1.35,6.46,1.4,69.94,4137,0.3,47.6%,1.4%,5.3%,0.01
Rowan University,0,0,632868,31.4,0,3.2,0,2.4,1.58,4.56,1.63,63.61,0,0.33,34%,19.8%,2.8%,0
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
