,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,1.39,0.93,591518,10.3,2.2,1.8,295626,4.3,0.87,6.68,0.97,43.74,294156,8.49,22%,0.9%,6.6%,0
Makerere University,0.01,0.03,-,11.1,8.1,6.5,-,9.3,1.48,19.35,1.28,53.95,-,17.92,83.6%,10.4%,5.4%,0.05
UFG - Universidade Federal de Goiás,0.32,0.27,62751,8.4,1.5,3,60937,2.5,1.15,8.63,1.11,43.01,1501,6.87,34.2%,0%,0.6%,0
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.05,0.05,1007863,6.3,8.7,3.5,88909,11.4,0.98,8.3,1.06,54.34,45550,16.05,36.7%,1.3%,1.5%,0
Universidad Austral de Chile,0.01,0.02,238583,20.6,0.3,3.7,18355,0.6,0.92,4.33,1.13,25.65,6748,10.54,62.5%,1.9%,0.6%,0
University of Lethbridge,-,0.12,-,-,0.7,5.3,37763,0,1.21,7.23,1.33,38.2,-,13.22,41.2%,-,-,-
University of Pecs,1.51,3.01,4456201,31.8,6,15.4,324042,6,1.27,24.37,1.26,70.98,26663,77.04,46.9%,8.6%,36.5%,0.02
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.03,0.04,724802,4.7,4,2,21716,5.1,0.86,4.82,0.97,36.3,9520,6.71,34.3%,1.7%,0.7%,0.02
Ankara University,0.5,1.16,736307,3.6,11.1,8.6,49829,12.7,1.05,19.96,0.96,51.81,18000,42.43,24.5%,0.7%,9%,0.02
Dokuz Eylul University,1.39,0.93,591518,10.3,2.2,1.8,295626,4.3,0.87,6.68,0.97,43.74,294156,8.49,22%,0.9%,6.6%,0
Universidade Estadual de Londrina,0.1,0.1,474975,5.9,2.6,3.9,269084,2.8,0.96,7.63,1.13,44.21,60226,6.95,36.2%,0.2%,0.8%,0
Universidade Federal da Bahia,0.13,0.17,267316,12.6,6.7,3.4,8007,9.8,1.25,9.1,0.99,49.61,508,11.89,33.3%,0.7%,0.3%,0
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.35,0.46,683581,10,7.7,37.7,267721,8.4,1.02,43,1.17,98.03,31995,141.55,17%,0.7%,1.7%,0
"University of the Sunshine Coast, Australia",0.01,0.11,722409,30.5,1.8,15.9,124764,2,1.58,23.59,1.48,63.93,84251,8.55,48.4%,18.1%,20.1%,0
Ege University,0.46,0.97,929131,12.2,4.9,6.3,90473,6.9,1.02,14.5,0.96,70.89,87423,24.03,24%,0.3%,3.9%,0
Chungnam National University,0.22,0.24,-,7.6,2.7,11.5,182176,14.4,1.11,19.7,1.19,78.36,16816,81.03,16.2%,2.2%,3.3%,0
Canterbury Christ Church University,0.01,0.04,-,16.3,1.2,4.8,5932,0.4,1.32,11.19,1.69,34.38,0,2.52,42.5%,8%,17.9%,0
University of Antioquia,0.01,0.01,-,7,7.2,2.4,97087,4.3,1.23,7.7,0.92,44.43,10420,12.54,44.9%,0.8%,0.3%,-
Universitas Sebelas Maret,0.16,0.11,82372,4.4,2.3,3,63283,1.5,1,3.32,0.55,29.24,57364,0.48,18.1%,5.9%,3.3%,0.05
Universitas Padjadjaran,0.22,0.26,74530,5.9,5.2,1.6,24724,3.8,0.99,5.16,0.83,37.8,9351,2.7,25.3%,16%,3.5%,0.02
Universidad Nacional de Cordoba,0.03,0.02,58459,14.5,3.4,0.4,2050,5.6,1.57,3.01,1.27,12.29,879,6.93,50.5%,1.3%,2.1%,0
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.04,0.04,247434,9.6,1.9,7.3,28551,2.7,0.79,6.08,1.05,53.19,18107,7.01,28.9%,0%,0.8%,0
Mohammed V University of Rabat,6.25,2.21,134960,24.5,0,4,53402,0.9,0.82,8.12,0.85,48.56,15594,5.03,31.9%,0%,9.7%,0.01
University of Sfax,0.74,0.37,5316,5.2,0,3.4,828,1.5,1.16,9.39,1.15,50.01,747,8.35,50.5%,0%,4.7%,0
Khon Kaen University,0.43,0.6,528956,7.8,14.1,3.7,51257,12.9,0.89,7.86,0.96,57.93,36126,15.83,37.5%,1%,2.7%,0.05
Kangwon National University,0.11,0.18,359001,9.9,10.9,12.6,70792,11.6,0.99,15.65,1.11,70.9,4183,66.44,21.6%,0%,1.1%,0
University of Central Lancashire,0.01,0.03,-,15.5,2.5,3.8,12207,6.8,1.43,11.43,1.51,42.73,491,12.67,53.3%,14.1%,28.7%,0
Obafemi Awolowo University (OAU),0.02,0.04,31245,12.4,1.7,4.8,1831,2.3,1.36,7.39,0.96,43.14,738,4.72,52.5%,0%,0%,0
Marmara University,0.08,0.15,462552,14,4.8,4.1,9244,7.4,0.99,11.63,0.98,60.04,3193,15.98,24.1%,0.2%,6.1%,0
University of Tunis El Manar,0.68,0.55,440379,5.2,1.8,3.8,275633,0.9,0.87,8.17,0.75,67.53,149209,14.15,37.1%,3.4%,12.3%,0.02
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0,2,6.8,3,3.6,0,3.4,1.62,7.91,1.6,24.61,0,5.4,55.1%,0%,0.2%,0
Universidade Federal de São Carlos,0.25,0.23,179435,8.9,7.9,13,20824,7.7,0.84,12.97,1.07,71.22,27,14.96,35.2%,1.1%,1.7%,0
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
