,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,36.7,44.5,37.1,25.4,9.2,28.1,36.7,4.7,19.5,12.6,20.2,49.6,57.4,11.5,7.7,27.6,56.2,42.6
Makerere University,32.7,33.8,48,30.6,6.4,25.8,3.2,7.4,42.1,27.6,51.1,32.6,32.5,0,96.6,99.1,30.1,35.4
UFG - Universidade Federal de Goiás,58.2,33,23.1,99.8,3.8,24.1,33.4,2.9,18.6,7,8,31.3,35.9,3.9,16.5,32.6,29.2,33
Kharazmi University,90.4,78.6,29.8,44,9.5,39.5,34,0,94.7,82,99.1,48.4,37.1,0,38.1,33.3,30.4,33
Prince of Songkla University,33.2,32,51.5,37.1,11.1,32.8,41.8,6.2,64.1,67.6,79.6,57.2,36.9,14.9,40.5,33.3,29.2,46.9
Universidad Austral de Chile,31.5,26,48.4,32.6,0.5,36.3,35.9,0.4,28.4,27.3,23.7,46.5,46,0,75.4,53.7,29.7,38.7
University of Lethbridge
University of Pecs
Universidad Nacional de Educacion a Distancia,36.9,47.6,44.3,20.8,17.8,62,33.1,15,52.7,86.5,55.1,90.7,36.3,60.9,43.2,30.7,42,35.7
Thammasat University,31.5,26,60.4,99.1,3.8,46.7,49.9,2.9,49.3,66.9,37.6,71.3,51.3,0,44.8,81.9,28.1,33
Ankara University,54.2,47.3,26.2,40.8,28.3,27.1,35.5,18.3,25.8,15.1,25.1,48.4,48.8,0,21.3,35.2,34.8,38.8
Dokuz Eylul University,36.7,44.5,37.1,25.4,9.2,28.1,36.7,4.7,19.5,12.6,20.2,49.6,57.4,11.5,7.7,27.6,56.2,42.6
Universidade Estadual de Londrina,63.1,77,28.9,64.5,8.9,37.7,43.3,3.7,15,9.8,7.8,61.5,36.8,0,27,27.6,28.1,33
Universidade Federal da Bahia,63,94,30.9,39.7,13.2,31.9,40,10,19.4,12.5,8.2,58.3,38.5,0,37.9,42.4,29.8,35.1
De La Salle University,94.6,49.8,30.2,99,9.1,33.4,35,8.7,47.8,47.9,52.6,47.3,35.2,0,23.3,35.1,57.9,100
Pusan National University,60.5,82.2,96.6,38.7,0,29.6,88.1,1.4,38.8,30.7,52.9,38.8,78,0,51.8,43.4,44.2,81
"University of the Sunshine Coast, Australia",36.2,40,74.6,31.2,4.8,73.3,36.1,1,53.8,86.7,75.5,88.4,36.1,12.5,33.3,57.4,43.1,33
Ege University,32.3,29.5,48.7,24.9,5.8,34.9,45.6,0.8,32.8,40.7,36.7,53.3,92,8.5,37.6,27.6,32.4,56.5
Chungnam National University
Canterbury Christ Church University,46.3,59.6,31.7,37.3,5.7,29.1,35.2,1.3,34.3,31.7,38.5,45.5,35.2,0,19.4,62.3,63,33
University of Antioquia,33.1,34.4,63.2,19.8,12.4,26.3,92.7,5.7,24.2,15.5,18.2,43.7,36.8,0,38.1,27.6,28.6,33
Universitas Sebelas Maret,44.9,54.4,36.2,31.7,6.6,27.4,84.9,4.5,34.8,34.1,39.6,45.1,100,0,23.5,83.1,32.9,88.6
Universitas Padjadjaran
Universidad Nacional de Cordoba
Universidad del Norte,70.6,47.6,38.6,80.2,0.1,59.7,44.3,1,47,54.7,39.8,66.8,89.7,0,87.7,97.4,29.8,90.7
Federal University of Viçosa
Mohammed V University of Rabat
University of Sfax
Khon Kaen University,39.4,73.5,36.7,29.4,7.5,37.5,38.6,7.7,57.9,60.1,47.7,56.9,77,0,44.7,44.7,32.5,73.2
Kangwon National University
University of Central Lancashire,39.6,35.1,57.6,84.6,0,51.3,32.1,1.6,55.8,71.7,64.8,68.2,35.4,22.5,69.3,58,66.4,99.8
Obafemi Awolowo University (OAU)
Marmara University,39.3,84,70.6,23.1,6.7,28.1,31.1,3.7,26.6,30.8,25.6,44.2,35.4,0,22.4,35.6,40.5,45.4
University of Tunis El Manar
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Universidade Federal de São Carlos,100,94.6,36.3,44.4,14.5,48.6,37.7,12.6,18,26.4,10,88.1,35.2,14.1,23.4,30.5,29.5,37.7
Tamkang University,48.5,47.4,33.5,50.8,3.1,37.9,45.4,0,39.4,52,46.6,61.7,39.2,52.8,20.6,40.9,38.3,33
Kaunas University of Technology
Rowan University,58.2,59.7,57.9,52.2,0,35.1,31.2,1.4,56.9,53.7,44.5,67.5,35.2,13.9,9.1,59.5,33.4,36.4
Chungbuk National University
Beijing Jiaotong University
University of Calcutta
Chapman University
