,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,43,50,31.9,22.8,1.7,21.6,32.9,1.6,17,26.3,21.6,48.9,40.3,17,7.2,26.5,43.8,40.9
Makerere University
UFG - Universidade Federal de Goiás,46.3,35.7,38.9,66.8,0.7,22,77.2,0.7,16.6,16.3,12.2,35.2,35.2,19.5,25.9,32.8,25.5,49.6
Kharazmi University,81,52.2,28.9,30.1,0.8,71.4,31.1,0.3,48.2,62.1,65.8,65.6,35.6,24.9,32.1,37,27.8,35.7
Prince of Songkla University,37.5,47,47.1,28.4,1.3,59.2,52.4,1.1,32.1,61.2,40.2,73.5,62.4,47.3,51.7,26.5,25.6,32.5
Universidad Austral de Chile,25.7,23.3,42.9,24.4,0.4,23.4,32.9,0.3,19.5,13.4,26.3,24.8,38.9,6.1,84.6,68.2,25.8,33.5
University of Lethbridge
University of Pecs,44.5,39,52.4,35.5,0.6,41.8,47.5,0.8,5.1,12.5,9.3,49.8,31.3,11.1,32.1,48,83,53.8
Universidad Nacional de Educacion a Distancia,99.8,46.8,91.4,42,0.7,46.9,32.9,0.3,22.3,29.2,23.4,55.8,36.1,40.8,22.7,31,35.1,30.8
Thammasat University,39.5,58.6,83.2,33.3,3.4,47,86.7,2.1,25.7,53.4,31.2,64.4,64.1,30.5,41.3,41.6,39,86
Ankara University,45,38.2,47.5,38.6,3.2,21.1,40.1,2.3,41.8,41.7,62.2,35.7,46.3,16.9,39,31.7,34.5,55.5
Dokuz Eylul University,43,50,31.9,22.8,1.7,21.6,32.9,1.6,17,26.3,21.6,48.9,40.3,17,7.2,26.5,43.8,40.9
Universidade Estadual de Londrina,87.1,48.4,28.6,82.7,0.3,30.2,33.3,0.2,23.7,20.9,27.1,37.7,42.1,19.5,14,44.4,26.4,34.2
Universidade Federal da Bahia,62,60.6,47.9,20.4,1.5,22.1,30.7,1.2,16.2,20.1,16.2,35.9,30.9,15.5,25.3,31.1,25.3,30.7
De La Salle University,34.3,27.8,41.5,58.7,1.7,24.5,30.2,1.8,29.4,34,21.3,48.1,30.4,6.8,31.2,26.8,27.5,89.7
Pusan National University,70.4,99.7,97.4,30.8,7.8,93.8,100,7.1,30.3,88.8,33.8,96.8,99.5,98.3,19.6,36.7,46,76.2
"University of the Sunshine Coast, Australia",31.3,32.9,42.6,53.2,0.2,95.6,45.2,0.1,45.6,60.5,55.9,64.1,33.5,24.4,69,80.4,54.8,29.6
Ege University,46.6,55.6,43.7,34.1,1.5,31.6,36.7,1.7,26,43.2,28.3,58.8,52.4,39.9,18,28.8,39.7,70.7
Chungnam National University,65,89.3,67.2,27,2.6,64.5,97.9,2.4,19.8,69.1,25.9,85.9,91.9,87.3,9.8,27.5,31.2,42.4
Canterbury Christ Church University
