,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University
Makerere University,33,37,56.1,54.6,6.4,23.7,5.2,4,29.3,36.7,28.6,42.3,5.2,11.8,97.9,76.2,33,39.6
UFG - Universidade Federal de Goiás,71.7,56.7,28.2,56.8,2.7,29.2,45.7,2.1,20.3,46.7,12.9,68.7,32.7,13.1,22.5,28.6,25.9,40.1
Kharazmi University,73,70.4,28,34.7,1,34.1,29.7,0.6,29.6,30.9,44.3,44.7,32,8.4,38.7,28.3,27.5,30.5
Prince of Songkla University,38.5,39.2,36.2,60,10.1,33.5,40.2,8.2,26.9,53.9,32.1,76.4,56,28.8,47.5,31.3,49.7,34.4
Universidad Austral de Chile,41.7,30.9,38.6,52.3,2,28.2,51.2,2.2,27.4,40.2,30.3,49.9,69.5,15.3,78.1,60.9,31.2,32.6
University of Lethbridge,31.7,32.5,46.4,45.5,0.9,34.7,45,0.6,22.5,28.5,29.4,47,14.2,15.8,52.1,64.3,63.8,29
University of Pecs,47.5,33.1,29.1,98.9,2.1,34.5,33.2,3.4,33.9,42.5,24.8,56.2,45.2,47.6,41.2,44.8,62.8,67.2
Universidad Nacional de Educacion a Distancia
Thammasat University,28.7,25.8,43.5,61.8,6.5,40.8,35.9,2.7,12,32.6,8.1,65.7,34.2,19.5,22.3,29.8,24,30.8
Ankara University,37.3,30.8,32.3,63.1,6.9,24.2,31.8,6.5,30.9,43.9,27,64.3,42.6,23.6,19.3,31.2,37.4,64.9
Dokuz Eylul University
Universidade Estadual de Londrina,67.5,59.9,32.6,60.9,3.1,34.1,35.3,2.3,16.3,41.7,15.7,72.4,31.4,15.8,13.9,27.1,25.4,52.6
Universidade Federal da Bahia,74.5,60.7,46.2,29.3,3.7,33.6,30.2,3.4,22.8,42.6,17.5,66.1,32,17.5,29,30,24.4,30.9
De La Salle University
Pusan National University
"University of the Sunshine Coast, Australia",54.5,67.7,80.4,22.1,0.8,70.9,80.3,0.6,58.5,74.3,64.9,73.8,95.4,17.8,81.6,81,70.2,29
Ege University,39.1,54.2,43.8,26.2,2.2,32.1,32.2,2.9,26.6,45.3,18.2,77,49.5,22.6,14.9,28.2,36.9,58.8
Chungnam National University,52.3,85.7,65.1,27.7,1.9,60.1,94.4,2.2,23.4,68.9,29.7,88.1,81.9,79.6,14.6,32,36.1,58.2
Canterbury Christ Church University
University of Antioquia,35,35.1,52.8,39.1,2.1,22.1,97.6,2.3,37.8,33.8,13,51.5,98.6,20.8,54.5,37.1,23.3,29
Universitas Sebelas Maret,34.5,32,29.9,33.9,1.2,21.8,45,0.9,11.5,17.7,3.7,39.5,94.8,1,10.9,73.9,24.9,45.9
Universitas Padjadjaran,33.3,30.1,25.7,60.4,3.9,17.4,33.1,2,21.1,17.9,11.8,36.6,45.9,1.8,24,95.8,28.4,84.8
Universidad Nacional de Cordoba,65,27.2,28.5,65.6,11.3,16.9,29,6.3,27.8,19.9,20.4,30.6,33.2,12.3,49.7,28.2,26.6,32.4
Universidad del Norte
Federal University of Viçosa,88.7,55.3,39.3,70.4,17.5,30.4,32.6,12.8,19,50.5,13.9,82.6,42.3,17.5,18.8,26.3,31.3,36
Mohammed V University of Rabat,46.3,61.2,28.1,22.6,1.6,31.5,35.6,4.3,33.8,51,46.4,50.4,57.7,7.9,56.3,35,36.4,36.9
University of Sfax,65.1,89.2,23.7,28.1,5.8,35.8,29.6,2.6,59.7,58.5,57.9,64.9,35.1,22.3,84.7,27.4,30.1,53
Khon Kaen University,37.7,58.3,37,21.4,7.4,92.3,56,3.7,18.6,71.2,22.7,93.6,57.4,41.9,36.1,25.4,25.6,98.7
Kangwon National University,35.8,57.3,74.9,28.7,2.3,49.8,84.3,1.7,24.3,61.6,27.9,83.5,46,61.1,15.9,32.4,30.5,33
University of Central Lancashire,37.5,33.3,44,84.8,2.2,24.1,29.4,0.4,41.4,33.4,62.6,36.7,32.9,20.5,85,58.9,86.9,31.4
Obafemi Awolowo University (OAU),32.3,46.3,29.2,15.7,1.6,28.1,29.5,0.4,12.8,23.2,5.4,51.8,33.9,4.6,47.4,25.4,23.3,29
Marmara University,29.3,28,74.5,26.8,0.8,35.6,29.4,0.1,41.9,45,22.8,54.8,32.6,20.7,29.7,25.4,30.6,37.6
University of Tunis El Manar,100,99,35.5,75.7,4.2,41.6,53,4.8,20.7,51.8,21.6,69,95.6,38.4,80.6,51,41.9,100
Vietnam National University - Ho Chi Minh City (VNU-HCM),30,30.5,29.3,20.6,5.9,24.8,33.3,3.7,28.9,37.4,31.9,41.7,33.5,8.9,46.4,26.8,23.7,29.4
Universidade Federal de São Carlos,66.1,47.1,47.6,63.2,6.2,39,51.6,4.6,24.9,52.9,26.8,73.9,97.8,23.3,35.3,30.3,27.3,34.8
Tamkang University
Kaunas University of Technology
Rowan University,28.3,27.9,56.5,30.8,0.9,33.1,35.9,0.1,29.2,30.7,32.8,44.8,31.6,28.8,17.5,51.3,40.9,32.9
Chungbuk National University,54.3,75.1,74.6,41.3,4.6,58.1,81.8,2.4,22.2,62.7,23.4,84.7,55.1,74.2,11,37.1,34.6,47.2
Beijing Jiaotong University
University of Calcutta
Chapman University
