,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,0.03,0.1,-,11.3,5.9,4.6,-,5,1.02,8.4,1.18,42.25,-,11.15,82.4%,17.7%,2.8%,0
UFG - Universidade Federal de Goiás,0.19,0.23,92548,10.9,4,6.8,90197,3.8,0.84,11.55,0.96,68.71,1311,12.51,31.5%,1.1%,0.8%,0
Kharazmi University,0.19,0.31,89560,17,0.0,7.9,7014,0.0,1,6.78,1.35,44.74,612,7.84,40.8%,1.1%,1.3%,0
Prince of Songkla University,0.05,0.12,207842,10.4,17.9,8.3,63163,21.5,0.97,14.21,1.22,76.39,22914,30.35,45%,2.2%,6.9%,0
Universidad Austral de Chile,0.07,0.06,240107,11.8,2.9,6.4,117265,4.4,1.01,9.46,1.2,49.95,35766,14.77,63.8%,12.8%,2.5%,0
University of Lethbridge,-,0.07,-,-,2.1,8.2,86949,1.3,0.99,6.16,1.19,47.01,-,15.35,48.7%,-,-,-
University of Pecs,0.09,0.08,106227,4.7,3.1,8.7,26434,8.4,1.1,10.17,1.14,56.17,13108,57.61,47.7%,7.5%,11.4%,0.02
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.01,0.02,304510,10.1,13.1,10.8,40632,3.3,0.76,7.24,0.86,65.68,2834,19.37,33.3%,1.7%,0.2%,0
Ankara University,0.12,0.4,92951,5.2,13.5,8.8,56728,18.7,0.99,14.29,1.17,64.27,11666,32.3,31.2%,0.7%,4.8%,0.04
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,0.17,0.25,157054,10.3,3.8,8.6,37680,3.4,0.78,9.93,1.01,72.4,38,15.35,26.2%,0.6%,0.6%,0.01
Universidade Federal da Bahia,0.2,0.25,339956,19.9,6.4,8.4,9975,7.9,0.87,10.19,1.04,66.08,645,17.14,34.7%,1.6%,0.3%,0
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.12,0.3,827406,26.8,0.7,20.9,278627,0.7,1.43,25,1.55,73.77,77820,17.52,65%,20.6%,12.8%,0
Ege University,0.06,0.21,308905,22.3,4.5,7.8,21128,6.3,0.94,11.1,1.05,76.95,17016,22.84,28.3%,1.1%,3.8%,0.01
Chungnam National University,0.11,0.45,-,21.1,3.3,17.1,422003,6.1,0.95,21.45,1.2,88.09,50208,141.91,28.9%,2.5%,3.7%,0.01
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.04,0.09,-,15.2,4.2,3.9,497331,5.6,1.04,7.59,0.97,51.52,96517,20.84,48.9%,4.3%,0%,-
Universitas Sebelas Maret,0.04,0.07,119132,17.3,1.5,3.8,86953,1.6,0.66,3.59,0.71,39.45,75734,0.88,23.6%,15.3%,0.5%,0.01
Universitas Padjadjaran,0.03,0.06,54074,10.3,6.2,1.7,25792,4.9,0.79,3.63,0.94,36.64,13752,1.65,31.8%,28%,1.4%,0.02
Universidad Nacional de Cordoba,0.16,0.04,97257,9.5,16.3,1.5,3474,14.4,0.96,4.08,1.08,30.55,1868,11.74,47.2%,1.1%,1%,0
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.29,0.22,249457,8.9,25.6,7.2,23311,24.3,0.82,12.94,0.98,82.64,10489,17.16,29.4%,0.3%,2.2%,0
Mohammed V University of Rabat,0.08,0.25,90740,26.1,3.7,7.6,39135,6.7,1.09,13.11,1.37,50.38,24380,7.37,50.6%,3.6%,3.8%,0
University of Sfax,0.16,0.49,22424,20.8,7.7,9.1,6885,7,1.32,16.18,1.48,64.93,3686,22.49,70.2%,0.9%,2.2%,0.01
Khon Kaen University,0.05,0.24,219125,27.9,13.6,32.2,141246,8.5,0.86,22.87,1.11,93.6,24137,48.38,40.1%,0%,0.7%,0.04
Kangwon National University,0.04,0.23,733526,20.3,3.8,13.8,308429,3.6,0.96,17.6,1.18,83.51,13878,84.25,29.9%,2.7%,2.1%,0
University of Central Lancashire,0.05,0.08,-,7,4.5,4.8,5499,1.5,1.24,7.46,1.53,36.67,1578,20.41,63.8%,11.2%,17.8%,0
Obafemi Awolowo University (OAU),0.03,0.16,107445,42.6,3.1,6.3,6297,0.7,0.74,4.85,0.78,51.81,2539,4.18,42.4%,0%,0%,0
Marmara University,0.01,0.04,727000,21.8,1.2,9.1,5341,0,1.1,10.99,1.11,54.85,1281,20.67,36.8%,0%,2.1%,0
University of Tunis El Manar,0.83,0.75,198203,8.2,7.4,11.1,126324,14.2,0.91,13.4,1.1,69.03,78867,43.14,67.2%,9.6%,5.6%,0.15
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.02,0.06,5,29.1,10.9,5.1,1,7.4,1.01,8.6,1.22,41.72,0,8.35,43.8%,0.5%,0.1%,0
Universidade Federal de São Carlos,0.16,0.17,357911,9.9,9.8,10.2,119562,11.6,0.89,13.85,1.16,73.88,89469,23.63,37.5%,1.7%,1.2%,0
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowan University,0.01,0.04,472717,19,2,8.2,41101,0.2,1.06,6.73,1.23,44.77,242,30.25,28%,8.1%,4.4%,0
Chungbuk National University,0.12,0.35,729104,14.5,9.5,16.5,289114,7.9,0.93,18.15,1.12,84.72,22076,120.93,25.9%,4.3%,3.3%,0.01
