,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,35.1,28.5,37.8,33.7,0.5,24.5,28.7,0.5,16.5,26.3,20.6,50.5,34.5,17.9,9.7,24.9,37,37.8
Makerere University,27.9,35.3,57.6,41.3,0.8,13.8,0.6,0.4,35.8,12.5,28.8,17.3,0.6,4.4,90.5,73,29.3,35.7
UFG - Universidade Federal de Goiás,59,44.1,25.6,49.3,0.3,17.7,36.9,0.5,23.1,25.2,16.5,37.2,33.5,14,30,32.2,25.1,30.4
Kharazmi University,31.7,28.2,26.4,39.6,0,30.5,30.2,0,38.2,40.6,38.7,52,39.6,14.6,26.7,27.9,28.3,33.2
Prince of Songkla University,34.6,34.2,44.4,47.6,0.1,18.8,41.3,0.6,33.1,34.8,40.5,43,67.6,24.6,43.8,26.4,27.2,39.4
Universidad Austral de Chile,38.4,29.5,38.3,36.3,0,24.6,46.4,0.1,36.4,28.7,33,32.1,66.5,7.4,81.3,59.8,30.1,38.6
University of Lethbridge,28,30.5,58.8,33.8,1,33.2,32.7,0.4,27.9,21.4,20.5,36.1,13.6,26.3,57.1,78,59.9,30.4
University of Pecs,99.8,46.1,38.5,98.4,0.7,26.7,57.4,0.6,8,16.9,9.7,44.1,48.7,24.6,29.9,40.4,98.9,30.4
Universidad Nacional de Educacion a Distancia,29.1,27.8,58.7,19.3,0.1,28.5,33.2,0,43.3,26.8,20.9,43.2,41.5,34,32.8,28.1,33.4,30.8
Thammasat University,27.3,34.8,42.3,32.5,0.6,38.8,35.1,0.6,19.4,40.8,19.8,58.8,42.5,22.4,36.2,31.9,26.4,47.6
Ankara University,65.4,44.9,27.1,34.2,2.5,17,29.2,2.5,21.2,38.7,50.6,35.4,40,18.2,48.1,26.1,33.9,37.1
Dokuz Eylul University,35.1,28.5,37.8,33.7,0.5,24.5,28.7,0.5,16.5,26.3,20.6,50.5,34.5,17.9,9.7,24.9,37,37.8
Universidade Estadual de Londrina,96.5,88,29,38.8,0.5,22.4,32.1,0.2,17.4,19.2,13.7,34.7,47,14.1,14.6,26.8,29.7,33.9
Universidade Federal da Bahia,62.8,42.5,30.7,33.4,0.7,15.1,28.6,0.8,10.9,14.9,12,34,31.9,11.4,24.2,42.4,25.4,31.6
De La Salle University,27.3,23.1,28.5,86.6,1.4,23.9,29.3,0.5,28.6,31.2,25,46,31.5,5.3,29.1,31.6,30.5,88.3
Pusan National University,50.7,99.7,98.8,24.6,5.1,96.5,99.9,3.9,29.8,86.4,35.7,93.8,99.7,98.7,26.7,47.1,50.3,88.1
"University of the Sunshine Coast, Australia"
Ege University,33.1,49.4,48.9,22.4,0.9,35.6,30,0.8,20.2,41.5,21.4,59.4,37.3,36.7,20.7,24.9,31.6,46.2
Chungnam National University,34.8,64.3,81,24.6,1.8,67.7,86.4,0.8,18.3,62.8,25.6,79.6,68.4,88.2,17.4,31.9,27.6,55.6
Canterbury Christ Church University
University of Antioquia,47.1,40.6,67.9,35,0.6,23.9,37.6,0.1,22.6,41,44.1,43.4,32.3,17.2,74.6,47.2,24.8,30.4
Universitas Sebelas Maret,24,20.9,35.5,27.2,0.2,86.7,52.7,0.1,23.3,71,19.7,94.8,97.8,3.8,2.5,91.6,27.8,73.4
Universitas Padjadjaran,35.6,34.1,27.5,54.6,0.6,17.9,35.3,0.5,20.8,27,18.4,45.7,70,2.2,15.6,94.4,28.6,49.1
Universidad Nacional de Cordoba,84.2,26.3,31.8,37.1,2.1,19.1,27.9,3.1,23.5,20.8,10.5,34.3,33.3,24.2,62.8,33,29.5,39.6
Universidad del Norte,33.7,30,30.3,61.1,0,28.7,30.5,0,32.2,20.9,25.1,32.6,38.9,10.3,70.6,34.9,25.2,51.4
Federal University of Viçosa,88.1,30.9,36.4,93.6,1.8,19.8,31.8,0.9,15.9,23,17.9,44.7,39.5,13.7,15,35.4,28.3,32.4
Mohammed V University of Rabat,60.7,48.8,28.6,31.2,5.4,22.7,38,5,29.4,59.7,46.7,58.4,62.4,16.4,44.2,25.3,30.6,50.9
University of Sfax,99.7,59.2,23,55.5,3.2,25.1,28.1,2.1,27.6,47.6,25.4,65.3,32.3,25.1,72.1,24.9,29,71.6
Khon Kaen University,46.7,78.2,36.2,32.8,0.3,29.4,43.1,0.6,62,51.8,47.4,55.7,86,20.6,39.1,28.1,26.8,79
Kangwon National University,28.4,38,76.4,28.3,0.5,83,70,0.2,22.1,61.4,22.5,80,43.1,79.1,14.5,28.6,26.7,32.6
University of Central Lancashire
Obafemi Awolowo University (OAU),36.8,48.8,26.1,24.9,0.9,16.6,28.3,0.3,26,20.5,17.3,28,33,4.5,58.2,24.9,24.6,30.4
Marmara University,31.1,35.5,50.7,22.6,0.4,43.5,35.1,0.1,27.6,54.9,57.8,52.3,41.7,35.5,36.4,27.7,32.8,91.2
University of Tunis El Manar,90.1,99.9,37.1,39.9,3,50.5,56.2,2.8,15.7,52.9,12.9,74.4,94.3,37,72.3,56.5,40,100
Vietnam National University - Ho Chi Minh City (VNU-HCM),33.1,30.9,29.1,30.3,1,23.5,30.9,1.7,21.4,46.5,29,54.6,31.5,14.3,37.4,26.5,24.6,31.8
Universidade Federal de São Carlos,85,61.6,41.5,39.6,3.8,35.3,36.9,2.3,25.2,44.5,22.8,66.3,35.7,53.7,29.3,43.3,28.8,53.5
Tamkang University,24.4,22,38.3,26.7,1.4,29,43.1,1.6,55.7,42.4,37.2,44.4,37,41.7,58.5,30,27.5,31.3
Kaunas University of Technology,24,20.9,42.1,68.5,0.4,30.3,48,0.6,33.4,38.7,29.6,48.5,55.8,34.1,36.8,27.6,26.8,69.9
Rowan University,24,20.9,71.3,90,1.1,19.7,32.5,0.1,76.8,27.1,51.5,28.6,33.8,31.1,43,66.2,31.3,30.4
Chungbuk National University,37.9,56.3,66.3,37.8,1.3,72.1,65.7,1.4,14.8,55.2,22.4,76.6,43.3,81.3,25,26,28.3,40.9
Beijing Jiaotong University
University of Calcutta
Chapman University
