,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.07,0.05,197288,13.1,1.8,11.4,5280,1.8,0.89,11.07,1.09,50.52,2496,12.92,23.8%,0%,4.9%,0
Makerere University,0.02,0.1,-,10.1,3.4,2.9,-,1.3,1.06,4.83,1.19,17.32,-,2.96,72.1%,21.6%,2%,0
UFG - Universidade Federal de Goiás,0.19,0.15,45299,8.2,0.9,6.3,42344,2.8,0.87,10.49,1.03,37.2,1677,9.89,35.7%,3.3%,0.2%,0
Kharazmi University,0.05,0.05,56081,10.6,0.0,14.1,12270,0.0,1.1,18.83,1.3,51.98,6639,10.37,35.7%,1.5%,1.6%,0
Prince of Songkla University,0.06,0.09,272528,8.6,0,7.2,61210,2.7,1.02,15.47,1.32,43.03,28837,18.53,44.4%,0.8%,1.1%,0
Universidad Austral de Chile,0.08,0.06,203748,11.8,0,11.5,82519,0.7,1.08,12.24,1.24,32.1,27893,5.01,67.9%,16.3%,2.5%,0
University of Lethbridge,-,0.07,-,-,1.9,15.8,23990,2.2,1.03,8.72,1.09,36.1,-,19.98,52.1%,-,-,-
University of Pecs,0.73,0.16,205663,2.8,2.4,12.9,127896,2.6,0.73,6.71,0.9,44.14,13767,18.49,42.5%,8%,47.1%,0
Universidad Nacional de Educacion a Distancia,0.03,0.05,-,36.9,0.3,12.6,-,0.2,1.15,11.31,1.09,43.19,-,27.17,40.2%,1.7%,3.7%,0
Thammasat University,0.02,0.09,249620,13.7,0,20.2,34427,3.6,0.89,18.95,1.08,58.8,8955,16.64,40.9%,3.4%,0.7%,0.01
Ankara University,0.08,0.19,22029,3.5,8.6,28.5,21783,16.1,0.95,39.31,1.42,35.38,237,29.2,45.9%,N/A,4.3%,0.1
Dokuz Eylul University,0.07,0.05,197288,13.1,1.8,11.4,5280,1.8,0.89,11.07,1.09,50.52,2496,12.92,23.8%,0%,4.9%,0
Universidade Estadual de Londrina,0.51,0.45,90376,10.9,0.7,10,21294,0.7,0.81,7.72,0.98,34.7,12431,9.92,26.8%,0.9%,2%,0
Universidade Federal da Bahia,0.21,0.14,111800,13.2,1.9,4.2,4613,3.9,0.73,5.83,0.95,34.03,287,7.91,32.7%,7.5%,0.3%,0
De La Salle University,0.02,0.02,84198,4.1,0.7,10.4,7833,2.1,0.97,13.56,1.15,46.05,0,3.58,36.4%,3.2%,2.4%,0.03
Pusan National University,0.15,0.8,1334946,21.3,13.5,65.1,591193,12.1,1.02,72.15,1.27,93.81,100717,286.36,36.8%,10.1%,9.9%,0.03
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,0.05,0.18,322324,25.7,4.6,18.3,11528,2.4,0.94,19.41,1.1,59.36,4828,29.94,32.4%,0%,2.9%,0.01
Chungnam National University,0.06,0.26,-,21.3,5.7,36,277568,2.7,0.9,35.83,1.15,79.58,29473,139.7,31.1%,3.4%,1.3%,0.01
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.13,0.13,-,12.4,2.1,11,45337,0.5,0.88,19.12,1.35,43.4,634,12.35,60.1%,10.1%,0.1%,-
Universitas Sebelas Maret,0,0,170673,17.8,0.5,50,108256,0.1,0.88,44.84,1.07,94.85,76913,2.54,11.5%,31.3%,1.3%,0.02
Universitas Padjadjaran,0.07,0.09,70790,7.3,2.4,6.5,35360,2.8,0.85,11.41,1.06,45.74,30928,1.46,27.2%,34.5%,1.6%,0.01
Universidad Nacional de Cordoba,0.35,0.04,126012,11.5,6.8,7.5,1512,15.3,0.89,8.42,0.92,34.26,1512,18.17,54.3%,4%,2.1%,0
Universidad del Norte,0.06,0.06,107823,6.5,0.0,13.2,13546,0.0,0.97,8.51,1.15,32.6,6080,7.11,57.9%,4.8%,0.2%,0.01
Federal University of Viçosa,0.38,0.07,181494,3.4,9,8,19805,5.8,0.79,9.46,1.05,44.66,6607,9.67,27.1%,4.7%,1.5%,0
Mohammed V University of Rabat,0.2,0.17,85158,14.5,13.2,10.2,47300,21.2,1.01,32.9,1.38,58.37,24503,11.7,46.3%,0.2%,2.6%,0.01
University of Sfax,0.7,0.23,8403,7.2,12.9,11.7,2431,11.6,0.95,23.42,1.15,65.29,636,18.96,63.8%,0%,2%,0.02
Khon Kaen University,0.13,0.36,178881,13.5,1.3,14.6,68978,2.1,1.26,26.39,1.39,55.74,48021,15.09,42.3%,1.6%,0.9%,0.02
Kangwon National University,0.03,0.11,651882,16.8,2.5,46.7,183218,1.4,0.94,34.41,1.11,80,9453,102.42,28.9%,1.9%,0.9%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.07,0.18,52334,20.7,2.1,5.5,3067,1.4,1,8.31,1.04,27.98,1237,3.02,47.9%,0%,0%,0
Marmara University,0.04,0.1,342418,25.2,1.2,22.7,34592,0.3,1.02,28.84,1.49,52.26,8351,28.73,40.6%,1.4%,3.4%,0.03
University of Tunis El Manar,0.4,0.9,190046,10.5,5.8,26.5,122851,16.4,0.82,27.28,0.96,74.44,63379,30.26,63.9%,15.2%,6.7%,0.14
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.05,0.07,4,15.2,3,10.7,1,8.3,0.97,22.62,1.19,54.57,0,10.14,40.8%,0.8%,0%,0
Universidade Federal de São Carlos,0.35,0.25,240661,10.6,9.2,18.1,42673,8.9,0.89,21.33,1.12,66.27,3492,50.47,35.4%,7.9%,1.7%,0.01
