Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,,33.7,24.1,27.9,33.2,46.4
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia",,,,23.3,24.2,24,26.8,27.2
Federal University of Viçosa,,,,,,9.7,17.1,11.5
Universidade Federal de São Carlos
UFG - Universidade Federal de Goiás,,,,,,,,11.5
Universidade Estadual de Londrina
Universidad Austral de Chile
Beijing Jiaotong University,19.2,23.8,22.5,26.8,40.6,23.6
University of Pecs,,,,,,,21.6,21.9
Chungnam National University
Mohammed V University of Rabat,,,,,13.9,12.2,17.8,34.8
Khon Kaen University,,,,,,,,33
Prince of Songkla University,,,,,,10.8,25.6,33.7
Marmara University,,,,7.4,8.5,29.4,27.3,24.3
Ankara University,,,,,,,21.7
University of Antioquia,,,,,,,,16.7
University of Central Lancashire,23.5,19.5,19.3,35.6,38.1,38.2,43.1,43.3
University of Calcutta,,,,9.9,,,14.1
Pusan National University,,31.7,33.2,52.6,66.5,41.5,46.8,57.6
Kaunas University of Technology,9.4,10.7,8.5,10.2,15.4,33.3,24.9,53.2
University of Tunis El Manar,,34.5,32.8,33.3,30.7,30.7,36.6,50.7
Tamkang University,9.8,28.1,36.1,42.5,44.9,43.8,39.4,16.5
Makerere University,,,,26.3,43.7,27.3,,26.5
Universidade Federal da Bahia,,,,,,,,23.6
Kharazmi University,,,,,,17.8,15.6,16.2
De La Salle University,,,,8.4,8.1,11.7,10.3,10.5
Canterbury Christ Church University
Thammasat University,,,24.5,35.5,22,21.4,24.9,25
University of Sfax,,13.2,11.7,27.9,49.7,35.2,28.4,45.3
Universidad del Norte
Kangwon National University,,,,,28.9,18.3,17.3,17.3
Ege University,,,,,,,28.2,37.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,19.3,49.1,53.7
University of Lethbridge
Chungbuk National University
Chapman University,,,,,,14.7,23.3
Universitas Padjadjaran,,,,18.6,18.5,27.2,30.2,35.4
Obafemi Awolowo University (OAU),,,,31.3,16.6,30.8,25.5,21.1
Rowan University,,,,,,24.3,27.5,23.3
Universitas Sebelas Maret,,,,,21.5,24.5,32.4,33.2
Universidad Nacional de Educacion a Distancia,,,,,,19.8,12.8,16.2
Worldwide: Top*,85.4,67.4,85.9,85.9,79.5,86.8,88.8,88.6
Worldwide: 75%,48.1,41,48.4,48.4,45,49.2,51.1,51.5
Worldwide: Median,31.7,31.5,33.1,32.5,30.9,34,35.5,36.2
Worldwide: 25%,22.8,23.1,23.2,22.8,22,24,25.9,26.4
Worldwide: Bottom*,9.4,9.5,8,7.3,6.1,6.6,9.1,9.6
