Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,,,,,19.5
Universidad Nacional de Cordoba,36.4,,38.6,43.5,47.8,45,41.4,29.8
"University of the Sunshine Coast, Australia",37.2,43.7,46,40,39,40.4,43.3,44.2
Federal University of Viçosa,29.1,46.2,56.6,50.5,51.3,50.7,52.7,49.1
Universidade Federal de São Carlos,13.5,29.9,47.7,20.9,29.8,28.7,24.8,31.3
UFG - Universidade Federal de Goiás,16,,41,19,25.2,21.1,21,23.6
Universidade Estadual de Londrina,17.2,24.3,32.1,20.9,12.6,18.2,26.7,22.1
Universidad Austral de Chile,25,30.5,42.1,27,27.4,36.9,34.8,30.6
Beijing Jiaotong University
University of Pecs,,29,39.7,22.7,23.3,24.6,23.6,24.5
Chungnam National University,15.8,,37,24.8,28.5,32.6,32.8,33.7
Mohammed V University of Rabat,,,,,19.2,,,37
Khon Kaen University,,18.1,41.9,21.4,12.5,16.3,21.6,38.4
Prince of Songkla University,23.3,17.4,36.3,22.2,32.2,42.6,46.2,48
Marmara University
Ankara University,,26.9,29.9,13.4,33.8,30,27.2,30.6
University of Antioquia,,,36.3,16.7,20.4,19.1,23.2,21.9
University of Central Lancashire,,24.4,38.6,24.9,29.9
University of Calcutta,26.8,,,26.5,17.1,23.2,23.2
Pusan National University
Kaunas University of Technology
University of Tunis El Manar,,,,,,,,36.2
Tamkang University
Makerere University,25.9,,37.6,25.1,36.7,43.6,41.5,37.4
Universidade Federal da Bahia
Kharazmi University
De La Salle University
Canterbury Christ Church University
Thammasat University,,,30.2,14.1,28.7,14.4,18.6,28.6
University of Sfax,,,,,38.7,,34.4,35.6
Universidad del Norte
Kangwon National University,,,46.2,18.6,43.7,31.9,28.9,27.6
Ege University,,,36.7,18,22.6,16.2,24.3,29.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,19,21.6,30.5
University of Lethbridge,,,39.6,27,25.1,28.2,28.8,25.8
Chungbuk National University,,,,16.5,17.1,17.7,23,24.5
Chapman University
Universitas Padjadjaran,,,,8.6,10,19.7,21.3,28.8
Obafemi Awolowo University (OAU),,,,9.2,22.6,15,8.2,15.6
Rowan University,,,,,,22.9,23.7,25.2
Universitas Sebelas Maret,,,,,,,19.9,20.3
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,90.4,90.8,86.8,93,93.1,93,94.2,91.8
Worldwide: 75%,56,51.1,57.5,52.6,51.8,52.2,54.8,53
Worldwide: Median,38.2,37.8,43.8,36.1,36.5,37.1,38.1,38.1
Worldwide: 25%,23.6,24.3,37.6,22,22.8,24.5,25.1,25.7
Worldwide: Bottom*,8.1,7,10.3,5.7,6.1,6.8,8.2,9
