Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,27.3,,,,29.7
Universidad Nacional de Cordoba,20.2,,21.3,25.6,36.5,35.3,38.4,31.1
"University of the Sunshine Coast, Australia",27.8,40.2,31.1,27.5,29.2,29.6,38.9,36.2
Federal University of Viçosa,21.6,34.7,19.6,31.9,31.6,25.5,31.8,23.1
Universidade Federal de São Carlos,18.2,34.4,22.9,33.7,33.6,28,35.4,29.6
UFG - Universidade Federal de Goiás,22,,16.7,19.4,22,21.9,28.2,20.1
Universidade Estadual de Londrina,12,28.9,16.3,20.8,20,18,27.5,19.9
Universidad Austral de Chile,22,36.8,27.9,23.8,24.3,24.2,31.7,24.9
Beijing Jiaotong University,,,,26.8
University of Pecs,,41.6,27.2,24.4,23.8,24.5,32.9,25.8
Chungnam National University,15.9,,18.1,18.4,20.8,24,31,28.5
Mohammed V University of Rabat,,,,,16.9,15.4,27.1,28.4
Khon Kaen University,,37.6,28,27.3,,,,27.9
Prince of Songkla University,15.7,37,24.9,22.3,15.1,22.1,35.3,35.5
Marmara University,,,,21.2,20,23.7,26.9,23.6
Ankara University,,34.3,19,20.9,18.1,23.4,32.8,35.6
University of Antioquia,,,32.1,27,35.9,33.6,33.4,31.8
University of Central Lancashire,,36.7,22.8,23.8,22.6,22.5,30.3,26.2
University of Calcutta,14,,,17.2,26.6,23.8,34.1
Pusan National University
Kaunas University of Technology
University of Tunis El Manar,,34.7,14.3,17.8,29.8,16,29.3,29.8
Tamkang University
Makerere University,27.8,,26,31.8,31.7,31,,28.1
Universidade Federal da Bahia,,37.7,19.2,21.6,20.3,16,23.7,19.1
Kharazmi University,,,,,10.9,12.2,24.1,18.4
De La Salle University
Canterbury Christ Church University
Thammasat University,,,14.7,14.7,15.5,14.3,25.3,22.1
University of Sfax,,29.4,15.5,17.1,27.7,18.7,33,31.1
Universidad del Norte
Kangwon National University,,,14.6,14.8,17.1,21.3,27.9,23.7
Ege University,,,17.5,21.2,23.3,25.4,31.7,23.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,14.5,39.9,18.8,29.5,26.2
University of Lethbridge,,,15.3,15.8,18.3,14.8,24.9,17.4
Chungbuk National University,,,,14.1,18.9,21,29.9,31.1
Chapman University
Universitas Padjadjaran,,,,9.1,11.5,13.5,18.8,20.3
Obafemi Awolowo University (OAU),,,,14.3,18.6,18.2,20.3,16.2
Rowan University,,,,,,22.3,31.6,23.2
Universitas Sebelas Maret,,,,,,,21,15.9
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,91.7,92.2,95.8,95.8,96,96,93.7,95.8
Worldwide: 75%,55.8,62,54.4,53.3,53.7,53.2,55.9,53.2
Worldwide: Median,37.1,45.9,35.7,35,36.1,35.7,40.7,36.4
Worldwide: 25%,23.9,36.8,22.8,23.3,23.3,23,30.4,24.8
Worldwide: Bottom*,6.1,10.1,7,7.2,8.5,7.7,8.2,8.2
