Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,,23.9,16.8,22.1,21,20.2
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia",,,,31,26.1,29.8,34.2,43.8
Federal University of Viçosa,,,,,,26.8,35.2,29.5
Universidade Federal de São Carlos
UFG - Universidade Federal de Goiás,,,,,,,,12.9
Universidade Estadual de Londrina
Universidad Austral de Chile
Beijing Jiaotong University,31.8,31.1,24.9,24.4,17.3,23.5
University of Pecs,,,,,,,23.5,24.3
Chungnam National University
Mohammed V University of Rabat,,,9.8,16.6,11.9,15.6,14.2,14.6
Khon Kaen University,,,,,31.5,16.5,19,29.7
Prince of Songkla University,,,,,,16.3,24.1,27.5
Marmara University,,,,21.1,8.3,17.8,20.5,19.1
Ankara University,,,,,,,13.8
University of Antioquia,,,,,,,,22.7
University of Central Lancashire,29.2,30.4,23.9,32.2,26.1,24.7,31.7,30.1
University of Calcutta,,,,19.1,6.4,22.1,29.2
Pusan National University,,36.7,26,31.6,29.8,29.7,31.8,38.3
Kaunas University of Technology,16.2,16.3,8.8,16.3,15.7,29.9,35.5,39.8
University of Tunis El Manar,,23.3,15.5,25.4,16,17.8,27,30.7
Tamkang University,27.9,20.9,19.4,21.3,16.8,14.5,19.5,24.7
Makerere University,,,,30.5,17.1,27.1,24,19.4
Universidade Federal da Bahia,,,,,,,,20.5
Kharazmi University,,,,,,13,17.4,19.3
De La Salle University,,,,25,14.1,14,20.2,21.1
Canterbury Christ Church University
Thammasat University,,,27.6,30.6,37.9,39.7,31.2,31.3
University of Sfax,,24.5,11.2,22,14.7,16.7,21.3,24
Universidad del Norte
Kangwon National University,,,,,20.7,19.9,21.2,19.7
Ege University,,,,,,,24.6,30.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,25.1,17,24.3
University of Lethbridge
Chungbuk National University
Chapman University,,,,,,34.1,27.6
Universitas Padjadjaran,,,,27.1,10.5,19.8,22.4,31.3
Obafemi Awolowo University (OAU),,,,19.9,11.3,18.8,18,18.7
Rowan University,,,,,,31.9,32.7,33.7
Universitas Sebelas Maret,,,,,14.3,23,35.9,32.5
Universidad Nacional de Educacion a Distancia,,,,,,16.7,16.6,18
Worldwide: Top*,87.8,89.7,92.4,90.9,91.9,92.3,92.4,91.8
Worldwide: 75%,53.1,56,53.7,56.6,52.7,53.5,55.3,54.7
Worldwide: Median,39.5,40,35.6,40.6,34.8,36.9,38.4,38.6
Worldwide: 25%,29.7,30.8,24.7,31,23.9,24.9,27.6,27.9
Worldwide: Bottom*,10.3,9.7,6.9,9.6,6.4,8.4,9.6,9.9
