Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,16,15.4,17.3
Universidad Nacional de Cordoba,18.3,,22.4,19.5,18.4,50.4,17.9,24.1
"University of the Sunshine Coast, Australia",,,,,,,,29.9
Federal University of Viçosa,15.9,32.1,19.9,22.5,21.4,37.6,25.3,29.3
Universidade Federal de São Carlos,22.1,32.6,22.8,30.1,23.6,48.9,41.2,47.9
UFG - Universidade Federal de Goiás,31.8,,24.2,21.8,34.6,29.6,20.1,28.6
Universidade Estadual de Londrina,,,,20.6,,28.5,22.8,24.7
Universidad Austral de Chile
Beijing Jiaotong University,23.2,33.7,26.1,29.9,28.6,39.5
University of Pecs,,,,,,30.7
Chungnam National University,19.1,,40,20.6,21.1,34.7,34.9,40.8
Mohammed V University of Rabat,,,,,25.2,34.8,27.9,35.3
Khon Kaen University,20.4,33.8,26.4,21.1,20.4,39.1,44.2,33.1
Prince of Songkla University,22.7,34.3,22.7,22.8,22.2,48,31.1,36.7
Marmara University,,,13.3,12.4,30.2,30.4,21,30.9
Ankara University,,31.3,15.9,19.9,18.7,33.9,26.8,33.6
University of Antioquia,,,23.7,24.6,27,35,27.4,31.8
University of Central Lancashire
University of Calcutta,14.5,,,17,14.2,27.4,18.9
Pusan National University,,51.6,34.6,43.4,33,58.5,55.5,57.7
Kaunas University of Technology,14.9,30.7,17.7,18.4,21.9,33.7,27.3,31.2
University of Tunis El Manar,,32.7,20.8,20,22,34.6,28.3,41.1
Tamkang University,11,25.6,14,20.9,30.4,44.7,43.8,36.9
Makerere University
Universidade Federal da Bahia,,28.5,13.4,17.2,15.6,27.8,18.8,24.6
Kharazmi University
De La Salle University,,,21,16.9,27.7,39,19.4,24.8
Canterbury Christ Church University
Thammasat University,,,18.5,22.5,23,34.3,31,34.2
University of Sfax,,34.1,23.6,23.4,27.8,34.3,27.4,33.7
Universidad del Norte
Kangwon National University,,,21.5,20.5,20.9,44.1,23.9,35.5
Ege University,,,17,28.5,19.2,37.1,28.3,30.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,42.5,46.9,48.5
University of Lethbridge
Chungbuk National University,,,,15.3,16.2,29.8,21.5,30.9
Chapman University
Universitas Padjadjaran,,,,8.8,7.7,,,30.2
Obafemi Awolowo University (OAU),,,,19.9,22.2,48,25.4,26.1
Rowan University,,,,,19.8,33.2,26.8,35.9
Universitas Sebelas Maret,,,,,18,31.8,24.3,31
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,88,79.4,78.1,77.1,76.3,84.1,84.4,85.2
Worldwide: 75%,48.5,51.5,44.1,44.2,43.8,53.5,48.8,52.2
Worldwide: Median,31.6,39.6,30.8,31.6,31.9,39.9,34.5,38.4
Worldwide: 25%,21.9,32.4,21.4,22.2,22.1,32.9,25,30.1
Worldwide: Bottom*,6.5,7.3,7.3,8,7,9.6,6.9,10.8
