Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,25.4,12.1,34.9,36,33.4,14.3,16.9,17.4
Universidad Nacional de Cordoba,46.1,,59.5,51.1,53.3,17.5,21.8,22
"University of the Sunshine Coast, Australia"
Federal University of Viçosa,26.7,22.8,35.7,36.5,43.6,20.6,19.1,18.9
Universidade Federal de São Carlos,34.5,26.6,38,43.4,56.5,34.3,27.5,26.3
UFG - Universidade Federal de Goiás,34.4,,36.4,36,37.3,18.3,17.8,16.8
Universidade Estadual de Londrina,30,12.7,33.5,35.5,30.3,18.1,18.3,16
Universidad Austral de Chile,36.1,15.4,37.2,36.9,37.4,22.3,24,24.9
Beijing Jiaotong University,31.8,25.3,38.9,47.7,40.7,35.1
University of Pecs,28.9,,34.4,35.5,31.7,20.5,20.8,20.5
Chungnam National University,34.3,,36.1,41.3,34.2,27.3,32.7,31.1
Mohammed V University of Rabat,,,28.2,31.9,39.1,31,46.3,46.9
Khon Kaen University,29.2,15,35.4,33.1,31.1,23.4,29.5,36.7
Prince of Songkla University,28.8,16.4,35.6,35.4,34.9,25.5,32.3,34.4
Marmara University,,,32.5,,32,18.8,20.8,22.6
Ankara University,,22.1,34.2,33.1,31.4,20.3,27.8,28.2
University of Antioquia,,,44.8,43.2,41.7,24.4,26.5,23
University of Central Lancashire,35.8,27.9
University of Calcutta,31.2,,,39.9,29.7,32.9,29.5
Pusan National University,,33,54.4,58.7,54.6,42.2,47.3,48.1
Kaunas University of Technology,26.8,13.6,33,33.6,32.9,23.7,28.9,28.9
University of Tunis El Manar,,32.8,32,32.1,31.7,18.2,28.8,32.7
Tamkang University,26,13.5,33.5,35.2,36.7,37,37.8,40.1
Makerere University,,,,48,45.3,47.9,,41.2
Universidade Federal da Bahia,,18.7,35.3,36.8,30.9,16.4,16.5,15.9
Kharazmi University,,25.8,38.5,35.5,33.3,23.3,29.9,31.2
De La Salle University,,,36.1,32.8,28.7,13.2,24.1,23.9
Canterbury Christ Church University
Thammasat University,,,33.3,33.4,32,22,22.6,24.8
University of Sfax,,44.4,39,38.6,38.5,31.7,26.1,27.5
Universidad del Norte,,,,,32,17.4,17,15.3
Kangwon National University,,,40,38.3,44,25.2,26.4,27.7
Ege University,,,32.7,34.3,31.2,16.8,21.4,22.3
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,44,32.6,31.3,21.3,27.2,24.8
University of Lethbridge,,,32.2,31,30,13,13.2,15.4
Chungbuk National University,,,,33.2,32.3,20.1,24.3,32.7
Chapman University,,,,39.8,38.5,32.9,29
Universitas Padjadjaran,,,,,17.5,8.5,9.8,18.4
Obafemi Awolowo University (OAU),,,,47.2,40.2,41.7,27.8,25
Rowan University,,,,,38.3,28.1,27.2,28.9
Universitas Sebelas Maret,,,,,34.9,24.3,21.2,20.2
Universidad Nacional de Educacion a Distancia,,,,,,10.8,10.5,12.4
Worldwide: Top*,88,93,87.5,81.5,82.4,89,89.4,88.1
Worldwide: 75%,56.2,51.2,57.5,54.7,54.1,50,50.4,50.5
Worldwide: Median,41.6,35.9,43.5,43,42.1,35.6,36.5,36.5
Worldwide: 25%,34.9,23.3,37.5,36.7,35.1,24,24.1,25.4
Worldwide: Bottom*,9.4,6.2,10.4,13.8,9.7,6.8,6.4,7.4
