Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,19.7,25.8,31.4,17.5,23,32.1,31.1,23.8
Universidad Nacional de Cordoba,15.9,,34.3,19,19.3,40.9,35.7,27.9
"University of the Sunshine Coast, Australia",,,,,,,,37.1
Federal University of Viçosa,30.6,31.4,33.1,26.9,22.9,36.9,33.2,23.2
Universidade Federal de São Carlos,21.9,30.3,40.8,24.2,30.1,41.2,37.6,37.9
UFG - Universidade Federal de Goiás,19.2,,30.3,15.7,16.2,30.8,28.7,22.9
Universidade Estadual de Londrina,,,,15.2,16.9,29.1,31.2,21.6
Universidad Austral de Chile,,,,,,,29.7,23.2
Beijing Jiaotong University,52.1,62,60.3,46.6,53.2,68.1
University of Pecs,,,,,,23,23.2,18.3
Chungnam National University,18.2,,34.7,19.7,21.8,38.8,32.2,28.8
Mohammed V University of Rabat,,,,,21.2,42.1,30.6,26.8
Khon Kaen University,28.1,30.1,34.7,,22.3,32.8,34.2,33.3
Prince of Songkla University,21.9,30.9,33.3,25.4,24.4,40.5,40.6,37.5
Marmara University,,,27.7,13.8,14.9,32,30.7,27
Ankara University,,20.3,,,,,29.4,26
University of Antioquia,,,33,19.2,28.2,37.5,33.5,25.4
University of Central Lancashire
University of Calcutta
Pusan National University,,40.6,43,47.8,31.3,48.4,49.1,34.5
Kaunas University of Technology,28.2,24.9,27.8,17,32.1,40.8,35.1,40.4
University of Tunis El Manar,,33.6,32,17.8,18.4,50.1,30.9,28.4
Tamkang University,11.7,23.9,34,26.8,19.3,40.9,32.5,31.1
Makerere University
Universidade Federal da Bahia,,28,29.7,24.7,20.3,37.2,29.3,23.5
Kharazmi University,,24.3,28.5,14.2,15.1,27.9,26.2,24.6
De La Salle University,,,35.8,27.8,24.9,33.5,25.7,30.4
Canterbury Christ Church University
Thammasat University,,,43.2,22.4,20,42.5,44.5,40.1
University of Sfax,,31.1,33.7,27.9,28.3,43,31.5,26.6
Universidad del Norte,,,,,26.7,32.2,29.6,29.9
Kangwon National University,,,34.4,21.6,23.4,36.2,29.5,29.4
Ege University,,,27.4,23.5,27.9,38.7,34.4,26.6
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,44.6,44.7,35.4
University of Lethbridge
Chungbuk National University,,,,19.5,17.1,30.2,30.4,29.3
Chapman University
Universitas Padjadjaran
Obafemi Awolowo University (OAU),,,,17.5,16.1,37.5,25.1,19.3
Rowan University,,,,,21.9,33.5,34.6,27.6
Universitas Sebelas Maret,,,,,38.8,39.9,36.4,36.7
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,89.7,87.3,82.6,83.8,78.8,84,87.2,83.9
Worldwide: 75%,50,52.4,53,46.5,44.6,53.6,52.1,48.5
Worldwide: Median,34.2,36.7,38.8,32.8,32,40.3,38,35.5
Worldwide: 25%,23.1,29.1,33.2,21.6,21.7,33.2,28.6,24.6
Worldwide: Bottom*,6.5,9.4,10.9,7.7,7.5,10.8,9.7,7.6
