Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,10.8,13.5,15.3
Universidad Nacional de Cordoba,10.8,,12.5,23.8,11.7,11.5,12.7,24.9
"University of the Sunshine Coast, Australia",21,19.6,19.9,21,22.2,23,27.1,30.7
Federal University of Viçosa,,,16.8,17.5,14.5,14.2,17,12.9
Universidade Federal de São Carlos,11.9,22.2,12.5,13.4,13.6,31.1,30.5,15.8
UFG - Universidade Federal de Goiás,,,25.9,24.2,20.7,18.9,17.4,17
Universidade Estadual de Londrina,,,,,11.9,12.6,17.1,21
Universidad Austral de Chile,,,16.9,17.9,25.2,23.3,24.9,28.4
Beijing Jiaotong University,,,,,18,18.4
University of Pecs,,,,39.3,30.5,30.2,33.3,27.5
Chungnam National University,,,,,,31.8,26.7,25.1
Mohammed V University of Rabat,,,,,22.1,21.2,22.2,28.7
Khon Kaen University,,11,,12.5,,,,16.8
Prince of Songkla University,,,,,,17.9,23.9,23.9
Marmara University,,,10.3,20.7,17.2,26.9,29.1,32
Ankara University,,12.9,13.6,12.6,18.6,17.8,22.5,31.1
University of Antioquia,,,44.4,14.7,16,24.4,23.2,20.3
University of Central Lancashire,29.8,25.6,31.6,35,33.3,25.5,30.5,33
University of Calcutta,,,,14,25.7
Pusan National University,,,25.3,33.7,23.3,43.5,33,51
Kaunas University of Technology,,32.5,33.1,17,20.4,22.7,25.4,30.5
University of Tunis El Manar
Tamkang University,13.6,51.9,47,20,18.5,34.5,27.8,22.9
Makerere University,22.6,,16.9,20.2,23.6,32.2,,32.5
Universidade Federal da Bahia,,20.4,23.7,35.2,14.5,30.1,45.7,48.6
Kharazmi University
De La Salle University,,,22.4,17.8,18.4,41.7,21.1,39
Canterbury Christ Church University,,26,18.9,16.2,21.7,27.4,35,35.3
Thammasat University,,,16.7,17.2,20.1,22.4,24.2,39.4
University of Sfax,,,,14.3,20.5,20.3,29.5,22.1
Universidad del Norte,,,,19.9,20,40.7,21.1,23.3
Kangwon National University,,,,18.2,16.7,18.1,22.2,32.9
Ege University,,,,,,30.2,20.6,27.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,24.2,35.2,27.1
University of Lethbridge
Chungbuk National University,,,,,,,28.2
Chapman University,,,,26.5,33.2,49.8,33.4
Universitas Padjadjaran,,,,9.1,30.2,36.6,31.1,32.5
Obafemi Awolowo University (OAU),,,,18,13.8,17.6,25.9,23.2
Rowan University,,,,,,21.9,17.8,22.5
Universitas Sebelas Maret,,,,,,17.3,19.6,30.1
Universidad Nacional de Educacion a Distancia,,,,,,21.2
Worldwide: Top*,89.9,79.4,92.5,88.8,81.1,89.3,90.8,88.9
Worldwide: 75%,50,45.1,52,50.2,45.6,50.7,52.6,52.1
Worldwide: Median,32.6,30.6,33,33.1,29.6,34.1,34.9,36.7
Worldwide: 25%,22.7,22,23.6,22.9,21.7,24,25.3,27.5
Worldwide: Bottom*,8.4,10,7.8,7.5,8.5,9.9,7.5,9
