Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,,,,,,20.5
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia"
Federal University of Viçosa
Universidade Federal de São Carlos,16.5,20.4,18.4,19.6,22.4,25.1,28.8,27.9
UFG - Universidade Federal de Goiás,,,,14.8,14.2,16.2,21.5,17.1
Universidade Estadual de Londrina
Universidad Austral de Chile
Beijing Jiaotong University,21.7,22.3,28.5,30.3,27.8,30.3
University of Pecs
Chungnam National University,14.2,,15.3,19.6,20.5,18.1,23.1,26.2
Mohammed V University of Rabat,,,13.8,14.5,18.8,28.3,27.9,25.2
Khon Kaen University,,,,,,25.9,29.2,29
Prince of Songkla University,,,,,,23.1,26.3,24.7
Marmara University,,,,,,,30.8,25.6
Ankara University
University of Antioquia
University of Central Lancashire
University of Calcutta,9.4,,,14.4,10,16.8,20.7
Pusan National University,,24.2,25.4,26.2,25.9,26.2,33.1,42.3
Kaunas University of Technology,8.4,11,12.9,18.3,24.9,27.5,27.3,30.8
University of Tunis El Manar,,13.2,15.6,16.7,17.3,27.7,34.5,40.3
Tamkang University,19.5,18.3,25.1,27,20.6,18.2,15.9,18.1
Makerere University
Universidade Federal da Bahia,,21.7,15.5,18.2,16.3,16.3,16.1,17.3
Kharazmi University
De La Salle University,,,,25.9,22.2,23.4,20.8,21.9
Canterbury Christ Church University
Thammasat University,,,16.7,16.4,23.2,22.8,22.2,21.3
University of Sfax,,21.4,20.4,19.6,21.2,34.4,34.7,31.8
Universidad del Norte
Kangwon National University,,,,,,16.4,19.5,23.5
Ege University,,,,,,,26.9,23.6
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,14.4,31.6,26.4,27.3,26.9,23.7
University of Lethbridge
Chungbuk National University,,,,18.5,20,20.4,23.8,30.1
Chapman University
Universitas Padjadjaran,,,,,,,,23.3
Obafemi Awolowo University (OAU)
Rowan University
Universitas Sebelas Maret,,,,,,,19.6,21.2
Universidad Nacional de Educacion a Distancia,,,,,,22.2,24.4,25.4
Worldwide: Top*,88.7,81.3,83.8,81.8,82,83,87.3,86.4
Worldwide: 75%,50.4,48.1,48.9,47.5,47.5,48.7,51.1,50.6
Worldwide: Median,35.1,34.1,35.9,35.1,35.1,36.2,37.8,37.5
Worldwide: 25%,24.6,25.7,25.6,24.4,24.2,25.8,26.9,26.7
Worldwide: Bottom*,7.4,9.1,8,9.5,9.7,8,8.8,9
