Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,,28.3,17.7,11.7,16.7,21.9
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia",,,,25.5,24.3,25.4,26.6,26.2
Federal University of Viçosa,,,,,,16.8,18.5,23.4
Universidade Federal de São Carlos
UFG - Universidade Federal de Goiás,,,,,,,,13.7
Universidade Estadual de Londrina
Universidad Austral de Chile
Beijing Jiaotong University,24.8,13.5,13.3,17.8,14,20.9
University of Pecs,,,,,,,20.7,19.9
Chungnam National University
Mohammed V University of Rabat,,,8,9.4,19.5,16.9,17.9,18.9
Khon Kaen University,,,,,14.1,9.9,13.4,25.8
Prince of Songkla University,,,,,,26.5,28.7,32.1
Marmara University,,,,7.4,12.1,12.7,17.3,17.1
Ankara University,,,,,,,22.6
University of Antioquia,,,,,,,,18.3
University of Central Lancashire,33,25.2,22.9,28.4,30.4,,35.3,33.2
University of Calcutta,,,,9.8,7,25.1,29.1
Pusan National University,,40.7,37,38.9,48.3,42.3,47.3,49.1
Kaunas University of Technology,8.4,10.3,9,10.2,12.9,23.4,26.1,30
University of Tunis El Manar,,32.1,31.6,27.4,28.9,28,37.5,46.1
Tamkang University,11.9,14,13.6,13.2,16.2,23.9,19.4,17.2
Makerere University,,,,20.9,16.8,31.2
Universidade Federal da Bahia,,,,,,,,16.6
Kharazmi University,,,,,,21.5,27.9,33
De La Salle University,,,,14.7,12,19.9,22.6,22.2
Canterbury Christ Church University
Thammasat University,,,18.7,24.3,30.1,23.5,25.6,26.1
University of Sfax,,15.7,12.4,23.5,24.4,25.8,31.4,36.2
Universidad del Norte
Kangwon National University,,,,,23.9,23.2,23.1,22.3
Ege University,,,,,,,20.2,19.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,18.9,23.4,23.9
University of Lethbridge
Chungbuk National University
Chapman University,,,,,,40.6,38.6
Universitas Padjadjaran,,,,30.4,17.5,17.1,21.6,22.6
Obafemi Awolowo University (OAU),,,,16.7,16.4,27.1,25.3,29.8
Rowan University,,,,,,24,33.5,31.1
Universitas Sebelas Maret,,,,,14.8,16.8,23.3,27.4
Universidad Nacional de Educacion a Distancia,,,,,,17.2,17.5,18.3
Worldwide: Top*,79.8,70.5,71.7,74.6,71.6,77.9,77.4,79
Worldwide: 75%,46,42.6,42.8,44.1,42.5,45.2,46.9,47.3
Worldwide: Median,31.8,30.5,31.8,31.1,31.2,33.5,35.8,34.8
Worldwide: 25%,23.4,22.8,23.2,23.5,22.5,23.4,26.2,26
Worldwide: Bottom*,8.4,7.8,7.4,7.4,7,8.5,9.3,9.7
