Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,12,12,16.1,13.5,13.8,13.2,23.6,21.3
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia",18.7,19.5,28.2,26.7,27.3,32.5,38.3,39.4
Federal University of Viçosa
Universidade Federal de São Carlos,,20.1,10.8,11,16.8,27.8,28.2,31.1
UFG - Universidade Federal de Goiás,,,,13,12.6,20.1,22,20.5
Universidade Estadual de Londrina,,9,11.8,12.9,19,21.7,21.3,23.8
Universidad Austral de Chile,,,,,17.5,20.9,17.1,18
Beijing Jiaotong University
University of Pecs
Chungnam National University
Mohammed V University of Rabat
Khon Kaen University,12,17.6,15.1,11.5,11.8,24.6,26.4,38.4
Prince of Songkla University,,,,,,26.8,37.7,45.7
Marmara University,,,19.1,11.3,24.2,21.1,24.1,23.9
Ankara University,,13.5,22.2,12.5,18.8,31.2,40,43.3
University of Antioquia,,,16,13.3,16.4,18.4,29.5,28.8
University of Central Lancashire,25.9,29.6,28,33,37,35.2,37.7,36.1
University of Calcutta
Pusan National University,,,,,,,26.2,32.1
Kaunas University of Technology
University of Tunis El Manar
Tamkang University,16.7,,16,29.9,15.6,14.5,19.2,23.4
Makerere University,,,21.3,32.6,38.7,36.6,35.2,35.7
Universidade Federal da Bahia,,,,20.9,13.6,22.8,26.6,30.1
Kharazmi University,,,,,,,45.7,37.5
De La Salle University,,,,,45.4,34.2,30.7,38.7
Canterbury Christ Church University,,24.2,26.5,30.3,20.5,34.2,32.3,25.6
Thammasat University,,,,,,28.7,29.7,37.2
University of Sfax
Universidad del Norte,,,,,,25.5,25.5,28.7
Kangwon National University
Ege University,,,,,,24,24.8,26.4
Vietnam National University - Ho Chi Minh City (VNU-HCM)
University of Lethbridge
Chungbuk National University
Chapman University,,,,,35.7,41.5,45.9
Universitas Padjadjaran
Obafemi Awolowo University (OAU)
Rowan University,,,,,20.9,24.8,26.3,29.2
Universitas Sebelas Maret,,,,,19.9,31.2,33.9,33
Universidad Nacional de Educacion a Distancia,,,,,,53.2,51.5,41.1
Worldwide: Top*,91.3,91.8,94,93.8,93.1,92.5,94.9,94.7
Worldwide: 75%,53.3,53.1,54.5,54.5,54.3,55.7,57.5,58.5
Worldwide: Median,38.6,37.2,37.8,37.7,36.4,39.7,41.8,41.7
Worldwide: 25%,27.6,25.9,26.6,26.1,24.4,28.5,30,30
Worldwide: Bottom*,9.4,8.7,8.7,8.5,8,8.3,8.7,11.2
