Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,19,18.8,19.6,14.3,24.5,25.5,16.2,16.5
Universidad Nacional de Cordoba,17,,27.7,21.5,29.2,31.9,20.5,27.6
"University of the Sunshine Coast, Australia",,,,,,,,35.9
Federal University of Viçosa,27.6,35.3,26.8,33,32.6,32.7,28.5,21.9
Universidade Federal de São Carlos,20.2,24.3,23.3,23.1,39.3,36.2,29.2,26.8
UFG - Universidade Federal de Goiás,17.1,,16.4,14.6,23.1,32.1,19.7,20.8
Universidade Estadual de Londrina,,,,16.1,24.7,27.3,26.4,21.3
Universidad Austral de Chile,,,,,,,17.9,17.7
Beijing Jiaotong University,34.3,30.9,34.8,51.8,65.6,57.3
University of Pecs,,,,,,28.7,22,21.5
Chungnam National University,23.7,,27.3,25.9,29,39.8,28.8,35.9
Mohammed V University of Rabat,,,15.2,21.7,31.6,32.2,26.1,32.1
Khon Kaen University,18.4,23.2,27,23.6,29.9,32.4,26.4,30.9
Prince of Songkla University,20.4,17.1,21.1,19.5,29,32.7,23.4,21.6
Marmara University,,,14.7,13.8,28.9,32,27.8,29.4
Ankara University,,12.9,12.8,18.8,27.2,32.6,24.5,30.4
University of Antioquia,,,24.5,28.3,37.7,32,23.2,20.7
University of Central Lancashire
University of Calcutta,,,,21.6,,41.4
Pusan National University,,31.2,25.4,32.1,34,53.2,40.3,45.4
Kaunas University of Technology,8.5,10.2,11.6,13.4,33,38.6,33.3,32.5
University of Tunis El Manar,,16.6,20.6,21,30.7,40,39.6,43.4
Tamkang University,17.5,12.4,14.9,13.3,30.2,26.8,15.3,18.4
Makerere University
Universidade Federal da Bahia,,21,16.6,22.2,27.3,29.5,16.1,18
Kharazmi University,,17,24,19.3,24.1,25.1,20.1,22.9
De La Salle University,,,38,27.4,32,38.9,30.5,19.6
Canterbury Christ Church University
Thammasat University,,,15.9,19,26.4,36.4,24.1,23.9
University of Sfax,,24.1,20.4,21.3,31,32.5,29.6,41.5
Universidad del Norte,,,,,24,27.9,18,17.3
Kangwon National University,,,14.2,14.8,30,25.7,16.6,26.6
Ege University,,,19.2,20.1,34.3,31.9,26.2,22.7
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,15.4,32.2,29.3,40.7,36.5,47.3
University of Lethbridge
Chungbuk National University,,,,19,33.4,34.5,25.3,33.4
Chapman University
Universitas Padjadjaran,,,,,,19.5,,20
Obafemi Awolowo University (OAU),,,,14.5,21.2,23.1,14.1,16.7
Rowan University,,,,,26.7,32.7,26.5,35.7
Universitas Sebelas Maret,,,,,29.3,31.2,26.1,33.9
Universidad Nacional de Educacion a Distancia,,,,,,32.5,23.8,28.3
Worldwide: Top*,85.9,85,85.9,83.2,75.7,82.2,84.3,84.8
Worldwide: 75%,48,48.3,48.7,46.8,48.5,52.1,48.2,48.6
Worldwide: Median,34.2,35.3,34.6,33.2,37.6,39.3,35.4,35.7
Worldwide: 25%,22.7,23.7,23.8,22.5,30.1,32,24.1,24.3
Worldwide: Bottom*,7.1,7.2,7.4,6.6,8.3,8.2,7,8.8
