Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,21.7,27.7,26.2,18,23.4,29.6,27.2,29.2
Universidad Nacional de Cordoba,18.5,,38.2,18.7,22.9,36.9,30.1,32.7
"University of the Sunshine Coast, Australia",,,,,,,,34.9
Federal University of Viçosa,20.1,28.4,36.7,18.6,16.5,40.2,39.1,38.9
Universidade Federal de São Carlos,33.9,40.1,29.3,30.5,46,55.3,45.6,46.6
UFG - Universidade Federal de Goiás,,,28.5,19.5,19.9,32.4,30.2,28.6
Universidade Estadual de Londrina,,,,19,14.9,27.4,27.8,25.3
Universidad Austral de Chile,,,,,,,28,23
Beijing Jiaotong University,15.1,27.7,45.7,43.5,42.1,49.4
University of Pecs,,,,,,17.6,19.6,20.8
Chungnam National University,19.8,,42.1,34.1,22.3,38.4,34.6,40.2
Mohammed V University of Rabat,,,47.3,14.8,37.5,33.3,43.5,44.1
Khon Kaen University,20.4,35.9,31.6,23.6,22.1,39.9,41,46.4
Prince of Songkla University,16.3,25.4,25.2,25.9,19.8,33.1,34.6,38.1
Marmara University,,,21.5,15.6,16.8,38.9,34.2,33.1
Ankara University,,27.4,25.6,23.2,17.3,33.3,42.9,47.3
University of Antioquia,,,32.9,25.6,26.5,34.5,34.2,36.1
University of Central Lancashire
University of Calcutta,13.2,,,18.3
Pusan National University,,40.2,55,57.5,47,56,56.9,49.6
Kaunas University of Technology,,15.9,18.8,12.9,18.1,34.6,34.7,39.9
University of Tunis El Manar,,37.8,35,29.6,21,33.4,43.8,45
Tamkang University,12.1,23.7,21.7,15.1,16.4,32.3,28.1,28.3
Makerere University
Universidade Federal da Bahia,,,,15.1,23.5,28.1,23.4,30.1
Kharazmi University,,,29.7,,,,31.3,34.8
De La Salle University,,,33.7,32.3,18.2,26.1,26.8,28.4
Canterbury Christ Church University
Thammasat University,,,24,20,20,38.7,47.2,42.6
University of Sfax,,50.3,29.6,21,23.3,37,39.4,37.5
Universidad del Norte
Kangwon National University,,,22.8,16.4,17,30.9,32.2,34.5
Ege University,,,,14.4,25.7,38.8,37.3,36.3
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,26.1,22.5,22,33.1,38.4,40.3
University of Lethbridge
Chungbuk National University,,,,15.1,18.4,31.6,29.1,35.3
Chapman University
Universitas Padjadjaran,,,,,20.5,31,,32
Obafemi Awolowo University (OAU),,,,23.6,21.2,37.3,,27.8
Rowan University,,,,,15,28.4,30.3,33
Universitas Sebelas Maret,,,,,27.5,33.8,36.7,38.8
Universidad Nacional de Educacion a Distancia,,,,,,29.6,25.2,23.3
Worldwide: Top*,93.7,89.1,89.9,90.4,84.7,87,85.8,85.6
Worldwide: 75%,51.7,54.7,53.8,50.2,47.8,54.5,53,52.9
Worldwide: Median,34.3,40.1,38,33.6,33.4,40.2,39.6,39
Worldwide: 25%,23.4,31.6,29.7,23.3,23.1,32.8,31,31.1
Worldwide: Bottom*,6.7,10.5,12.2,7,7.1,8.8,8.4,10.2
