Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,18.4,13.9,23.4,,24.6,28.9
Universidad Nacional de Cordoba,16.5,,17.1,26.6,30.1,46,43.4,33.8
"University of the Sunshine Coast, Australia",31.6,32.8,33.2,30.6,34.8,35.7,36.9,38.2
Federal University of Viçosa,,,10.8,13.6,13.7,11.5,24.3,11.5
Universidade Federal de São Carlos,11.5,12.2,14.3,14.6,15.8,25.9,25,17.4
UFG - Universidade Federal de Goiás,,,13.1,12.6,12.2,23.9,22.7,18.2
Universidade Estadual de Londrina,,,,,9.1,8.6,13.2,15.2
Universidad Austral de Chile,,,34.3,33,27.8,26.4,38.1,29.8
Beijing Jiaotong University
University of Pecs,,,,13.9,14.9,14.8,22.6,27.6
Chungnam National University,,,,,,26.4,27.3,25.5
Mohammed V University of Rabat,,,,,19.5,17.5,20.8
Khon Kaen University
Prince of Songkla University,,,,,,19.7,28.7,28.6
Marmara University,,,11.2,10.6,13.5,24.4,21.9,23.3
Ankara University,,12.9,9.8,10.7,18.9,20.3,21,18.6
University of Antioquia,,,16.5,15.2,18.7,20.2,19.5,17.7
University of Central Lancashire,23,29.1,30.3,28.1,25.1,,25.4,32.8
University of Calcutta,,,,10,10,22.3,35.9
Pusan National University,,,,24.8,22.5,30.2,33.3,29.7
Kaunas University of Technology
University of Tunis El Manar
Tamkang University
Makerere University,19,,23.1,32.8,26.8,31.8,,35.5
Universidade Federal da Bahia,,16.7,10.9,16.3,12.9,22.3,26.2,12.8
Kharazmi University,,,,,,43.1,31.2,28.3
De La Salle University
Canterbury Christ Church University,,19.4,12.5,14.6,,,19.6,15.1
Thammasat University,,,18.8,18,23,17.8,25.5,20.9
University of Sfax,,,,27,19.7,21.2,31.9,33.1
Universidad del Norte
Kangwon National University
Ege University,,,,,,16.1,16.1,19.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,22,57.1,49.6
University of Lethbridge,,,22.7,19.6,18.3,18.1,18,24.6
Chungbuk National University,,,,,,,19.3
Chapman University
Universitas Padjadjaran,,,,,25.1,,19.1,22.5
Obafemi Awolowo University (OAU),,,,13.4,16.2,32.2,27.2,23.3
Rowan University,,,,,,13.1,49.7,28.2
Universitas Sebelas Maret,,,,,,15.5,24,20
Universidad Nacional de Educacion a Distancia,,,,,,15.2,14.4,15.8
Worldwide: Top*,87.1,85.5,90.6,92.3,89.4,92.2,93.8,94.1
Worldwide: 75%,53.9,55.3,53.7,51.5,49.8,54.2,56.1,57.4
Worldwide: Median,33.4,31,30.6,32.2,30.7,33.5,36.6,36.7
Worldwide: 25%,21.7,21.9,20.9,20.8,21.8,22.5,25,26.6
Worldwide: Bottom*,7.1,7.4,7.1,6.6,7.2,7.3,8.8,7.8
