Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,12.9,28.9,13.2,13.5,30.6,32.4,15.6,18.1
Universidad Nacional de Cordoba,18.7,,26,24.3,43.9,59,34.6,30.7
"University of the Sunshine Coast, Australia"
Federal University of Viçosa,,31.4,,18.5,,,19
Universidade Federal de São Carlos,15.3,34.7,18.6,19.4,35.6,41,23.3,25.1
UFG - Universidade Federal de Goiás,19.8,,16.4,16.4,33.1,40.9,19.1,20.4
Universidade Estadual de Londrina,,,19,15.8,,,17.8,14.6
Universidad Austral de Chile,24.4,39.5,27.4,29,41.1,42.6,26.5,24.8
Beijing Jiaotong University,11.2,24.9,16.1,29.1,49.3,35.9
University of Pecs,,,16.9,23.1,41.3,42.9,23.4,28.3
Chungnam National University,15.6,,23,16.7,32.8,47,28.2,27.2
Mohammed V University of Rabat,,,11.2,10.2,33.6,36,25.1,28
Khon Kaen University,12.9,29.2,15.7,13,35.1,32.5,14.8,20.7
Prince of Songkla University,21.2,33.1,16.2,15.6,30.4,37.8,23,25.3
Marmara University,,,,,,34.1,19,21.4
Ankara University,,25.2,10.2,12.2,23.5,29.9,16.5,19.2
University of Antioquia,,,23.8,21.1,38.3,38.2,21.7,19.2
University of Central Lancashire,,40
University of Calcutta,14.5,,,15.4,29.5,40.8,25.1
Pusan National University,,62.4,31.5,32.4,45,62.8,49.2,39.9
Kaunas University of Technology,,22.9,,,,,23.2,25
University of Tunis El Manar,,25.3,11.7,26,28.5,33.9,17.9,24.1
Tamkang University,,36.4,,,,37.1,28.3,36.4
Makerere University,,,,25.5,38.6,45,26.3,23.2
Universidade Federal da Bahia,,29.8,14.2,16.2,40.3,41.5,17.2,17.1
Kharazmi University,,29,17.3,21.3,31.7,34.2,23.6,23
De La Salle University,,,37.1,22.1,,,,21
Canterbury Christ Church University
Thammasat University,,,12.5,15.1,33.1,38.2,30.3,27.1
University of Sfax,,51.7,17.1,32,35.5,37.2,22,27.1
Universidad del Norte,,,,,31.5,36.3,17.7,20.5
Kangwon National University,,,38.9,34.6,41.1,49.9,22.5,25.8
Ege University,,,,,32.1,36.4,19.2,19.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,24.9,19.7,34.6,40.8,28.7,28.4
University of Lethbridge,,,26.6,22.8,35,37.1,22.8,20
Chungbuk National University,,,,14.6,29.2,32.7,19.1,21.4
Chapman University,,,,22.6,41.8,41.2,36
Universitas Padjadjaran,,,,,22.2,29.4,13.8,21.4
Obafemi Awolowo University (OAU),,,,11,24.1,39.7,20.9,18.6
Rowan University,,,,,43.2,45,44.7,46.9
Universitas Sebelas Maret,,,,,30.8,39.6,28.5,23.8
Universidad Nacional de Educacion a Distancia,,,,,,40.5,24.6,23.8
Worldwide: Top*,93.1,91.3,93.1,93.7,91.9,91.1,92.8,90.3
Worldwide: 75%,55.9,60.1,54.9,51.8,58.3,60.2,51.2,50.7
Worldwide: Median,37.9,41.8,35,35.3,42.5,45.3,36.1,36.3
Worldwide: 25%,21.6,33.9,22.2,21.8,35.6,39.1,23.4,24.3
Worldwide: Bottom*,6.2,7,6.5,7,8.2,21.6,7.9,7.3
