Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,14.6,29.9,25.1,12.6,12.1,11.8,15.7,17
Universidad Nacional de Cordoba,30.8,,43.6,20.7,24.9,28.4,21.3,22.8
"University of the Sunshine Coast, Australia"
Federal University of Viçosa,10.8,22.7,21.3,22.9,15.4,21.5,19.5,20.6
Universidade Federal de São Carlos,17.2,42.9,32,19.1,20.6,24.7,25.1,25.3
UFG - Universidade Federal de Goiás,19.4,,39.4,17.3,20.3,23.5,31,23.2
Universidade Estadual de Londrina,10.8,22.7,29.2,13.1,12.7,18.4,20.5,17
Universidad Austral de Chile,17.6,32.6,36.5,25.3,27.4,22.2,24.8,19.9
Beijing Jiaotong University,26.9,36.9,38.3,40,43,42.1
University of Pecs,12.7,,28.9,15.5,15.9,17.6,17.8,18.4
Chungnam National University,13.4,,27.1,16.4,17.3,18.2,20.5,23.4
Mohammed V University of Rabat,,,26.5,16.4,20.5,20.6,21,28.9
Khon Kaen University,11,31,27.3,21.3,15.3,24.8,37.9,43.6
Prince of Songkla University,11.4,20.8,22.9,18.6,13.1,25.3,22.8,22.3
Marmara University,,,30.6,,18.6,23.8,38.6,31.3
Ankara University,,39.8,22.9,24.2,10.6,15.5,18.7,30.3
University of Antioquia,,,36.8,22.3,29.7,27.6,27.9,22.7
University of Central Lancashire,29.9,40.2
University of Calcutta,14.2,,,16.1,24.2,21.9,30
Pusan National University,,38.6,40.4,23.4,31.9,24.7,30.5,31.4
Kaunas University of Technology,12.4,30,31.7,23,25.2,29.5,31.3,34.5
University of Tunis El Manar,,26.5,27.8,15.5,16.8,34,31.5,29.5
Tamkang University,16.9,39.1,36.4,16,21.2,25.2,28,29.1
Makerere University,,,,18.7,17.8,20.6,,19.4
Universidade Federal da Bahia,,37.3,33.3,19.5,18.2,16.7,17.7,20.4
Kharazmi University,,29.2,30.7,19.6,16.7,15.7,17.9,19.7
De La Salle University,,,40.6,27.5,25.4,24.8,20.1,19.9
Canterbury Christ Church University
Thammasat University,,,30.3,14.3,13.4,14.3,16.1,15.7
University of Sfax,,32.8,29.8,19.3,22.7,37.6,30.4,24.4
Universidad del Norte,,,,,30.9,27.1,25.1,21.2
Kangwon National University,,,25.8,19.1,18.6,18.5,19.3,20.7
Ege University,,,37.4,15.7,24,18.8,24.7,25.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,24.7,16.8,22.7,21.1,19.6,20.8
University of Lethbridge,,,41.2,16.8,13.9,13.7,21.9,16.3
Chungbuk National University,,,,22.4,23,21.3,22.8,26.1
Chapman University,,,,19.6,17.9,17.5,17.9
Universitas Padjadjaran,,,,,9.4,8.5,10.7,16.7
Obafemi Awolowo University (OAU),,,,10.5,11.9,15,15.6,19.7
Rowan University,,,,,19.9,16.1,23.3,32.4
Universitas Sebelas Maret,,,,,24.8,22.8,29.4,25.8
Universidad Nacional de Educacion a Distancia,,,,,,24.5,21,23.8
Worldwide: Top*,93.6,87.2,84.1,86.9,83.5,84.6,87.2,85.4
Worldwide: 75%,51.5,56.5,54.7,48.8,47.6,48.8,50.1,49.6
Worldwide: Median,35.1,43.5,42.4,35.8,35.3,36.5,36.7,37
Worldwide: 25%,22.7,36,35.1,23.3,23.6,24.7,25.2,25.7
Worldwide: Bottom*,6.2,6,12.7,6.6,6.5,6.1,7.1,7.5
