Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,15.2,25.8,15.9,14.6,16.5,23.7,21.6,22.8
Universidad Nacional de Cordoba,23.1,,20.9,18.7,28.4,38.3,31.5,30
"University of the Sunshine Coast, Australia",,,,,,,,38.7
Federal University of Viçosa,30.5,34.5,29.9,31.9,30.4,43.7,32.2,28.5
Universidade Federal de São Carlos,26,30,31.6,32.8,32.2,39.8,32.9,32.7
UFG - Universidade Federal de Goiás,15.2,,14.1,14.1,15.1,26.3,24.6,25.7
Universidade Estadual de Londrina,,,,,,,30.1
Universidad Austral de Chile,,,,,,,29.1,26.8
Beijing Jiaotong University,21.8,29.5,24.8,21.8,38.3,55.8
University of Pecs,,,,,,32.8,25.9,28.7
Chungnam National University,20.2,,21.5,28.6,20.7,38,35.9,36
Mohammed V University of Rabat,,,,,23,36.7,31.7,36.7
Khon Kaen University,28.6,35.6,33,27.4,30.5,36.3,39.1,40.1
Prince of Songkla University,,33.6,22.7,25.2,25.8,39.3,35.3,34.3
Marmara University,,,,,,36,35.4,36.1
Ankara University,,,,,,,38.9,36.4
University of Antioquia,,,20.1,23.9,29.9,39.4,31.2,29.2
University of Central Lancashire
University of Calcutta
Pusan National University,,48.9,33,34.6,38.3,57,60.7,55.8
Kaunas University of Technology,8.5,22,10.3,10.7,16.3,36.5,32.4,36.7
University of Tunis El Manar,,31.1,25.2,23.7,22.4,55.7,51.9,50.7
Tamkang University,12.4,38,26.1,17.5,19.4,32.9,26,30.3
Makerere University
Universidade Federal da Bahia,,30.2,18.7,19.2,19.4,30.3,22.8,22.9
Kharazmi University,,29.2,31.5,26,24.8,28.3,28.7,30.1
De La Salle University,,,37.8,30.2,33.5,34.3,34.3,36.1
Canterbury Christ Church University
Thammasat University,,,19.7,23,23.9,38.4,37.2,37.5
University of Sfax,,33.5,26.8,23.3,24.7,44.5,28.3,32.2
Universidad del Norte,,,,,17.2,30.1,27.3,24.4
Kangwon National University,,,18.2,23.7,19.8,30.6,30.5,31.8
Ege University,,,12.3,13.9,15.8,31.8,30.6,26.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,35.9,29.7,31.8
University of Lethbridge
Chungbuk National University,,,,14.3,15.6,34.4,36.1,38.9
Chapman University
Universitas Padjadjaran
Obafemi Awolowo University (OAU),,,,25.9,18.9,35.1,23.6,25.6
Rowan University,,,,,25,35.8,31.2,32.9
Universitas Sebelas Maret,,,,,48,43.7,42,40.2
Universidad Nacional de Educacion a Distancia,,,,,,28.4,25.3,24.2
Worldwide: Top*,87.3,83.6,84.6,79.8,79,81.3,82.2,81.8
Worldwide: 75%,49.5,53.1,48,45.9,45.4,52.2,50.3,50.2
Worldwide: Median,33.5,39.7,33.4,33.3,33.2,39.8,37.9,38.2
Worldwide: 25%,24.1,32.7,23.5,23.3,22.9,32.8,29,28.9
Worldwide: Bottom*,7.3,10.3,7.7,7.4,7.7,10,10.9,13.3
