Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,14.5,16.5,22,25,27,23.4,25.3,25.4
Universidad Nacional de Cordoba,18.3,,18.7,28.2,28.6,29.3,32.9,36.9
"University of the Sunshine Coast, Australia",,22,25.6,25.5,26.1,23.6,36.6,39.3
Federal University of Viçosa,,16,17.2,18.7,19.1,18.8,22,18
Universidade Federal de São Carlos,17.6,17.6,17,23,26.3,20.7,20.4,22.1
UFG - Universidade Federal de Goiás,16.8,,16.7,18.6,22,23.1,24,27
Universidade Estadual de Londrina,12.7,14.2,22.3,23.9,25.4,25.6,27,25.7
Universidad Austral de Chile,19,,16.7,18.9,19.1,20.3,22.3,20.2
Beijing Jiaotong University
University of Pecs,26,31.9,34.8,37.5,42,39.9,35.9,41.7
Chungnam National University,22.7,,24.5,31.4,32.9,29.3,29.5,29.6
Mohammed V University of Rabat,,,25,13.8,17,14.4,12.4,14.5
Khon Kaen University,19.1,23,30.3,28.2,23.8,26.6,27.5,32.4
Prince of Songkla University,17.8,21.8,28.9,20.4,18.4,26.3,26.9,28.5
Marmara University,,,16.1,18.7,30.7,26.9,21.4,26.7
Ankara University,,20.8,25.3,29.8,41.2,39.4,32.3,33.5
University of Antioquia,,,20.7,19.5,25.1,22.4,27,32.2
University of Central Lancashire,22.3,25.7,27,27.3,31.5,27.9,31.2,38.1
University of Calcutta
Pusan National University,,17.5,23.1,25.9,25.4,26.5,34,36.4
Kaunas University of Technology
University of Tunis El Manar,,13.2,18.8,20.9,26.1,28.9,28.1,24.9
Tamkang University
Makerere University,53,,44.7,49.1,40.7,37.9,39.3,37.8
Universidade Federal da Bahia,,16.6,17.8,23.2,26.9,33.8,32.2,32.7
Kharazmi University
De La Salle University
Canterbury Christ Church University,,,,,,22.9,33.6,33.7
Thammasat University,,,18.1,18.8,19.4,25.3,23.9,23.1
University of Sfax,,10.5,11,12.1,14.2,24.8,27.1,23.2
Universidad del Norte
Kangwon National University,,,19.3,19.9,25.3,25.8,21.5,28.9
Ege University,,,21.1,23.3,25.5,27.6,26.1,30.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,,31.6,36.3
University of Lethbridge
Chungbuk National University,,,,33,37.5,32,30.5,35.4
Chapman University,,,,,26.3,23.9
Universitas Padjadjaran,,,,13.5,25.5,26.1,22.6,27.1
Obafemi Awolowo University (OAU),,,,25,32.7,34.7,29.1,27.3
Rowan University,,,,,,26.8,28.2,30.9
Universitas Sebelas Maret,,,,,,,31.6,25.1
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,90.9,90.8,89.2,89.4,88.5,89.4,89.5,92.8
Worldwide: 75%,55.7,53.9,51.7,51.4,51.8,51.3,51.2,52.3
Worldwide: Median,37.8,37.5,36.5,36.5,36.4,35.9,36,36.4
Worldwide: 25%,23.8,24.1,24.2,24.6,24.7,24.1,24.9,25.1
Worldwide: Bottom*,9.4,7.9,6.8,9.3,7.1,7.9,8.4,7.2
