Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,34.8,14.2,17.4,20.5,21.1,24.1,26,27.8
Universidad Nacional de Cordoba,46.9,,33.5,15.9,20,18.5,19,24.3
"University of the Sunshine Coast, Australia",40.7,27.4,35,45,42.1,40.9,42.1,45
Federal University of Viçosa,,13.6,13,14.6,20.2,26.6,27,25.1
Universidade Federal de São Carlos,58.6,31.7,23.6,35.2,39.6,37.3,38.8,38.8
UFG - Universidade Federal de Goiás,34.7,,16.7,18.7,19.6,28.4,26.5,24.2
Universidade Estadual de Londrina,40.3,40.2,34.5,48.7,31.1,38.1,33.4,34.8
Universidad Austral de Chile,43.8,,25.4,20.4,16.3,15,17,17.8
Beijing Jiaotong University
University of Pecs,38.4,24,31.9,31.5,25,34.5,32.9,31.6
Chungnam National University,36.4,,17.7,18.6,20.2,25.4,23.7,39.2
Mohammed V University of Rabat,,,14.9,13,16.5,18.8,24.7,25.8
Khon Kaen University,48.4,15.2,35.2,16.2,29.9,30.2,34.5,38.2
Prince of Songkla University,32.6,12.1,33.4,16.3,16.3,19,36.1,42.1
Marmara University,,,10.7,11.5,10.7,17.9,18.7,18.1
Ankara University,,31.7,12,13,18.9,21,25.6,30.1
University of Antioquia,,,17.3,18.9,21.6,25.7,28.9,27.1
University of Central Lancashire,45.3,31,43.9,41.7,43.5,37.7,42.2,43.2
University of Calcutta
Pusan National University,,19.5,19.6,26.7,21.1,25.7,24.6,34.8
Kaunas University of Technology
University of Tunis El Manar,,12.2,14,13.7,22,25.3,22.7,29.5
Tamkang University
Makerere University,63.5,,43.5,51.7,43.2,,,42.9
Universidade Federal da Bahia,,29.1,25.8,31.8,28.2,28.3,28.8,29.7
Kharazmi University
De La Salle University
Canterbury Christ Church University,,,,,,29.7,32.5,40.6
Thammasat University,,,16.6,16.4,25.9,23.1,26.2,28.4
University of Sfax,,19.7,20.3,20.8,31.2,38.2,37.9,36.6
Universidad del Norte
Kangwon National University,,,27.4,27.1,33.6,31,20.8,36.3
Ege University,,,12.5,18.6,21.7,24.8,26.9,25.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,,39.6,40.2
University of Lethbridge,,,20.1,21.3,18.8,24.9,28,28.7
Chungbuk National University,,,,14.9,15.5,16.3,21,35
Chapman University,,,,,27.7,32.1,34.3
Universitas Padjadjaran,,,,31.7,14.1,23.6,20.2,26
Obafemi Awolowo University (OAU),,,,14.2,14.8,32.1,29.7,23.5
Rowan University,,,,,,39.3,32.8,28.2
Universitas Sebelas Maret,,,,,,,17.3,16.2
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,90.1,91.9,93,93.9,94.4,94.3,95.4,95
Worldwide: 75%,63,56.1,55.5,53.7,53.9,54.6,56.2,55.2
Worldwide: Median,47.7,38.6,37.7,37.2,37.2,37.4,39.4,40.3
Worldwide: 25%,39.1,23.8,22.5,22.8,23.1,24.9,25.1,26
Worldwide: Bottom*,17.4,6.9,6.7,6.9,7.1,7.3,7.6,8.2
