Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,16.5,17.3,17.7,16.9,13.9,13.7,16.5,23
Universidad Nacional de Cordoba,21.2,,22.1,16.6,19.3,14.9,15.1,25.5
"University of the Sunshine Coast, Australia"
Federal University of Viçosa,12.1,16.1,14.7,18.6,13.8,15.9,15.6,26.5
Universidade Federal de São Carlos,20.4,16.5,19.4,17.4,24.1,27.4,29.3,33.3
UFG - Universidade Federal de Goiás,21.3,,20.3,22.1,21.6,21.1,18.9,26
Universidade Estadual de Londrina,11,13.4,11.5,10.7,9.2,10.8,14.8
Universidad Austral de Chile,,20.7,20.2,21,27.6,22.6
Beijing Jiaotong University,15.9,15.5,17.4,19.7,23.7,19.1
University of Pecs,20,,20.5,20.7,19.1,18.8,18.8,26.8
Chungnam National University,21.1,,28.8,27.2,18.3,26.9,24.8,34.4
Mohammed V University of Rabat,,,13,15.9,21.8,36,43.6,44.8
Khon Kaen University,21.2,16.2,17.3,16.8,26.4,31,35.4,38.4
Prince of Songkla University,12.6,14.7,15.4,15.7,18.6,23.6,26.8,31.1
Marmara University,,,14,,14,16.4,31.4,37.7
Ankara University,,22.9,20.6,21.3,18,19.3,35.7,39.7
University of Antioquia,,,27.6,26.4,26,22.8,28.5,35.5
University of Central Lancashire,29.2,29.7
University of Calcutta,10.5,,,17.7,18.9,18.9,21.5
Pusan National University,,39.2,41.3,46.6,49.7,34.9,38.3,45.4
Kaunas University of Technology,9.1,9.5,9.7,10.4,11.9,17.3,19.8,26.3
University of Tunis El Manar,,16.3,15.3,15.9,17.7,17.7,24.3,35.7
Tamkang University,9.9,11.3,,14.6,17.6,23.3,25.6,31.2
Makerere University,,,,28,32.4,38.1,,35.4
Universidade Federal da Bahia,,17.6,17,19,11.5,11.9,14.8,21.6
Kharazmi University,,8.5,12.2,11.8,11.1,10.7,12.3,24.7
De La Salle University,,,21.9,21.3,16.6,30.2,34.9,39.5
Canterbury Christ Church University
Thammasat University,,,12.5,12.8,13.6,18,20.6,27.8
University of Sfax,,16.5,17.2,17,20.4,20.6,26.8,38.8
Universidad del Norte,,,,,16.4,15.5,15.3,22.2
Kangwon National University,,,19,20.1,17.8,21,18.1,28
Ege University,,,12.5,15,21.4,14,18.7,26.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,18.3,16.2,17.5,22.9,21.6,28.6
University of Lethbridge,,,22.5,22.6,25.3,18.5,21.2,27.8
Chungbuk National University,,,,14,15.9,17.7,22,32.7
Chapman University,,,,31.4,21.2,17.9,23.6
Universitas Padjadjaran,,,,,,38.3,31.7,31.8
Obafemi Awolowo University (OAU),,,,26.3,22.7,27.3,23.2,28.7
Rowan University,,,,,33.6,34.3,33,40.2
Universitas Sebelas Maret,,,,,24.7,26.1,27.3,31.8
Universidad Nacional de Educacion a Distancia,,,,,,41.9,27.8,28.2
Worldwide: Top*,93.1,92.4,93,94.1,92,92.9,92,87.9
Worldwide: 75%,53.7,52,51.1,51.5,50.3,51,51.3,53.3
Worldwide: Median,35.9,36.2,35.5,34.8,34.3,35.9,35.3,39.6
Worldwide: 25%,21.4,22.5,22.3,22.5,22.5,22.8,23.9,30.2
Worldwide: Bottom*,6.3,8,7,6.3,7,6.8,6.3,6.4
