Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,20,25.7,22.9,19.1,19.1,29.1
Universidad Nacional de Cordoba,14.9,,14.7,15.2,16.8,34.4,30.4,19.7
"University of the Sunshine Coast, Australia",31.6,31.9,31.1,34.7,34.4,45.2,44.8,33.9
Federal University of Viçosa,,,,,,,23.9
Universidade Federal de São Carlos,19.3,14.8,15.1,16.5,23.7,26.9,24.1,25.5
UFG - Universidade Federal de Goiás,,,16.9,15.9,13.1,16.5,15.6,17.2
Universidade Estadual de Londrina,,,,,11.7,11.6,15.1,13.5
Universidad Austral de Chile,,,,21.6,21,23.3
Beijing Jiaotong University,,,,,14.8,16.4
University of Pecs,,,,33.3,25,33.8,36.3,28.3
Chungnam National University,,,,,,28.2,30.9,29
Mohammed V University of Rabat,,,,,12.9,11.7,15.5,20.6
Khon Kaen University,,,,20.8,20,16.5,19.5,21.8
Prince of Songkla University,,,,,13.8
Marmara University,,,17.6,13.5,15.9,20.4,27.5,33.3
Ankara University,,15,17.8,14,11.9,13.2,18.6,34.6
University of Antioquia,,,20.6,14.8,17.5,21.3,19.2,19.1
University of Central Lancashire,33.3,28,25.3,25.3,43.5,15.6,23,25
University of Calcutta,,,,12.6,9.6,10
Pusan National University,,,31.3,30.1,23.5,26.1,32,36.3
Kaunas University of Technology,17.5,13.6,14.7,12.7,14.6,14.6,18.9,23.2
University of Tunis El Manar
Tamkang University,11.8,11.2,9.3,9.2,8.2,8.6,10.9,12.6
Makerere University,32.5,,31.8,31.8,26.7,41.5,41.3,31
Universidade Federal da Bahia,,14,,23.6,15.6,19.3,15.6,20.5
Kharazmi University,,,,,,14.9,23.8,16.4
De La Salle University,,,22.1,22.1,11.7,18.9,22.4,31
Canterbury Christ Church University,,25,25.4,26.5,25.3,31.7,31.8,28.2
Thammasat University,,,17.4,22.9,19.6,20.4,23.3,32.2
University of Sfax,,,,,23.3
Universidad del Norte,,,,16,13.7,21.7,20.3,17.9
Kangwon National University,,,,35.7,35.4,20.4,28.9,27.3
Ege University,,,,,,15.5,15.3,17.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,26.6,25.3,29
University of Lethbridge,,,25.2,16.8,14.6,11.8,17,15.8
Chungbuk National University,,,,,,28.5,25.5
Chapman University,,,,25.1,32,27.3,28.6
Universitas Padjadjaran,,,,8.1,29.9,19.9,19.5,24.9
Obafemi Awolowo University (OAU),,,,13.8,14.1,28.5,24.3,19.6
Rowan University,,,,,,24.5,22.8,25.1
Universitas Sebelas Maret,,,,,,23.4,38.3,45.4
Universidad Nacional de Educacion a Distancia,,,,,,17.9,21.6,19.7
Worldwide: Top*,89.3,86.8,86.9,88.4,85,84.8,86.8,87.4
Worldwide: 75%,50.7,49,49.4,49.7,48,49,50.8,50.7
Worldwide: Median,34.3,33.5,33.2,33.2,32,33.7,35.8,35.6
Worldwide: 25%,23.9,23.7,24.4,23.8,23.2,24.8,26.7,26.1
Worldwide: Bottom*,7.6,6.4,8.5,7.3,8.2,8.6,7.4,8.6
