Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,15.1,26.2,21.4,23.7,26.8,26.1
Universidad Nacional de Cordoba,25.2,,24.5,41.1,18.5,17.9,23.6,31.2
"University of the Sunshine Coast, Australia",36.6,33.6,31.4,36.6,40.1,32.8,42.2,41.4
Federal University of Viçosa,,,16,25.7,11.3,15.7,19.6,15.7
Universidade Federal de São Carlos,12.4,11.8,20.6,34.7,14.1,24.6,23.8,23.5
UFG - Universidade Federal de Goiás,,,10.9,16.5,12.3,14.1,17.9,15
Universidade Estadual de Londrina,,,,,10.5,10.7,13.7,16.3
Universidad Austral de Chile,,,15.9
Beijing Jiaotong University,,,,,30.9,38.1
University of Pecs,,,,30.5,26.9,30.3,28,26.1
Chungnam National University,,,,,,19.9,24.4,26.9
Mohammed V University of Rabat,,,,,26,22.1,19.7,19.9
Khon Kaen University,,22.1,,28.9,,,,23.6
Prince of Songkla University,,,,,23.8,22.9,29.8,34.7
Marmara University,,,13.2,22.2,13.3,19.3,26.6,29.7
Ankara University,,19,17.2,31.5,18.7,20.7,27.7,32.5
University of Antioquia,,,14.8,19.5,17.3,14.3,19,22.4
University of Central Lancashire,21.3,21.2,20.6,32.1,24.1,19.4,28.3,34
University of Calcutta,,,,18.2,8.6,16.5,11.6
Pusan National University,,,24.7,37,36.9,44.1,43.6,48.2
Kaunas University of Technology,12.5,8.7,10.4,20.5,11.4,12.5,20,26.5
University of Tunis El Manar
Tamkang University,,,,,,17.8,18.8,17.4
Makerere University,27.1,,26.9,41.8,36.6,32.2,,31.7
Universidade Federal da Bahia,,19.8,11.6,30.7,13.5,19.4,24,25.9
Kharazmi University,,,,,,16.6,21.5,27.4
De La Salle University,,,22.8,24.4,15.7,21.7,22.4,27.7
Canterbury Christ Church University,,11.3,15.4,25.6,17.1,19.1,23.6,20.9
Thammasat University,,,17.3,30.5,29.2,42.1,26,26.7
University of Sfax,,,,32.4,35.3,32.2,26.4,21.8
Universidad del Norte,,,,29.4,,25.3
Kangwon National University,,,,33.8,31.9,23.7,22.5,29
Ege University,,,,,,16.7,25.7,24.3
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,16.9,24.2,32.6
University of Lethbridge,,,19.8,30.3,27.8,24.9,21.6,21
Chungbuk National University,,,,,,13.8,18.3
Chapman University,,,,29.9,22,33.5,28.8
Universitas Padjadjaran,,,,15.7,13.7,20.7,22.3,22.4
Obafemi Awolowo University (OAU),,,,33.5,13.7,27.5,23.6,24.4
Rowan University,,,,,,21.8,23.1,23.7
Universitas Sebelas Maret,,,,,,25.1,27.4,33.8
Universidad Nacional de Educacion a Distancia,,,,,,26.9,29.3,23.5
Worldwide: Top*,91.1,89.4,91.7,91.5,91.5,90.8,93.8,92.5
Worldwide: 75%,57.1,55.2,53.2,57.8,53.5,54.7,55.9,54.4
Worldwide: Median,39,35.8,35.5,40.6,34.1,36.4,37.9,37.3
Worldwide: 25%,26.2,23.3,23.4,31.8,23,25.3,26.2,26.1
Worldwide: Bottom*,11.5,8,6.9,15.1,8.6,7.7,9.4,7.3
