Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,24.4,,,,23
Universidad Nacional de Cordoba,,,10.6,9.7
"University of the Sunshine Coast, Australia",22.9,25.5,50.1,35.6,34.4,38.2,39.8,41.7
Federal University of Viçosa,10.5,14.5,14.7,21.3,25.3,51.1,48,42.4
Universidade Federal de São Carlos,24.1,25.6,33.1,35,30.3,44.8,30.7,32.3
UFG - Universidade Federal de Goiás,12.9,,17.6,24.2,,33.4,42.5,27.3
Universidade Estadual de Londrina,32.6,36.2,35.8,33.5,34,44.5,49.4
Universidad Austral de Chile,18.3,17.5,19.8,17.1,18.4,23.3,27,27.7
Beijing Jiaotong University
University of Pecs,,39.5,30.5,21.1,25.5,28.5,47.6,32.7
Chungnam National University,27.8,,27.6,26,25.2,26.6,51.5,35.3
Mohammed V University of Rabat,,,,,,9.4,11.2
Khon Kaen University,,24.1,25.5,,,,,28.8
Prince of Songkla University
Marmara University,,,,15.5,17.4,19.2,20,16.7
Ankara University,,17,18.5,19.1,19.4,20.5,24.3,25
University of Antioquia,,,16.9,17.8,25.3,21,24,25.1
University of Central Lancashire,,31.4,32.5,34.6,35.7,32.8,38.8,45.1
University of Calcutta,,,,39.3,36.2,36.1,40.8
Pusan National University
Kaunas University of Technology
University of Tunis El Manar
Tamkang University
Makerere University,24.3,,25.6,32.1,28.4,30.7,,34.9
Universidade Federal da Bahia,,11.5,20.9,15.7,17.8,30.2,22.3,22.5
Kharazmi University,,,,,18.4,28.3,24.4,24.4
De La Salle University
Canterbury Christ Church University
Thammasat University,,,20.3,16.8,19.1,19.5,21.6,20.9
University of Sfax,,25.8,23.7,27.3,30.1,52.9,72.8,41.4
Universidad del Norte
Kangwon National University,,,25.8,24.3,26.6,28.5,26,23.7
Ege University,,,17.7,22.7,23.7,33.8,31.8,28
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,,14.4,12.8
University of Lethbridge,,,31.3,38.7,40.9,32.7,33.1,28.9
Chungbuk National University,,,,,,,28.5,29.9
Chapman University
Universitas Padjadjaran,,,,19.7,14.5,20,21.8,21.4
Obafemi Awolowo University (OAU),,,,12.3,11.6,11.2
Rowan University,,,,,,24.1,24.3,24.6
Universitas Sebelas Maret,,,,,,,20.1,22.3
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,79.6,75,76.6,74.5,73.8,76.3,80.5,80.4
Worldwide: 75%,44.7,43.1,44.8,43.5,43.5,45.3,47.6,47.2
Worldwide: Median,30.7,32.2,32.2,32.4,32.2,33.6,35,34.9
Worldwide: 25%,20.7,21.8,23.5,22.7,23.1,24.6,25.6,24.9
Worldwide: Bottom*,6,7.3,5.3,6.4,5.9,6.9,6.4,8.1
