,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
Dokuz Eylul University,16.4,21.5,18.3,20.8,19.7,21.4,22.1,22.5,25.3,25.6,26.3,26.8,24.8,24.9,25,26.8,20.9,20.7,20.7,21.1,18.8,18.4,19,19.2,17
Universidade Federal da Bahia,20.3,24.2,20.3,20.7,18.7,19.1,19.8,21.7,21,21.8,24.1,26.1,22.7,23.1,24.8,26.2,25.6,26.5,28,29.1,30.2,30.5,26.7,27,23.6
Universidade Estadual de Londrina,13.9,18.2,14.4,14.7,16.3,16.6,16.6,17,15,15.1,16.4,17.3,15.3,15.7,15.9,16.2,15.9,15.8,16,16.2,11.1,11.1,11.4,11.8,11.4
Universidad Nacional de Cordoba,21,24.6,21.7,21.8,21.2,21.1,21,20.3,20.1,20.3,21.6,23.6,22.7,22.7,22.1,21.9,19.4,18.9,18.9,18.8,21.1,22.4,23.9,24.8,24.4
"University of the Sunshine Coast, Australia",42.3,44.7,45.6,45.9,46,45.3,45,44.5,47.9,48.5,47,46.4,48.3,48.4,48.4,48.8,48,47.5,47.5,47.4,62.6,63.4,65.4,65.3,62.4
Universidade Federal de São Carlos,15.3,19.2,16.7,16.5,17.3,17.5,17.9,18.3,19.2,19.7,20.5,21.1,20.8,20.8,20.7,20.1,18.4,18.3,18.7,18.8,17.9,18.3,18.6,18.4,16.8
UFG - Universidade Federal de Goiás,13.3,17.4,14,14.5,14.2,14.4,15.5,15.5,14.9,15.4,16.6,17.6,15.7,16.1,17.3,18.2,19.2,19.8,20.9,21.5,22,21.7,17.8,17.9,21.2
Federal University of Viçosa,10.6,15.1,11.7,11.4,12.3,12.5,13.1,13.2,15.2,15.5,16.4,17.4,16.8,16.8,16.9,16.9,15.2,14.7,15,15.1,12.2,12.4,12.9,13.2,13.4
University of Antioquia,13,17,13.3,13.5,17.2,17.4,17.2,17,16.5,16.7,17.6,18,22.3,22.4,22.7,23,25,25.5,26,26.3,31.4,31.6,32.7,32.5,36.4
University of Central Lancashire,39.7,40.8,39.3,39.3,39.7,40.7,38.9,38.6,37.8,38.8,38.8,38.9,45.4,45.5,44.5,43.7,45.5,45.1,44.5,43.9,43.6,43.9,54,52.4,53
